"supplier_name","value","department","cpv_code1","cpv_code2","cpv_code3","cpv_code4","cpv_code5","cpv_code6","cpv_code7","cpv_code8","cpv_code9","cpv_code10","cpv_code11","cpv_code12","cpv_code13","cpv_code14","cpv_code15","cpv_code16","cpv_code17","cpv_code18","cpv_code19","cpv_code20","cpv_code21","cpv_code22","cpv_code23","cpv_code24","cpv_code25","cpv_code26","cpv_code27","cpv_code28"
"Locata Housing Services Limited","5000","Housing Regeneration Services","48517000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGB Plastics Limited","6000","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","32100","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","249900","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","29400","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","8940","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","6240","Parks & Recreation Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","16400","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","6720","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"NORTHGATE PUBLIC SERVICES (UK) LIMITED","7231.8","Information Services","30238000|48000000|48100000|48311000|48500000|48600000|60000000|72000000|72212222|72267100|72322000|72590000|72610000|75000000|75310000","|63121100|72000000|72512000|79000000","|72317000|72512000|75310000|79221000","|66000000|79996000|79996100|85321000","|48000000|79999100","|92512100","","","","","","","","","","","","","","","","","","","","","",""
"Northgate Public Services (UK) Ltd","47359.3","Information Services","48000000|72267000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northgate Public Services (UK) Ltd","6275.55","Information Services","48000000|72267000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northgate Public Services UK Ltd","47359.3","Information Services","48000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northgate Public Services UK Ltd","6275.55","Information Services","48000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","6599.4","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","23771.4","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","8376.46","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","6123.06","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","8376.46","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","5649","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","5847.92","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"STORM TECHNOLOGIES LIMITED","5525.52","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","6576.6","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","6999.9","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","13999.8","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","6199.9","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","20999.7","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Xpress Software Solutions Ltd","8490.16","Information Services","48000000","|48311000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Xpress Software Solutions Ltd","8490.16","Information Services","48000000","|48311000","","","","","","","","","","","","","","","","","","","","","","","","","",""
