"supplier_name","total_value","service","cpv_code1","cpv_code2","cpv_code3","cpv_code4","cpv_code5","cpv_code6","cpv_code7","cpv_code8","cpv_code9","cpv_code10","cpv_code11","cpv_code12","cpv_code13","cpv_code14","cpv_code15","cpv_code16","cpv_code17","cpv_code18","cpv_code19","cpv_code20","cpv_code21","cpv_code22","cpv_code23","cpv_code24","cpv_code25","cpv_code26","cpv_code27","cpv_code28"
"Agilisys Limited","48775.2","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","586343","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","586343","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","47353","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","20724.5","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALLIANCE DISPOSABLES LIMITED","32982.5","NEIGHBOURHOODS AND ENVIRONMENT","39222000|79993100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alliance Leisure Services Ltd","350064","PUBLIC HEALTH","79340000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alliance Leisure Services Ltd","12515.2","PUBLIC HEALTH","79340000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALLIED HEALTHCARE GROUP LIMITED","57000","PHYSICAL DIS & OLDER PEOPLE","85000000","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Allied Publicity Services (Manchester) Ltd","12000","RESOURCES","22000000|22100000|79824000","|22458000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amion Consulting Ltd","8200","ECONOMY DIRECTORATE","71000000|79212000","|71530000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amion Consulting Ltd","20000","ECONOMY DIRECTORATE","71000000|79212000","|71530000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","10825.4","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AON Limited","10550","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","6750","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AON Limited","5435.36","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","5122.67","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AON Limited","22008","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","33707.5","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AON Limited","11760","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","11536","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","45360","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","15165.5","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","54168.1","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","56651.8","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","329313","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","532560","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
