Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Suez Recycling & Recovery Uk Limited                                                      ,NP01749   ,2018-11-22,2018-11-29,562017    ,,29152,Refuse Collection & Recycling                                                                                                                                                                           ,Green Waste August 2018 - Operating Costs Lab                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01749   ,2018-11-22,2018-11-29,562017    ,,29152,Refuse Collection & Recycling                                                                                                                                                                           ,Operating Costs Bin Deliveries                                                                                                                                                                                                                                                                              
Suez Recycling & Recovery Uk Limited                                                      ,NP01749   ,2018-11-22,2018-11-29,562017    ,,29152,Refuse Collection & Recycling                                                                                                                                                                           ,Operating costs Vehicles                                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01748   ,2018-11-22,2018-11-29,562017    ,,25285,Refuse Collection & Recycling                                                                                                                                                                           ,Green Waste September 2018 Operating Costs La                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01748   ,2018-11-22,2018-11-29,562017    ,,25285,Refuse Collection & Recycling                                                                                                                                                                           ,Operating costs Bin Deliveries                                                                                                                                                                                                                                                                              
Suez Recycling & Recovery Uk Limited                                                      ,NP01748   ,2018-11-22,2018-11-29,562017    ,,25285,Refuse Collection & Recycling                                                                                                                                                                           ,Operating Costs Vehicles                                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Bulky Waste Collection                                                                                                                                                                                                                                                                                      
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Collections of Clinical Waste Nov 18                                                                                                                                                                                                                                                                        
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter and Dog Bins - Dog Bins                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter and Dog Bins - Litter Bins No                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Recycling Banks - Wheeled Bins Nov 1                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Monthly Base Payment Nov 18 Recycling and Foo                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Refuse Collection Nov 18                                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and Delivery of Recycling Containers                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and Delivery of Recycling Containers                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01738   ,2018-11-21,2018-11-28,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and Delivery of Recycling Containers                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01737   ,2018-11-21,2018-11-28,562017    ,,5469,Refuse Collection & Recycling                                                                                                                                                                           ,Contribution to Metal Matters Programme 2018                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01709   ,2018-11-14,2018-11-21,562017    ,,15697,Refuse Collection & Recycling                                                                                                                                                                           ,Sept 2018 - Additional Collections                                                                                                                                                                                                                                                                          
Suez Recycling & Recovery Uk Limited                                                      ,NP01709   ,2018-11-14,2018-11-21,562017    ,,15697,Refuse Collection & Recycling                                                                                                                                                                           ,Sept 2018 - Assisted Recycling Collections                                                                                                                                                                                                                                                                  
Suez Recycling & Recovery Uk Limited                                                      ,NP01709   ,2018-11-14,2018-11-21,562017    ,,15697,Refuse Collection & Recycling                                                                                                                                                                           ,Sept 2018 - Assisted Refuse Collections                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01709   ,2018-11-14,2018-11-21,562017    ,,15697,Refuse Collection & Recycling                                                                                                                                                                           ,Sept 2018 - Dog bins                                                                                                                                                                                                                                                                                        
Suez Recycling & Recovery Uk Limited                                                      ,NP01709   ,2018-11-14,2018-11-21,562017    ,,15697,Refuse Collection & Recycling                                                                                                                                                                           ,Sept 2018 - Schedule 2 Recycling Collections                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01709   ,2018-11-14,2018-11-21,562017    ,,15697,Refuse Collection & Recycling                                                                                                                                                                           ,Sept 2018 - Schedule 2 Refuse Collections                                                                                                                                                                                                                                                                   
Suez Recycling & Recovery Uk Limited                                                      ,NP01709   ,2018-11-14,2018-11-21,562017    ,,15697,Refuse Collection & Recycling                                                                                                                                                                           ,Sept 2018 - Special Collections AHP etc                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01709   ,2018-11-14,2018-11-21,562017    ,,15697,Refuse Collection & Recycling                                                                                                                                                                           ,Sept 2018 - WEEE Roro to SIMS Ticket 10160256                                                                                                                                                                                                                                                               
