Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Aug-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
THOMAS & THOMAS SOLICITORS LTD,0,0,3,49,52
ASHTONS LEGAL,0,0,11,40,51
GRAYSONS SOLICITORS,0,0,2,49,51
Hewitts,0,0,12,39,51
LYONS BOWE SOLICITORS,0,0,4,47,51
TOZERS LLP,1,0,7,43,51
FOYS SOLICITORS,0,0,1,49,50
HIBBERTS LLP,0,0,4,46,50
OCEAN PROPERTY LAWYERS LTD,0,1,1,48,50
PIGOTTS SOLICITORS,0,0,0,50,50
GREEN WRIGHT CHALTON ANNIS,0,1,6,42,49
MASSERS SOLICITORS,0,1,1,47,49
Paris Smith LLP,1,0,11,37,49
WOSSKOW BROWN,0,0,3,46,49
MARSDEN RAWSTHORN LLP,0,0,3,45,48
Suremove Property Lawyers,1,0,23,24,48
THURSFIELDS SOLICITORS,1,0,20,27,48
ANDREW & ANDREW,0,0,0,47,47
COLES MILLER SOLICITORS LLP,0,0,1,46,47
DOUGLAS WEMYSS LLP,0,0,2,45,47
HEGARTY LLP,1,0,21,25,47
HUGH JAMES SOLICITORS,0,0,14,33,47
LAW & LAWYERS SOLICITORS,0,0,4,43,47
METCALFE COPEMAN & PETTEFAR,0,0,3,44,47
MICHELMORES LLP,0,0,6,41,47
PERSIMMON (NORTHERN REGION - YORK OFFICE),0,0,0,47,47
SORT LEGAL LIMITED,0,0,3,44,47
STEPHENSONS LLP,0,0,2,45,47
TICKLE HALL CROSS,0,0,6,41,47
Batchelor Sharp,0,0,5,41,46
BG SOLICITORS LLP,0,0,4,42,46
Browns Solicitors,1,0,6,39,46
CHARTAHOUSE CONVEYANCING SERVICES,0,0,2,44,46
DEVONSHIRES,0,0,13,33,46
JOHN W DAVIES & CO,1,0,1,44,46
Peter Lynn & Partners,0,0,7,39,46
PREMIER SOLICITORS LLP,1,1,1,43,46
Thackray Williams,0,0,18,28,46
WOLFERSTANS,0,0,15,31,46
Biscoes,0,0,2,43,45
CURTIS LAW SOLICITORS LLP (BLACKBURN),0,0,0,45,45
GLANVILLES LLP,0,0,2,43,45
Gordons LLP,0,0,19,26,45
MURRAY HILLS,0,0,4,41,45
PINSENT MASONS LLP,0,0,33,12,45
ROTHERA SHARP,0,0,2,43,45
TALLENTS SOLICITORS,1,0,11,33,45
Thomas Flavell & Sons,0,1,8,36,45
TLT LLP,0,0,6,39,45
TQ PROPERTY LAWYERS LTD,1,0,5,39,45
TROWERS & HAMLINS,1,0,15,29,45
WOODWARDS LAW LTD,0,0,0,45,45
LANYON BOWDLER,0,0,9,35,44
ROGER JAMES CLEMENTS & PARTNERS,0,0,4,40,44
SEDDONS,0,0,4,40,44
SWITALSKIS LIMITED,0,0,21,23,44
McCarthy Bennett Holland,2,0,5,36,43
MCQUADES RESIDENTIAL CONVEYANCING,0,0,4,39,43
PERCY HUGHES & ROBERTS,0,0,1,42,43
PETER ROSS TA PETER ROSS & CO,1,1,7,34,43
RED KITE LAW,1,0,6,36,43
BISHOP & SEWELL,0,0,6,36,42
CHURCHERS  SOLICITORS,0,0,9,33,42
FARNFIELDS,0,0,6,36,42
HARROWELLS (INC POWELL & YOUNG),0,0,10,32,42
LIGHTFOOTS,0,0,8,34,42
MAYO WYNNE BAXTER,0,0,4,38,42
Nigel Broadhead Mynard,0,0,5,37,42
PCS,0,0,5,37,42
SCHOFIELD SWEENEY LLP,0,0,2,40,42
Shulmans,0,0,2,40,42
SO LEGAL LIMITED,0,0,0,42,42
THOMPSON & JACKSON,0,0,6,36,42
THOMSON SNELL & PASSMORE,1,0,6,35,42
ALDERSON LAW LLP,0,0,2,39,41
BARNES & PARTNERS,1,0,6,34,41
BRIGHT (SOUTH WEST) LLP,0,0,8,33,41
PARKER RHODES HICKMOTTS,0,0,2,39,41
WARDS,0,0,28,13,41
WILLIAMS & CO (CLECKHEATON),0,0,3,38,41
BESPOKE LAW SERVICES,1,0,5,34,40
BLACKHURST BUDD LIMITED,0,0,5,35,40
DEZREZLEGAL LIMITED,0,0,2,38,40
ELLISON & THOMAS,0,0,5,35,40
MARCUS BAUM,0,1,1,38,40
ROBERTS SOLICITORS,1,0,2,37,40
TOLHURST & FISHER,1,0,3,36,40
W S STRATEGIC LIMITED,0,0,3,37,40
Ward Hadaway,0,0,17,23,40
WATSON WOODHOUSE,0,0,2,38,40
WEST COAST CONVEYANCING,1,0,5,34,40
ADAMS KAYE LTD,0,1,2,36,39
ADK LAW LIMITED,0,0,2,37,39
BARCAN & KIRBY LLP,0,0,3,36,39
HARRISON'S SOLICITORS (READING),0,0,2,37,39
JONES & COMPANY,0,0,4,35,39
NORRIE WAITE & SLATER,0,0,9,30,39
RHODES & WALKER,0,0,18,21,39
TOLLERS LLP,0,0,6,33,39
WOLLEN MICHELMORE,1,0,10,28,39
CLARITY LEGAL SERVICES LIMITED,0,0,0,38,38
DAVID GRAY SOLICITORS,1,0,3,34,38
E J WINTER & SON,0,1,22,15,38
ENGLAND STICKLAND & CO,0,0,1,37,38
FAIRWEATHER LAW,0,0,21,17,38
Foskett Marr Gadsby & Head,0,0,5,33,38
HALLETT & CO,0,0,6,32,38
LDJ SOLICITORS,0,0,7,31,38
NEWTONS SOLICITORS LTD,0,0,1,37,38
NOTARY EXPRESS LIMITED,0,1,2,35,38
PAUL RUDD,0,0,2,36,38
PCB SOLICITORS,1,0,2,35,38
Rowlinsons Solicitors,0,0,4,34,38
TAYNTONS (LS) LIMITED,1,0,0,37,38
THE RINGROSE LAW GROUP,0,0,5,33,38
Williamsons Solicitors Limited,0,0,5,33,38
BEESTON SHENTON SOLICITORS LTD,0,0,4,33,37
Cozens-Hardy LLP,0,0,4,33,37
DEBORAH J HOBAN,0,0,1,36,37
GHP LEGAL,2,0,8,27,37
JOHN M LEWIS,0,0,2,35,37
MICHAEL HILL PARTNERSHIP,0,0,29,8,37
ROGERS & NORTON LIMITED,1,0,8,28,37
SWINBURNE MADDISON,0,0,13,24,37
BENDLES,0,0,6,30,36
BURNETTS,0,0,12,24,36
DEVONALDS,2,0,3,31,36
FRASER DAWBARNS SOLICITORS,1,0,15,20,36
HOLMES & HILLS,0,0,5,31,36
KIRKHAM CONVEYANCING,0,0,2,34,36
LANGLEYS,0,0,7,29,36
MASON BAGGOTT & GARTON,0,0,2,34,36
Matthew & Matthew,0,1,2,33,36
O'DONNELL SOLICITORS LTD,0,0,23,13,36
WRAGG MARK-BELL SOLICITORS LTD,0,0,2,34,36
BAND HATTON BUTTON LLP,0,0,2,33,35
BROGAN PROPERTY LAWYERS,0,0,3,32,35
EHL CONVEYANCING LIMITED,0,0,1,34,35
HARRISON DRURY,0,0,6,29,35
HAYES & STORR,0,0,5,30,35
HERRINGTON & CARMICHAEL LLP,0,0,19,16,35
HETHERTONS LLP,0,0,9,26,35
HSR LAW,0,0,3,32,35
JACKSONS LAW FIRM,0,0,23,12,35
JOHN FOWLERS LLP SOLICITORS,0,1,8,26,35
OSBORNE CLARKE,0,0,2,33,35
Page Nelson,1,0,2,32,35
THE WILKES PARTNERSHIP,2,0,12,21,35
ANGELA VINEY CONVEYANCING SERVICES,0,0,2,32,34
Battens Solicitors Limited,1,0,9,24,34
BERRY REDMOND GORDON & PENNEY LLP (BRGP),0,0,7,27,34
DP CONVEYANCING,0,0,0,34,34
ELLISONS,0,0,5,29,34
EMSLEYS,0,0,14,20,34
FARLEYS,0,0,1,33,34
GITTINS MCDONALD,1,0,3,30,34
HOWARD KENNEDY FSI,0,0,4,30,34
IRWIN MITCHELL,1,1,4,28,34
JCP SOLICITORS LIMITED (INC VJG JOHNS & SON),0,0,5,29,34
JUDGE & PRIESTLEY,0,0,2,32,34
PUNCH ROBSON,0,0,0,34,34
Risdon Hosegood,0,0,5,29,34
SYMES BAINS BROOMER LIMITED,0,0,3,31,34
TEES,0,0,5,29,34
WHN SOLICITORS LIMITED,0,0,9,25,34
Anthony Collins,0,0,28,5,33
Buckles Solicitors LLP,0,0,7,26,33
COOK & TALBOT,0,0,3,30,33
EVANS & CO,1,0,0,32,33
Hartley & Worstenholme,0,0,2,31,33
HAWLEY AND RODGERS,0,0,4,29,33
HEK JONES SOLICITORS,0,0,1,32,33
KITSONS LLP,0,0,1,32,33
Oliver & Co Solicitors Limited,0,0,3,30,33
OSLER DONEGAN TAYLOR,0,1,3,29,33
WINTERBOTHAM SMITH PENLEY (WSP),0,0,2,31,33
YATES & CO,0,0,1,32,33
ABENSONS & CO,0,0,3,29,32
APEX LAW LLP,0,0,2,30,32
CONNELLEY & COMPANY,0,0,1,31,32
ELLIS JONES,0,1,5,26,32
GLANVILLES DAMANT LTD,0,0,3,29,32
HENRIQUES GRIFFITHS & CO,0,0,2,30,32
HILL DICKINSON,0,0,4,28,32
HOLLEY & STEER,0,0,4,28,32
HOPKINS SOLICITORS,0,0,4,28,32
JB LEITCH REAL ESTATE LTD,0,0,32,0,32
MYERS SOLICITORS LIMITED,0,0,5,27,32
Nash & Co Solicitors LLP,0,1,1,30,32
R A W CLARK & CO,0,0,4,28,32
SPENCER SKUSE & POTTER,0,0,0,32,32
STEPHENS SCOWN,0,0,9,23,32
WINCKWORTH SHERWOOD,0,0,16,16,32
BEIGHTONS,0,0,3,28,31
COCHRANES LAW FIRM LIMITED,0,0,4,27,31
CURTIS LAW LLP INC CURTIS WHITEFORD CROCKER,0,1,3,27,31
DAVID BUNN & CO,0,0,3,28,31
