Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Aug-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
KITCHING WALKER SOLICITORS,0,0,1,11,12
KNAPMAN & CO,0,0,0,12,12
L G WILLIAMS & PRITCHARD,1,1,5,5,12
LAMBERT TAYLOR & GREGORY,0,0,4,8,12
LYONS & COMPANY,0,0,0,12,12
MACKENZIE JONES SOLICITORS LTD,0,0,0,12,12
MELLEN & CO LICENSED CONVEYANCERS,0,0,0,12,12
MERRITT & CO,0,0,2,10,12
MINAHAN HIRST & CO LIMITED,0,0,3,9,12
MLL LIMITED,0,0,1,11,12
MOXON & BARKER,0,0,4,8,12
NETHER EDGE,0,0,7,5,12
NEWSTEAD & WALKER,0,0,1,11,12
NICHOLSON & MORGAN (INC BLACKETT & CO),0,0,2,10,12
P D LAW LIMITED T/A PATCHELL DAVIES,0,0,0,12,12
PARKLANDS PROPERTY LAWYERS LIMITED,0,0,0,12,12
PEACOCK & CO,0,0,0,12,12
PETER BROWN & CO,0,0,2,10,12
PORTNER LAW LIMITED,0,0,0,12,12
PROPERTY LAW PARTNERS,0,0,0,12,12
QUINN & CO,0,0,1,11,12
RAWLINS DAVY,0,0,2,10,12
RIX & KAY,0,2,2,8,12
S V WADSWORTH & CO,0,0,2,10,12
SCOTT HYMAN & CO,0,0,2,10,12
SHERWOOD WHEATLEY,0,0,1,11,12
SIMPSON DUXBURY ROOLEY,1,0,0,11,12
SMART LEGAL,0,0,0,12,12
SMITH & CO SOLICITORS,0,0,0,12,12
SMITH & GRAHAM,0,0,0,12,12
SPOOR & CO,0,0,0,12,12
STARCK UBEROI SOLICITORS,0,0,1,11,12
STEED & STEED,0,0,4,8,12
SURREY PROPERTY LAWYERS LLP,0,0,0,12,12
T M FORTIS SOLICITORS,0,0,0,12,12
WACE MORGAN,0,0,5,7,12
WADDINGTON LTD (T/A WADDINGTON WEBBER),0,0,2,10,12
WALLACE ROBINSON & MORGAN,0,0,5,7,12
WATSONS LAW LLP,0,0,2,10,12
WHITING & MASON,0,0,1,11,12
WOOLLISCROFTS,0,0,0,12,12
A F BARKER & CO,0,0,2,9,11
ACCOUNTANCY SOLUTIONS (UK) LIMITED,0,0,3,8,11
AGH SOLICITORS,0,0,0,11,11
AMITY LAW,0,0,0,11,11
ASPEN MORRIS SOLICITORS,0,0,0,11,11
AUBREY ISAACSON & CO,0,0,1,10,11
AWD LAW,0,0,0,11,11
BAWTREE & SONS,0,0,3,8,11
BELL PARK KERRIDGE LIMITED,0,0,4,7,11
BEVIRS,2,0,3,6,11
BIRCH & CO,0,0,0,11,11
BLACKFRIARS LAW LIMITED,0,0,0,11,11
BOLT BURDON,0,0,1,10,11
BONNETTS,0,0,1,10,11
BOWLING & CO,0,1,0,10,11
BRADFORD & SON,0,0,0,11,11
BRAINS SOLICITORS,0,0,4,7,11
BRIAN MACKENOW & CO,0,0,0,11,11
BURROWS,0,0,2,9,11
BUTTERS DAVID GREY & CO,0,0,1,10,11
C&R LEGAL LIMITED,0,0,1,10,11
CADMANS (INC CLOUGH SON & MORTON),0,0,0,11,11
CARPENTER & CO,0,1,1,9,11
CHRISTOPHER DAVIDSON SOLICITORS,0,0,2,9,11
CLYDE CHAPPELL & BOTHAM,0,0,1,10,11
CONVEYANCING EXPERT LIMITED,0,0,0,11,11
COOPERBURNETT,0,0,1,10,11
CROSS SOLICITORS,0,0,2,9,11
DAWSON HART & CO,0,0,2,9,11
DIXON RIGBY KEOGH,0,0,0,11,11
DOOTSONS LLP,1,0,2,8,11
DUNKERLEYS LLP,0,0,0,11,11
EDWARDS WILLOBY & LOCH LIMITED,0,0,0,11,11
ELDRIDGES,0,0,3,8,11
ERIC H SMITH,0,0,1,10,11
FERGUSON BRICKNELL & CO,0,0,1,10,11
GEOFFREY LEAVER SOLICITORS,0,0,4,7,11
GILBERT DAVIES & PARTNERS,0,0,2,9,11
GLOVERS SOLICITORS LLP,0,0,6,5,11
GUTHRIE JONES & JONES,0,0,4,7,11
HARROWELL & ATKINS,0,0,0,11,11
HCL HANNE & CO,0,0,0,11,11
HENWOOD TWENTY TWO LIMITED,0,0,1,10,11
HOMDEN PROPERTY LAWYERS,0,0,1,10,11
JOHN WELCH & STAMMERS,0,0,1,10,11
KAULDHAR & CO,0,0,0,11,11
KENNEDYS LLP,0,0,0,11,11
KENNETH BUSH SOLICITORS,0,0,3,8,11
KING LAWES LEGAL,0,0,2,9,11
LAING LAW,0,0,0,11,11
LATIMER HINKS,0,0,1,10,11
LAW LANE SOLICITORS,0,0,2,9,11
LAWRENCE HAMBLIN,0,0,0,11,11
LAYTONS SOLICITORS LLP,0,0,0,11,11
MARSDENS SOLICITORS,0,0,1,10,11
MARSHALLS,0,0,1,10,11
Martin Elliott,0,0,4,7,11
MATTHEW WAITE & CO,0,0,3,8,11
MCCLOY LEGAL,0,0,2,9,11
MCGARRY & CO,0,0,1,10,11
MERRY & CO,0,0,2,9,11
MICHAEL TAYLOR & CO,0,0,1,10,11
MILLS CHODY,0,0,0,11,11
MILWYN JENKINS & JENKINS,0,0,1,10,11
MIRZA SOLICITORS,0,0,1,10,11
MJP LAW,0,0,2,9,11
Morris & Bates,0,0,3,8,11
MOSELEY CHAPMAN & SKEMP SOLICITORS,0,0,2,9,11
MS LAW LLP,1,0,1,9,11
NEWMANS,0,0,1,10,11
NICHOLLS HENSTOCK AND STEVENSON,0,0,0,11,11
NICHOLSONS SOLICITORS LLP,0,0,4,7,11
NORRIS & MILES,0,0,2,9,11
NORTH YORKSHIRE LAW,0,0,2,9,11
OPEN LAW LIMITED,0,0,0,11,11
PABLA + PABLA SOLICITORS,0,0,0,11,11
PARDOES,0,0,0,11,11
PARRY LAW,0,0,2,9,11
PAYTONS,1,0,1,9,11
PETER DUNN & CO,0,0,5,6,11
PICKERING & BUTTERS LLP,0,0,0,11,11
R N WILLIAMS & CO,0,0,1,10,11
READ COOPER LTD,0,0,0,11,11
RICHARD GRIFFITHS & CO,0,0,1,10,11
RUPERT WOOD & SON,0,0,0,11,11
SCOTT ROWE,0,0,0,11,11
SELL UK PROPERTY LTD,0,0,0,11,11
SHERRARDS,0,0,0,11,11
SHERWOOD SOLICITORS,0,0,1,10,11
ST HELENS LAW LIMITED,0,0,2,9,11
TAYLOR FAWCETT,0,1,1,9,11
TERENCE WILLEY & CO,0,0,1,10,11
THE ROBERT DAVIES PARTNERSHIP LLP,0,0,2,9,11
THE SETHI PARTNERSHIP,0,0,0,11,11
THOMPSON SMITH & PUXON,0,0,3,8,11
TYNDALLWOODS,1,0,1,9,11
VYMAN SOLICITORS LIMITED,0,0,1,10,11
WANSBROUGHS,0,0,6,5,11
WARNERS,0,0,1,10,11
WAUGH & CO,0,0,1,10,11
WESTGATE SOLICITORS LIMITED,1,0,0,10,11
WILDINGS,0,0,0,11,11
WILLIAMS THOMPSON LLP,0,1,2,8,11
WSM SOLICITORS,0,0,1,10,11
ADLAMS,0,0,1,9,10
AMD SOLICITORS LTD,0,0,1,9,10
ANTHONY DEVONALD RICHARDS LIMITED,0,0,1,9,10
APEX ABS LIMITED,0,1,1,8,10
APLIN STOCKTON FAIRFAX T/A APLINS,0,0,2,8,10
AQUABRIDGE LAW,0,0,1,9,10
ARNISON HEELIS,1,0,5,4,10
ATKINSON BLACKLEDGE WARINGS,0,0,0,10,10
ATKINSON RITSON,0,0,0,10,10
AVERY KNIGHTS SOLICITORS LIMITED,0,0,2,8,10
BACKHOUSE SOLICITORS,0,0,2,8,10
BENNETT & CO (LIVERPOOL),1,0,1,8,10
BIRD & LOVIBOND,0,0,3,7,10
BLACKHAMS,0,0,2,8,10
BLOUNT HEMMINGS LIMITED,0,0,0,10,10
BOLTON-JONES & CO,0,0,0,10,10
BRAMHALL SOLICITORS,0,0,0,10,10
BRIGHOUSE WOLFF,0,0,1,9,10
BRIGHT & SONS MALDON,0,0,1,9,10
BROMETS JACKSON HEATH LLP,0,0,1,9,10
BULL & CO,0,0,0,10,10
BURGOYNE & CO,0,0,1,9,10
BURKILL GOVIER,0,0,2,8,10
BUTCHER ANDREWS,0,0,1,9,10
CARTER BELLS LLP,0,1,1,8,10
CARTER VINCENT LLP,0,0,0,10,10
COLIN BROWN & KIDSON,0,0,1,9,10
COLLINGBOURNE HENNAH LIMITED,0,0,0,10,10
COOPER SONS HARTLEY & WILLIAMS LLP,0,0,0,10,10
D C KAYE & CO,0,0,2,8,10
DAVIES BLUNDEN & EVANS,0,0,2,8,10
DAVIS BLANK FURNISS,1,0,1,8,10
DOLLMAN & PRITCHARD,0,0,0,10,10
DWFM BECKHAM,0,1,1,8,10
EATON SMITH,0,0,2,8,10
EDWARDS CLEGG,0,0,0,10,10
EVANS DERRY BINNION,0,0,3,7,10
FARRER & CO,0,0,7,3,10
FREDERIC HALL & CO,0,0,0,10,10
GABB & CO,1,0,3,6,10
GB SOLICITORS LLP,0,0,0,10,10
George Green LLP,0,0,1,9,10
GIFFEN COUCH & ARCHER,0,0,2,8,10
GILES WILSON,0,1,4,5,10
GOMER WILLIAMS & CO LTD,0,0,1,9,10
GOODY BURRETT LLP,0,0,3,7,10
GRYLLS & PAIGE,0,0,3,7,10
GUEST WALKER & CO,0,0,1,9,10
GUNNERCOOKE LLP,0,0,3,7,10
HC LAW LLP TA HINDLE CAMPBELL,0,0,0,10,10
HEALD NICKINSON,0,0,5,5,10
HECKFORD NORTON & CO,0,0,5,5,10
HEWETTS,0,0,1,9,10
HOOK & PARTNERS,0,0,0,10,10
HYLAND FITZWATER LIMITED,0,0,0,10,10
HYLAND LEGAL,0,0,3,7,10
IAN C FREE SOLICITOR,0,0,1,9,10
INGRAM WINTER GREEN,0,0,3,7,10
J O'NEILL & CO SOLICITORS,0,0,0,10,10
J P GOLDMAN LIMITED,0,1,0,9,10
JACOBS & REEVES,0,0,2,8,10
JONATHAN ROBERTS,0,0,5,5,10
K L PROPERTY LAWYERS LIMITED,0,0,1,9,10
KEOGHS NICHOLLS LINDSELL & HARRIS,0,0,0,10,10
KEVIN HENCHLEY T/A HENCHLEYS,0,0,0,10,10
KITSON & TROTMAN LLP,0,0,0,10,10
KUNDERT SOLICITORS LLP,0,0,1,9,10
LAMB BROOKS,0,0,0,10,10
LANE & CO,0,0,7,3,10
LAWLIGHT SOLICITORS LIMITED,0,0,0,10,10
LLYS CENNEN SOLICITORS,0,0,1,9,10
LODDERS LLP,0,0,4,6,10
LOXLEY SOLICITORS LIMITED,1,0,4,5,10
LUCAS LAW SOLICITORS,0,0,1,9,10
LUX LAW,0,0,2,8,10
MACFARLANES LLP,0,0,1,9,10
MACNAMARA KING,0,0,2,8,10
MASSUCCO BUTTRESS SOLICITORS,0,0,1,9,10
MCPHERSONS,0,0,3,7,10
MG LEGAL SOLUTIONS,0,0,1,9,10
Morecrofts LLP,0,0,1,9,10
MORRISONS,0,0,0,10,10
MOSELEYS,0,0,1,9,10
MUNDYS,0,0,2,8,10
NEIL MYERSON LLP,0,0,0,10,10
NOBLE HARBOUR SOLICITORS,0,0,5,5,10
OGDEN LYLES & FOX,0,0,1,9,10
OSBORNES,0,2,0,8,10
PARTRIDGE ALLEN,0,0,1,9,10
PAUL BERG & TAYLOR,0,0,0,10,10
PEARSON HARDS,0,0,0,10,10
PENNINE KENNEDY SOLICITORS,0,0,1,9,10
PREUVENEERS,0,0,1,9,10
PRUSINSKI SOLICITORS,0,0,2,8,10
QUASTEL MIDGEN LLP,0,0,0,10,10
RICHMOND ANDERSON & GOUDIE,0,0,1,9,10
RM LEGAL SOLICITORS,1,1,0,8,10
ROBERTS & SMITH,0,0,0,10,10
ROLLASONS,0,0,2,8,10
ROSE & ROSE SOLICITORS,0,0,1,9,10
ROWBERRYS,0,0,2,8,10
RUTHERFORDS LLP,0,0,0,10,10
SARAH DWIGHT,1,0,1,8,10
SCOTT REES AND CO,0,0,0,10,10
SELDONS LLP,0,0,2,8,10
SHEPHERD & COMPANY,1,0,2,7,10
SIMPLY COMPLETE,0,0,1,9,10
ST JOHNS PROPERTY LAWYERS,0,0,2,8,10
STEPHENSONS (BRIERLEY HILL/WOLVERHAMPTON),0,0,3,7,10
STEVENS & BOLTON,0,0,1,9,10
SUSAN COTTER & CO,0,0,7,3,10
TEMPLE HEELIS,0,0,1,9,10
THE HILLMAN PARTNERSHIP,0,0,0,10,10
THE J M PRACTICE,0,0,1,9,10
TUSTAIN JONES & CO,0,0,1,9,10
UNGOED-THOMAS & KING,0,0,1,9,10
VICKERY CONVEYANCING LIMITED,0,0,0,10,10
WAKEFIELD & DISTRICT HOUSING LTD,0,0,7,3,10
WATKINS & GUNN PARTNERSHIP,1,0,2,7,10
WHEELERS SOLICITORS LIMITED,0,0,0,10,10
WILLIAMSONS DOUGLAS,0,0,0,10,10
WOOD SHERWOOD SOLICITORS,0,0,1,9,10
ACKLAND & CO,0,0,0,9,9
ADAM DOUGLAS & SON,0,0,4,5,9
ALAN SIMPSON & CO,0,0,0,9,9
ALMY & THOMAS,0,0,0,9,9
AMES KENT SOLICITORS,0,0,2,7,9
ASPINALL WRIGHT,1,0,0,8,9
BAILEY SMAILES,0,0,1,8,9
BANK SOLICITORS,0,0,1,8,9
BARTLETTS SOLICITORS,0,0,0,9,9
BELLS (ROMSEY),0,0,1,8,9
BLACKSTONE SOLICITORS LIMITED (HALE),0,0,2,7,9
BLAIN BOLAND & THOMAS LTD,0,0,2,7,9
BRYAN CAVE LEIGHTON PAISNER LLP,0,0,0,9,9
BURNETT BARKER,0,0,0,9,9
BWH LEGAL LIMITED,0,0,0,9,9
CALTHROPS SOLICITORS LLP,0,0,6,3,9
CAPSTICKS SOLICITORS LLP,0,0,3,6,9
CARTER READ & DOVE,0,0,1,8,9
Cartmell Shepherd,0,0,1,8,9
CATHERINE HIGGINS LAW LIMITED,0,0,2,7,9
CHANDLER RAY,0,0,3,6,9
CLEMENT HUGHES & CO,0,0,1,8,9
COOPER LINGARD SOLICITORS,0,0,0,9,9
COWLINGS,0,0,0,9,9
COX & HODGETTS,0,0,1,8,9
CRANE & STAPLES,0,0,2,7,9
CULLIMORE DUTTON SOLICITORS,0,0,2,7,9
D AND S LEGAL LTD,0,0,0,9,9
Davitt Jones & Bould Limited,0,0,5,4,9
DLA PIPER UK LLP,0,0,3,6,9
DONALDSON DUNSTALL,0,0,1,8,9
DONALDSON WEST,0,0,2,7,9
EASTHAMS SOLICITORS LIMITED,0,0,0,9,9
EG LAWLIMITED,0,0,1,8,9
ELLISTONS LLP T/A S L P,0,0,1,8,9
FREEMAN JOHNSON,0,0,1,8,9
FREEMANS SOLICITORS,0,0,3,6,9
FURSDON KNAPPER,0,0,0,9,9
GALES,0,0,0,9,9
GJ TEMPLEMAN SOLICITORS LIMITED,0,0,0,9,9
GLOBAL LEGAL SOLUTIONS LTD,0,0,0,9,9
GOLDSMITHS SOLICITORS LIMITED,0,0,1,8,9
GRANT SAW,0,1,1,7,9
HAND MORGAN & OWEN,0,0,1,8,9
HANSARDS SOLICITORS,0,0,0,9,9
HARDMAN & WHITTLES,0,0,0,9,9
HAROLD BELL & CO,0,2,0,7,9
HARTLAW LLP,0,0,1,8,9
HARVEY COPPING & HARRISON,0,0,0,9,9
HAWORTH BROTHERTON SOLICITORS,0,0,1,8,9
HEPTONSTALLS,0,0,2,7,9
HERBERT SMITH FREEHILLS LLP,0,0,0,9,9
HLF BERRY (INC ROBIN BURMAN & CO),0,0,0,9,9
Hole and Pugsley,0,0,2,7,9
HORWOOD & JAMES,0,0,2,7,9
HOWARD GREEN LLP,0,1,1,7,9
IDICULLA SOLICITORS,0,0,0,9,9
JACKIE SCOTT LIMITED,0,0,1,8,9
Janet Middleton,1,0,0,8,9
JORDANS SOLICITORS LLP (DONCASTER),0,0,0,9,9
JURY O'SHEA,0,1,1,7,9
K R CONVEYANCING SERVICES LTD,0,0,0,9,9
LEEDS DAY,0,0,0,9,9
LEVIN SOLICITORS,0,0,0,9,9
LIFETIME WILLS & TRUSTS LIMITED,1,0,1,7,9
LUNDYS,0,0,4,5,9
LYNN MURRAY,0,0,1,8,9
MAPLES SOLICITORS LLP,0,0,1,8,9
MICHAEL KELLY & CO,0,0,0,9,9
MILLS & BANN,0,0,1,8,9
MORGAN & CO,1,0,1,7,9
MORGAN KELLY SOLICITORS LTD,0,0,0,9,9
MORRIS HOMES LIMITED,0,0,0,9,9
NATIONAL LAW PARTNERS LIMITED,0,0,2,7,9
NELSON MYATT SOLICITORS LLP,2,0,2,5,9
NIGEL J HUMES & CO,0,0,1,8,9
OLA LESLIE SOLICITORS,0,0,0,9,9
OVER TAYLOR BIGGS,0,0,3,6,9
PDR PROPERTY LAWYERS,0,0,0,9,9
PETER AC SLOAN,0,0,1,8,9
PITMAN BLACKSTOCK WHITE,0,0,1,8,9
PURE PROPERTY LAW LLP,0,0,3,6,9
R GORDON ROBERTS LAURIE & CO,0,0,4,5,9
RAINER HUGHES (INCORPORATING ANAMI LAW),0,0,1,8,9
RAWORTHS LLP,0,0,1,8,9
RH PROPERTY LAWYERS LIMITED,0,0,0,9,9
RICHARDS AND LEWIS,0,0,3,6,9
RJR SOLICITORS LIMITED,0,0,2,7,9
RODGERS & BURTON,0,0,1,8,9
ROSAMUND COPPEN & CO,0,0,0,9,9
ROYDS WITHY KING LLP,0,0,5,4,9
RUSSELL & CO (MALVERN),0,0,0,9,9
SCAIFF LLP,0,0,1,8,9
SCOTT RICHARDS & CO,0,0,1,8,9
SEWELL MULLINGS & LOGIE LLP,1,0,3,5,9
SHERWOOD-SMITH TILLEY & CO,0,0,0,9,9
SOLOMONS SOLICITORS (BOURNEMOUTH),0,0,0,9,9
SPECTOR CONSTANT & WILLIAMS LTD,0,0,1,8,9
STANDLEY & CO,0,0,1,8,9
STEPHENS WILMOT LTD,0,0,0,9,9
STREATHERS SOLICITORS LLP,0,1,1,7,9
SUSAN HALL & CO SOLICITORS,0,0,0,9,9
SUSSEX LAW SOLICITORS,0,1,0,8,9
SWAN & DALE LLP,0,0,0,9,9
THOMPSON ALLEN LLP,0,0,1,8,9
TIERNEY & CO,0,0,3,6,9
VICARAGE COURT SOLICITORS LTD,0,0,0,9,9
WALKER WISE LTD,0,0,2,7,9
WALTERS & PLASKITT,0,0,1,8,9
WELLERS (HEDLEYS),0,0,2,7,9
WHETHAM & GREEN,0,0,1,8,9
WIDDOWS PILLING & CO,2,0,2,5,9
WITHERS LLP,0,0,1,8,9
AA SOLICITORS LTD,0,0,0,8,8
ABC WORCESTER LTD,0,0,0,8,8
ADAMS BURROWS,0,0,0,8,8
ADRIAN L BROMILEY,0,0,0,8,8
ALEN-BUCKLEY & CO,0,0,0,8,8
ALEXANDER & CO (DERBY),0,0,0,8,8
ARNOLD GREENWOOD SOLICITORS,1,0,3,4,8
ARTHUR JACKSON & CO,1,0,1,6,8
ATHI LAW LLP,0,0,1,7,8
AVERY & WALTERS LIMITED,0,0,1,7,8
BARRETT & THOMSON,0,0,0,8,8
BATE & ALBON LIMITED,0,0,1,7,8
BETESH MIDDLETON LAW LTD,0,0,2,6,8
BEVAN-EVANS & CAPEHORN,0,0,3,5,8
BLACKPOOL BOROUGH COUNCIL,0,0,0,8,8
BOODLE HATFIELD,0,0,1,7,8
Bramsdon & Childs,0,0,1,7,8
BROWN & CO (ESSEX),0,0,0,8,8
BRUNTON & CO,0,0,2,6,8
CALLIDUS LAW LIMITED,0,0,2,6,8
CAPRON & HELLIWELL,0,0,3,5,8
CARIS ROBSON LLP,0,0,3,5,8
CHESWORTHS,0,0,2,6,8
CHRIS ALLNUTT,0,0,0,8,8
COLLIER LITTLER,0,0,1,7,8
CROFTONS SOLICITORS LLP,0,0,2,6,8
D P CAMERON LIMITED,0,1,0,7,8
DAVID J FOSTER & CO,0,0,4,4,8
DB LAW,0,0,2,6,8
DERRICK BRIDGES & CO,0,0,1,7,8
DEVEREUX & CO SOLICITORS,0,0,3,5,8
DISKEN & CO,0,0,0,8,8
DUCAT LAW LIMITED,0,0,0,8,8
E J MOYLE & CO,0,0,2,6,8
EDWARD HUGHES,0,0,0,8,8
EDWARD OLIVER & CO SOLICITORS,0,0,1,7,8
ELVIN & CO,0,0,1,7,8
ETTINGER & VICKERS,0,0,1,7,8
FAIRHURST MENUHIN & CO LTD,0,0,0,8,8
FARNWORTH SHAW,0,0,1,7,8
FORSHAWS LLP NOW FORSHAWS DAVIES RIDGWAY LLP,0,0,3,5,8
G & I Chisholm,0,0,2,6,8
Gard & Co,0,0,0,8,8
GARNET WILSON CONVEYANCING,0,0,0,8,8
GARNETT WILLIAMS POWELL,0,0,0,8,8
GORDONS PARTNERSHIP LLP,0,0,0,8,8
GREENWOODS SOLICITORS,0,0,2,6,8
GREGSONS SOLICITORS (WIMBLEDON),0,2,1,5,8
HAINES CONVEYANCING,0,0,1,7,8
HANDSLAW SOLICITORS LLP,0,0,2,6,8
Harold G Walker Solictors,0,0,1,7,8
HARRIS CUFFARO & NICHOLS,0,0,0,8,8
HATTENS,0,0,1,7,8
Hill & Abbott,0,0,1,7,8
HODGKINSONS,1,0,2,5,8
HORSEY LIGHTLY,0,0,2,6,8
HOUGHTON PIGOT & CO,0,0,2,6,8
HOWELL & CO,0,0,2,6,8
HT LEGAL LIMITED,0,0,0,8,8
HUNT & WRIGLEY,1,0,3,4,8
ILETT AND CLARK,0,0,1,7,8
JACKSON QUINN,1,0,1,6,8
JC LAWYERS LIMITED,0,0,0,8,8
JOE EGAN,0,0,0,8,8
JOHNSONS SOLICITORS LIMITED,0,0,1,7,8
KEELYS,0,0,1,7,8
KERNON KELLEHER SOLICITORS LIMITED,0,0,0,8,8
KIDD SPOOR TAYLOR,0,0,0,8,8
KIERAN CLARKE,0,0,0,8,8
KILVINGTON SOLICITORS,0,0,4,4,8
KP SOLICITORS,0,0,0,8,8
KTP SOLICITORS,0,0,1,7,8
LATHAM & CO,0,0,2,6,8
LAWSON & THOMPSON,0,0,1,7,8
LAWSON-WEST,0,0,0,8,8
LEIGH DUNCAN LLP,0,0,2,6,8
LEVER LAW LIMITED,0,0,0,8,8
LEWIS & LINES,0,0,0,8,8
LEWIS DENLEY LIMITED,0,0,1,7,8
LUCAS & WYLLYS,1,0,2,5,8
M PATTERSON & CO PROP LAWYERS LTD,0,0,0,8,8
MACDONALD OATES LLP,0,0,0,8,8
MAHER & CO,0,0,0,8,8
MANDER CRUICKSHANK,0,0,1,7,8
MANN & CO SOLICITORS,0,0,0,8,8
MASKERY AND CO,0,0,0,8,8
MAY SOLICITORS LIMITED,0,0,1,7,8
MCS PROPERTY LIMITED,0,0,5,3,8
Morgan Laroche,0,0,0,8,8
MOSS & COLEMAN SOLS,0,1,2,5,8
MOTLEY & HOPE,0,0,0,8,8
NB LAW,0,0,2,6,8
NEWMAN & BOND,0,0,1,7,8
NIGEL PULLEN,0,0,3,5,8
O'HARAS SOLICITORS,1,0,1,6,8
OPTIMA LEGAL SERIVICES,0,0,1,7,8
PALMERS SOLICITORS BEDFORD LIMITED,0,0,1,7,8
PARK WOODFINE,0,0,6,2,8
PEARSON HINCHLIFFE LLP,0,0,1,7,8
PERRIN MYDDLETON,0,0,4,4,8
PETER BREARLEY LIMITED,0,0,0,8,8
PHOTIADES,0,0,3,5,8
PLUCK ANDREW & CO,0,0,1,7,8
PRESTON REDMAN LLP,0,0,1,7,8
PROGRESSION SOLICITORS,0,0,3,5,8
RALPH & CO,0,0,1,7,8
RANDLE THOMAS LLP,0,0,3,5,8
RANSON HOUGHTON,0,0,1,7,8
RAY NIXON BROWN,0,0,0,8,8
REBECCA L FARET,0,0,1,7,8
REDFERN & CO,0,0,0,8,8
RICHARDS SOLICITORS,0,0,1,7,8
ROBINSONS (KENT),0,0,2,6,8
SA LAW INCORPORATING PICKWORTHS,0,0,1,7,8
SAMUELS SOLICITORS,0,0,1,7,8
SANDERS WITHERSPOON LLP,0,0,0,8,8
SPARLING BENHAM & BROUGH,0,0,0,8,8
STEFAN PTYCIA,0,0,0,8,8
STRATFORD SOLICITORS LIMITED,0,0,0,8,8
SURREY HILLS SOLICITORS LLP,0,0,1,7,8
TAYLOR HALDANE BARLEX LLP,0,0,2,6,8
TAYLOR WIMPEY UK LTD (SOUTH WEST),0,0,2,6,8
THE COMMERCIAL LAW PRACTICE LIMITED,0,0,3,5,8
THE ELLEN COURT PARTNERSHIP,0,0,1,7,8
THORNES LEGAL LIMITED,0,0,1,7,8
THORNEYCROFT & CO,0,0,1,7,8
THOS BOYD WHYTE (INC STUART HURRION & GREEN),0,0,0,8,8
TTS SOLICITORS,1,0,1,6,8
VALENTINE DUGGINS SOLICITORS,0,0,1,7,8
W DAVIES LLP,0,0,1,7,8
W H DARBYSHIRE LIMITED,0,0,1,7,8
WALLER POLLINS,0,0,1,7,8
WHEELERS LLP,0,0,0,8,8
WHEN YOU MOVE LIMITED,0,0,1,7,8
WHITMORE LAW,0,0,0,8,8
WILLIAMS & CO (BRIGNORTH),1,0,1,6,8
WILSONS SOLICITORS LLP,0,0,2,6,8
WISEMAN LEE,0,0,0,8,8
WITTS MOLONEY SOLICITORS,0,0,2,6,8
WOODCOCK & THOMPSON,0,0,0,8,8
WOOLLASTONS,0,0,3,5,8
WRIGHT & LORD SOLICITORS,0,0,2,6,8
WYKEHAM & CO,0,0,2,6,8
AARON & PARTNERS,0,0,0,7,7
ADDIES SOLICITORS,0,0,0,7,7
AH PAGE,0,0,2,5,7
ALBINSON NAPIER,0,0,0,7,7
ALLENS CONVEYANCING,0,0,2,5,7
ALSTERS KELLEY,0,0,3,4,7
ANGELS SOLICITORS LLP,0,0,0,7,7
ASH CLIFFORD,0,0,0,7,7
ASHLEY WILSON SOLICTORS,0,0,0,7,7
AUSTINS LLP,1,0,1,5,7
AXIS LEGAL SERVICES LIMITED,0,0,0,7,7
AZMI RANA SOLICITORS,0,0,0,7,7
BAKER LAW LLP,0,1,0,6,7
BASSETS SOLICITORS,0,0,1,6,7
BENNETT GRIFFIN & PARTNERS,0,0,1,6,7
BESWICKS,0,0,0,7,7
BLOSSOM LAW SOLICITORS,0,0,0,7,7
BORSDANE PROPERTIES LTD,0,0,5,2,7
BOULTER & COMPANY,0,0,0,7,7
BOWCOCK CUERDEN,0,0,0,7,7
BOWLES & CO,0,0,0,7,7
BRADLY TRIMMER,0,0,0,7,7
BRIDGERS LAW LIMITED,0,0,1,6,7
BROADACRES HOUSING ASSOCIATION LTD,0,0,6,1,7
BROWELL SMITH & CO,0,0,2,5,7
BROWN HOLLIDAY & CLEMENTS,0,0,0,7,7
BSG SOLICITORS,0,0,4,3,7
BURTON & CO LLP,1,0,1,5,7
CAIN ASSOCIATES,0,0,1,6,7
CARR RICHARDS,1,0,1,5,7
CAVERSHAM SOLICITORS LTD,0,0,0,7,7
CHARLES COLEMAN & CO (READING),0,0,3,4,7
CHARLES PLATEL & PARTNERS,0,0,0,7,7
CLAIRE SOLTANI,0,0,0,7,7
CLARKE AND HARTLAND SOLICITORS,0,0,1,6,7
COOPER STOTT SOLICITORS,0,0,0,7,7
CORE LAW GROUP LLP,0,1,1,5,7
COWLISHAW & MOUNTFORD,0,0,1,6,7
CROFTS,0,0,1,6,7
CROSBY & WOODS,0,0,0,7,7
CURRY POPECK,0,0,0,7,7
DAVEY LAW LTD,1,0,0,6,7
DAVID SHINE & KHARBANDA,0,0,0,7,7
DAVIS & CO PROPERTY LAWYERS LTD,0,0,2,5,7
DECIMUS FEARON SOLICITORS,0,0,0,7,7
F BARNES & SON,0,0,1,6,7
FRISBY & SMALL LLP,0,0,1,6,7
GATTAS DENFIELD,0,0,1,6,7
GAYNOR-SMITH OWEN AND CO,0,1,0,6,7
GENTOO GROUP LIMITED,0,0,0,7,7
GLYNIS M MACKIE,0,0,1,6,7
