Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Apr-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
HELENA PARTNERSHIPS,0,0,1,0,1
HILL JOHNSON,0,0,1,0,1
HILL RESIDENTIAL LIMITED,0,0,1,0,1
HOFFMAN MALE,0,0,1,0,1
HOLMES & HILLS,0,0,1,0,1
HOPKINS SOLICITORS,0,0,1,0,1
HOWARD KENNEDY FSI,0,0,1,0,1
Howells Solicitors,0,0,0,1,1
HS LAWYERS LIMITED,0,0,0,1,1
HUGH JAMES SOLICITORS,0,0,1,0,1
INSIGHT LAW,0,0,1,0,1
ISABELLE E RASTALL,0,0,1,0,1
J S LAW,0,0,0,1,1
JC LAWYERS LIMITED,0,0,0,1,1
JCP SOLICITORS LIMITED (INC VJG JOHNS & SON),0,0,1,0,1
JOHAR & COMPANY,0,0,1,0,1
JOHN FOWLERS LLP SOLICITORS,0,0,1,0,1
JOHN MORSE SOLICITORS,0,0,0,1,1
JULIE WEST SOLICITOR,0,0,1,0,1
K BOSWELL & COMPANY,0,0,1,0,1
KEW LAW LLP,0,0,0,1,1
KINGFIELDS,0,1,0,0,1
KNIGHTS SOLICITORS LLP (NEWCASTLE UNDER LYME),0,0,0,1,1
LANGLEY WELLINGTON,0,0,1,0,1
LATHAM & CO,0,0,1,0,1
LAWBRIEFS LIMITED,0,0,0,1,1
Lawcomm Solicitors,0,1,0,0,1
LAWYERS INCORPORATED LIMITED,0,0,0,1,1
LAYZELLS,0,1,0,0,1
LEATHES PRIOR,0,0,1,0,1
LESTER ALDRIDGE LLP,0,0,1,0,1
LEWIS NEDAS,0,0,1,0,1
LEWIS RODGERS,0,0,1,0,1
LLOYD EVANS LLP,0,0,0,1,1
LODDERS LLP,0,0,1,0,1
LOFTHOUSE & CO SOLICITORS,0,0,1,0,1
LONGMORES SOLICITORS,0,0,1,0,1
LYONS,0,0,1,0,1
MACHINS,0,0,1,0,1
MALCOLM C FOY & CO LIMITED,0,0,0,1,1
MALEKIN LAW,0,0,0,1,1
MANCINI LEGAL,0,0,0,1,1
MASON BAGGOTT & GARTON,0,0,1,0,1
MEADE KING,0,0,0,1,1
MEMERY CRYSTAL LLP,0,0,0,1,1
MENTORS,0,0,0,1,1
MERRY & CO,0,0,1,0,1
METCALFE COPEMAN & PETTEFAR,0,0,1,0,1
MICHAEL KELLY & CO,0,0,0,1,1
MICHAEL LEIGHTON JONES,0,0,1,0,1
MILLS & REEVE LLP,0,0,1,0,1
