Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jan-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
PORTER DODSON LLP,15,8,6,151,69,1,12,0,25,427,144,858
BOODLE HATFIELD,2,11,2,343,38,0,5,0,15,352,89,857
BOING RAPID SECURE LIMITED,0,0,0,0,0,0,0,0,0,856,0,856
Taylor Wessing LLP,0,7,1,133,25,5,8,0,7,533,137,856
JANE BROOKS LAW,14,3,34,246,155,1,21,0,7,249,112,842
WARNER GOODMAN LLP,8,16,7,237,153,1,24,1,7,263,123,840
CROYDON COUNCIL,0,0,0,0,0,0,0,0,0,835,1,836
DUTTON GREGORY,10,20,66,196,19,1,11,0,3,395,115,836
NORTON PESKETT (QUALITY SOLICITORS),10,7,50,203,103,0,27,0,13,329,92,834
THE ROMANS GROUP (UK) LIMITED%,0,0,0,0,0,0,0,0,0,830,1,831
SANCTUARY HOUSING ASSOCIATION,0,0,1,78,1,0,0,0,10,491,248,829
BBH LEGAL SERVICES LIMITED,4,4,8,235,189,0,7,0,3,294,82,826
GORDON BROWN LAW FIRM LLP,5,28,65,222,89,3,54,0,9,233,117,825
BOLTON REED LIMITED,0,0,0,0,0,0,0,0,0,821,0,821
ONESAVINGS BANK PLC,0,0,0,315,0,0,0,0,0,502,4,821
WITHERS LLP,0,7,3,85,6,1,7,0,12,522,174,817
HEALYS LLP,1,27,5,197,117,2,26,0,6,292,143,816
WEDLAKE BELL,0,6,1,121,85,6,15,0,10,465,106,815
BNP PARIBAS LEASING SOLUTIONS LIMITED,0,0,0,0,0,0,0,0,0,694,119,813
INSOLVENCY SERVICE (THE),0,0,0,224,0,0,0,0,0,569,20,813
ELLIS JONES,3,21,6,164,67,0,71,0,6,372,102,812
FRASER BROWN,8,21,29,231,66,1,37,0,16,276,126,811
BHW SOLICITORS,3,10,90,151,88,1,85,0,4,240,135,807
Mincoffs Solicitors LLP,5,8,8,208,96,0,8,0,3,347,123,806
TOLHURST & FISHER,3,10,6,152,106,0,13,0,4,397,114,805
SEVERN TRENT RETAIL SERVICES,0,0,0,9,1,0,0,0,0,767,27,804
SLATER HEELIS LLP,3,11,7,211,106,0,4,0,28,347,85,802
NALDERS SOLICITORS,17,8,19,212,102,1,41,0,17,271,111,799
JCP SOLICITORS LIMITED (INC VJG JOHNS & SON),12,7,11,170,100,0,13,0,8,341,136,798
FRASER DAWBARNS SOLICITORS,19,3,20,189,81,1,26,0,28,338,92,797
LANYON BOWDLER,11,1,14,118,60,6,15,0,17,435,116,793
RMNJ Solicitors,7,7,5,252,201,0,13,0,3,221,84,793
VIRGIN MONEY PLC (INCLUDING NORTHERN ROCK),0,0,0,61,0,0,0,0,0,730,2,793
