Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,May-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
MOORCROFT GROUP PLC,0,0,0,0,0,0,0,0,0,481,0,481
SANCTUARY HOUSING ASSOCIATION,0,0,0,5,2,0,0,0,2,325,146,480
BRACHERS LLP,1,2,2,70,11,0,4,0,7,355,27,479
MACINTYRE HUDSON LLP,0,0,0,2,0,0,0,0,0,471,6,479
ELLISONS,1,1,4,85,58,0,10,0,7,222,89,477
PIRIE PALMANN LIMITED,2,2,2,76,139,0,24,0,9,142,80,476
STAR LEGAL LLP,0,2,3,90,98,0,24,0,1,188,69,475
WARDS,1,0,1,58,52,0,43,0,4,246,70,475
C B RICHARD ELLIS LTD,0,0,0,0,0,0,0,0,0,232,242,474
CONNECT2LAW LTD,0,0,1,112,273,0,14,0,0,40,31,471
MAYO WYNNE BAXTER,0,8,3,63,53,1,10,0,3,242,87,470
COMPUTERSHARE MORTGAGE SVS LTD,0,0,0,452,0,0,0,0,0,11,6,469
BNP PARIBAS LEASING SOLUTIONS LIMITED,0,0,0,0,0,0,0,0,0,403,64,467
KUIT STEINART LEVY,0,1,6,54,135,1,9,0,11,166,83,466
BOLTON REED LIMITED,0,0,0,0,0,0,0,0,0,465,0,465
KEY CONVEYANCING,0,5,15,55,71,0,120,0,1,129,69,465
BANNISTER PRESTON,0,1,8,55,84,0,118,0,1,136,61,464
METRO BANK PLC,0,0,0,72,0,0,0,0,0,388,3,463
THE GUINNESS PARTNERSHIP LIMITED,0,0,0,0,0,0,0,0,0,230,232,462
LEGAL & GENERAL HOME FINANCE LTD,0,0,0,53,0,0,0,0,0,408,0,461
SHAWBROOK ASSET FINANCE T/A,0,0,0,0,0,0,0,0,0,457,0,457
AFFINITY SUTTON HOMES LTD,0,0,0,0,0,0,0,0,0,269,186,455
SILLS AND BETTERIDGE,1,3,2,76,103,0,35,0,4,166,65,455
MIL COLLECTIONS LTD,0,0,0,0,0,0,0,0,0,452,2,454
LEGAL AND CONTINGENCY LTD,0,0,0,0,0,0,0,0,0,328,124,452
Lockings,0,0,0,75,72,1,16,0,1,243,40,448
WEDLAKE BELL,0,3,2,36,10,0,7,0,8,328,53,447
BUSINESS ENERGY SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,444,0,444
RONALD FLETCHER BAKER LLP,0,12,1,66,67,0,36,0,21,166,75,444
DMH STALLARD,0,5,3,41,40,0,56,0,6,245,47,443
THRINGS LLP,1,5,1,64,27,0,13,0,13,242,74,440
POINT2 SURVEYORS LTD,0,0,0,0,0,0,0,0,0,257,180,437
