Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Mar-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
WRIGHT HASSALL LLP,0,0,18,30,48
BRADDON AND SNOW LIMITED,1,0,17,29,47
BUTTERWORTHS,0,0,16,31,47
COLES MILLER SOLICITORS LLP,0,2,1,44,47
Gardner Leader,1,0,8,38,47
Hutchinson Thomas,2,0,9,36,47
JACKSON LEES GROUP LTD,1,1,0,45,47
LACEYS,0,0,1,46,47
LIGHTFOOTS,0,0,5,42,47
MICHAEL HILL PARTNERSHIP,0,0,43,4,47
Mincoffs Solicitors LLP,0,1,6,40,47
WHN SOLICITORS LIMITED,1,0,5,41,47
Williamsons Solicitors Limited,2,0,8,37,47
ALDERSON LAW LLP,0,0,13,33,46
BAND HATTON BUTTON LLP,2,0,8,36,46
ELLISONS,0,0,7,39,46
HOLMES & HILLS,1,0,16,29,46
TAYLORS LEGAL,0,0,22,24,46
BARNES & PARTNERS,0,0,6,39,45
Hartley & Worstenholme,1,0,4,40,45
HEGARTY LLP,2,0,29,14,45
MAYO WYNNE BAXTER,0,1,11,33,45
ORJ SOLICITORS,0,0,22,23,45
SEDDONS,0,2,1,42,45
Shulmans,0,0,6,39,45
THURSFIELDS SOLICITORS,2,0,12,31,45
YVA SOLICITORS LLP,0,0,3,42,45
BREWER WALLACE LTD,0,0,3,41,44
COOK & TALBOT,2,0,0,42,44
CURTIS LAW LLP INC CURTIS WHITEFORD CROCKER,0,0,4,40,44
FLINT BISHOP SOLICITORS,0,0,9,35,44
JACKSONS LAW FIRM,0,0,29,15,44
JB LEITCH REAL ESTATE LTD,0,0,40,4,44
Paris Smith LLP,0,0,4,40,44
SAMUEL PHILLIPS & CO,0,0,15,29,44
ST JAMES LAW LIMITED,0,0,7,37,44
TAYLOR BRACEWELL,1,0,3,40,44
WARDS,1,0,3,40,44
WOLLEN MICHELMORE,1,0,15,28,44
DEVONSHIRES,0,0,37,6,43
LYONS BOWE SOLICITORS,0,0,3,40,43
ROBERTS SOLICITORS,0,1,4,38,43
ROGERS & NORTON LIMITED,2,0,18,23,43
SLATER HEELIS LLP,0,0,7,36,43
TALLENTS SOLICITORS,1,0,25,17,43
Tinsdills Solicitors,1,0,7,35,43
BARKER BOOTH & EASTWOOD,0,0,6,36,42
BEIGHTONS,0,0,22,20,42
CROFTONS SOLICITORS LLP,0,0,26,16,42
FARNFIELDS,0,0,6,36,42
HIBBERTS LLP,0,0,8,34,42
MARK SWATTS MORSE LLP,0,0,1,41,42
MATTHEW MONTGOMERY & CO,0,0,13,29,42
PENNINGTONS MANCHES  COOPER,0,0,8,34,42
PETER ROSS TA PETER ROSS & CO,1,0,19,22,42
TOZERS LLP,0,0,14,28,42
VEALE WASBROUGH VIZARDS,0,1,2,39,42
GLANVILLES LLP,0,1,6,34,41
GOTELEE SOLICITORS,0,0,16,25,41
HETHERTONS LLP,1,0,4,36,41
KIDD RAPINET LLP,0,0,1,40,41
LANCASHIRE LAW LIMITED,1,0,3,37,41
ROBERTSONS,0,0,12,29,41
SIMPSON JONES LLP,0,0,13,28,41
TAYNTONS (LS) LIMITED,2,0,6,33,41
BESPOKE LAW SERVICES,0,1,3,36,40
INSIGHT LAW,0,0,3,37,40
MACLAREN WARNER,3,0,1,36,40
PIGOTTS SOLICITORS,0,0,6,34,40
SORT LEGAL LIMITED,0,0,3,37,40
TICKLE HALL CROSS,0,0,10,30,40
WOODWARDS (PERSONAL INJURY) LTD,1,0,0,39,40
ASHTONS LEGAL,2,1,17,19,39
Battens Solicitors Limited,0,0,9,30,39
BIRD & CO,2,0,2,35,39
FAIRWEATHER LAW,0,0,26,13,39
FBC Manby Bowdler LLP,0,0,5,34,39
GORDONS PROPERTY LAWYERS,2,0,2,35,39
HALL SMITH WHITTINGHAM,0,0,6,33,39
HARROWELLS (INC POWELL & YOUNG),0,0,17,22,39
Wilson Browne,0,0,4,35,39
CHURCHERS  SOLICITORS,0,0,10,28,38
DAVID GRAY SOLICITORS,0,0,9,29,38
GEPP & SONS SOLICITORS LLP,0,0,4,34,38
HOPKINS SOLICITORS,2,0,1,35,38
NEVES SOLICITORS,0,0,6,32,38
OSBORNE CLARKE,0,0,7,31,38
BG SOLICITORS LLP,0,0,9,28,37
DOUGLAS-JONES & MERCER (DJM),0,0,9,28,37
GRAYSONS SOLICITORS,1,0,4,32,37
HAWLEY AND RODGERS,1,0,3,33,37
HEALYS LLP,0,2,4,31,37
JONES & COMPANY,1,0,9,27,37
PARK WOODFINE,0,0,17,20,37
THOMSON SNELL & PASSMORE,0,0,12,25,37
WARD & RIDER,1,0,2,34,37
WIDDOWS MASON,1,0,7,29,37
BEVERLEY MORRIS & CO,0,0,4,32,36
BRETHERTONS LLP,0,0,7,29,36
CRANE & WALTON SOLICITORS,0,0,3,33,36
HOWELLS LLP,0,0,2,34,36
HUMPHRIES KIRK LLP,1,1,7,27,36
KEOGHS LLP,0,1,0,35,36
NATIONAL GRID COMPANY PLC,5,0,0,31,36
NORRIE WAITE & SLATER,0,0,5,31,36
PALMERS LAW (ESSEX),0,1,3,32,36
AWB CHARLESWORTH,0,0,5,30,35
Batchelor Sharp,1,0,3,31,35
BROGAN PROPERTY LAWYERS,0,0,3,32,35
DUFFIELD HARRISON LLP,0,1,15,19,35
ELMHIRST PARKER LLP,0,0,7,28,35
FARLEYS,1,0,5,29,35
HENRIQUES GRIFFITHS & CO,0,0,4,31,35
JOHN FOWLERS LLP SOLICITORS,0,0,7,28,35
MEWIES SOLICITORS,3,0,3,29,35
Oliver & Co Solicitors Limited,1,0,7,27,35
STONE MILWARD RAPERS (SMR SOLICITORS),0,1,7,27,35
Suremove Property Lawyers,0,0,5,30,35
BURNETTS,2,0,10,22,34
Cozens-Hardy LLP,1,0,5,28,34
GAMLINS SOLICITORS LLP,0,0,9,25,34
GOSSCHALKS,0,0,4,30,34
HOLBROOK & CO,0,0,8,26,34
KERSEYS,0,0,2,32,34
Matthew & Matthew,0,2,0,32,34
OCEAN PROPERTY LAWYERS LTD,0,0,4,30,34
PARKER RHODES HICKMOTTS,0,0,4,30,34
THORNTON SOLICITORS,1,0,17,16,34
THRINGS LLP,0,0,10,24,34
BLASER MILLS INCORPORATING NORRIS BAZZARD,1,0,4,28,33
CHAFES HAGUE LAMBERT LLP,0,0,6,27,33
GARRATTS SOLICITORS,0,1,1,31,33
HEWITSONS,0,0,8,25,33
HOBSON & LATHAM,0,1,1,31,33
HOWES PERCIVAL,0,0,17,16,33
LANYON BOWDLER,2,0,7,24,33
LEATHES PRIOR,0,0,5,28,33
LESTER ALDRIDGE LLP,1,1,6,25,33
MOOREBLATCH,0,1,13,19,33
PCS,2,0,5,26,33
RHODES & WALKER,0,0,15,18,33
SWINBURNE MADDISON,0,0,8,25,33
Sydney Mitchell LLP,0,0,3,30,33
AXIOM STONE LONDON LTD,0,0,0,32,32
Browne Jacobson LLP,0,1,20,11,32
CLARKES SOLICITORS,0,0,5,27,32
COOKE PAINTER LIMITED,1,0,2,29,32
DEZREZLEGAL LIMITED,1,0,2,29,32
EHL CONVEYANCING LIMITED,1,0,2,29,32
KENNETH M BARROW AND CO,1,0,0,31,32
Nockolds,1,1,5,25,32
PAYNE MARSH STILLWELL,0,0,2,30,32
ROGER JAMES CLEMENTS & PARTNERS,0,0,4,28,32
ROSEWOOD LAW LIMITED,0,0,1,31,32
SAM HAWKING & CO,0,0,2,30,32
SANDERSONS SOLICITORS,0,0,13,19,32
SPENCER SKUSE & POTTER,0,0,0,32,32
BBH LEGAL SERVICES LIMITED,1,0,1,29,31
CHARTAHOUSE CONVEYANCING SERVICES,1,0,0,30,31
ENGLAND STICKLAND & CO,0,0,2,29,31
Foskett Marr Gadsby & Head,0,0,7,24,31
GABY HARDWICKE,0,1,10,20,31
HILLYER MCKEOWN,0,0,3,28,31
LCF RESIDENTIAL LTD,1,0,6,24,31
LOWICK MCKAY,0,0,1,30,31
