Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Mar-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
BOYES SUTTON & PERRY,0,0,1,10,11
BROWN BARRON,1,0,1,9,11
BRYAN AND ARMSTRONG,0,0,0,11,11
CAPSTICKS SOLICITORS LLP,0,0,10,1,11
CARR & CO (BLYTH),0,0,2,9,11
CHAMBERLINS (GT YARMOUTH),0,0,0,11,11
CHILD AND CHILD LIMITED,0,1,0,10,11
CLAIRE SOLTANI,0,0,0,11,11
CONVEY US LIMITED,1,0,0,10,11
COOLE BEVIS LLP,0,0,1,10,11
COWLEY DI GIORGIO SOLICITORS,0,0,1,10,11
CROSBY & WOODS,0,1,2,8,11
CROSS RAM & CO,3,0,4,4,11
DERRICK BRIDGES & CO,0,0,2,9,11
EASTHAMS SOLICITORS LIMITED,0,0,2,9,11
EQUITAS LAW LTD,0,0,4,7,11
FLETCHER & CO,0,0,2,9,11
G SPILSBURY & CO,1,0,4,6,11
GARDNER ILIFF & DOWDING,0,0,3,8,11
GEOFFREY HILL & CO,0,0,1,10,11
GLAISYERS SOLICITORS LLP,0,0,2,9,11
GRIFFITHS & HUGHES PARRY,2,0,1,8,11
GUTHRIE JONES & JONES,0,0,2,9,11
GWYN GEORGE PARTNERSHIP,1,0,1,9,11
GWYNNE HUGHES SOLICITORS,0,0,4,7,11
H F T GOUGH & CO,0,0,4,7,11
HAIGHS SOLICITORS,0,0,0,11,11
HERBERT MALLAM GOWES LLP,0,0,2,9,11
HERINGTONS SOLICITORS,0,0,2,9,11
HEWETTS,0,0,0,11,11
HOMDEN PROPERTY LAWYERS,0,0,0,11,11
JONES ROBERTSON SOLICITORS,0,0,0,11,11
KITSON & TROTMAN LLP,0,0,0,11,11
KUNDERT SOLICITORS LLP,0,0,2,9,11
LABRUMS,0,0,0,11,11
LEONARD GRAY LLP,0,0,3,8,11
LIDDY'S SOLICITORS,0,0,2,9,11
LIFETIME WILLS & TRUSTS LIMITED,0,0,6,5,11
LISA'S LAW,0,0,0,11,11
LYONS,0,0,1,10,11
M PATTERSON & CO PROP LAWYERS LTD,0,0,2,9,11
MACKRELL TURNER GARRETT,0,0,0,11,11
MANCINI LEGAL,0,0,3,8,11
MANDER CRUICKSHANK,0,0,5,6,11
MILLS & BANN,0,0,2,9,11
Morgan Laroche,0,0,3,8,11
MOSS & COLEMAN SOLS,0,0,2,9,11
MOXON & BARKER,0,0,0,11,11
OSBORNES,0,0,1,10,11
PARKLANDS PROPERTY LAWYERS LIMITED,0,0,0,11,11
PARTRIDGE ALLEN,0,0,0,11,11
PICKERING & BUTTERS LLP,0,0,3,8,11
PICKERINGS,0,0,1,10,11
READ DUNN CONNELL LIMITED,0,0,2,9,11
RH PROPERTY LAWYERS LIMITED,0,0,0,11,11
RICHARDS SOLICITORS,0,0,3,8,11
RICHARDSON LAW LLP,0,0,4,7,11
RICHARDSONS,0,0,0,11,11
RILEY LANGDON SOLICITORS,0,1,1,9,11
RLE LAW PRACTICE LTD,0,0,2,9,11
ROBERT MANN,0,0,2,9,11
ROSE & ROSE SOLICITORS,0,0,0,11,11
S V WADSWORTH & CO,0,0,0,11,11
SCOTT BAILEY LLP,0,0,1,10,11
SCOTT RICHARDS & CO,0,0,1,10,11
SELDONS LLP,0,0,3,8,11
SHERWOOD SOLICITORS,0,0,0,11,11
STEADMAN JONES LIMITED T/A STEADMAN JONES & BELL,2,0,1,8,11
STEED & STEED,1,0,1,9,11
STERNBERG REED,0,0,0,11,11
STRAW & PEARCE,1,0,6,4,11
STREETER MARSHALL,0,1,2,8,11
TAYLOR WIMPEY UK LTD (SOUTH WEST),0,0,3,8,11
TEMPLE HEELIS,0,0,4,7,11
THREEMO LEGAL SERVICES LIMITED,0,0,2,9,11
TOOMEY LEGAL LIMITED,0,0,2,9,11
TTS SOLICITORS,0,0,2,9,11
UNGOED-THOMAS & KING,0,0,2,9,11
W S STRATEGIC LIMITED,0,0,4,7,11
WILSONS SOLICITORS LLP,0,0,3,8,11
WORRALLS SOLICITORS,0,0,2,9,11
A R BROWN & CO,0,0,1,9,10
ABC WORCESTER LTD,1,0,2,7,10
ACCOUNTANCY SOLUTIONS (UK) LIMITED,1,0,1,8,10
ACKLAM BOND NOOR,0,0,0,10,10
ADDLESTONE KEANE,0,0,1,9,10
ALFRED NEWTON & CO,0,0,0,10,10
ANDREW LEE & CO,0,0,2,8,10
ANDREWS RITSON LIMITED,1,0,3,6,10
APLIN STOCKTON FAIRFAX T/A APLINS,0,0,0,10,10
APPLEBY HOPE & MATTHEWS,0,0,3,7,10
ARTHUR JACKSON & CO,1,0,2,7,10
ASTON BOND,0,0,1,9,10
BAILEY & CO,0,0,0,10,10
BARLOW ROBBINS,0,0,1,9,10
BELL PARK KERRIDGE LIMITED,1,0,1,8,10
BENJAMIN ROGER WILLIAM SPARROW,0,0,10,0,10
BERRY SMITH LLP,0,0,2,8,10
BETESH MIDDLETON LAW LTD,0,0,0,10,10
BOYCE HATTON,0,0,2,8,10
BRAND MELLON,0,0,1,9,10
BRIGHOUSES INCORPORATING ESPLEY & CO,0,0,1,9,10
BROOMFIELDS SOLICITORS LLP,0,0,2,8,10
BROWN & CO (ESSEX),0,0,0,10,10
BUDE NATHAN IWANIER,0,0,3,7,10
CAPSTICK-DALE & PARTNERS,0,0,0,10,10
Cartmell Shepherd,0,0,2,8,10
CHALLENOR GARDINER,0,0,3,7,10
CHRISTOFI WELLS & CO,0,0,0,10,10
CHRISTOPHER DAVIDSON SOLICITORS,1,0,1,8,10
CLARKE AND HARTLAND SOLICITORS,0,0,2,8,10
CLARKSON WRIGHT & JAKES,0,0,1,9,10
CLEMENT HUGHES & CO,0,0,0,10,10
CLOUGH & WILLIS,0,0,1,9,10
COCKS LLOYD,0,0,1,9,10
COOPER SONS HARTLEY & WILLIAMS LLP,1,0,0,9,10
COUPE BRADBURY,1,0,1,8,10
CURRY POPECK,0,0,2,8,10
CURWENS,0,1,0,9,10
DALE AND CO SOLICITORS,0,0,0,10,10
DFA Law,0,0,1,9,10
DWFM BECKHAM,0,0,1,9,10
DYER & CROWE,0,0,1,9,10
E&K SOLICITORS,0,0,0,10,10
EATON SMITH,1,0,1,8,10
EDDOWES PERRY & OSBOURNE LIMITED,0,0,3,7,10
ELLICOTTS,0,2,0,8,10
FAIRHURST MENUHIN & CO LTD,0,0,3,7,10
FREDERIC HALL & CO,0,0,1,9,10
GO CONVEY,0,0,1,9,10
GOODMAN GRANT SOLICITORS,0,0,2,8,10
GRAHAM WITHERS & CO,0,0,2,8,10
GRANVILLE WEST CHIVERS & MORGAN,0,0,2,8,10
HALSALLS,0,0,0,10,10
HAMERS (ROSSENDALE),0,0,2,8,10
HANNAYS SOLICITORS & ADVOCATES,0,0,2,8,10
HANRATTY & CO,0,0,2,8,10
HAWORTH HOLT BELL SOLS,0,1,0,9,10
HEALD NICKINSON,0,0,3,7,10
HEPTONSTALLS,0,0,0,10,10
HINE SOLICITORS,0,0,3,7,10
HODGSON & ANGUS,0,0,3,7,10
HOPKINS LAW,0,0,2,8,10
HOUGHTON PIGOT & CO,1,0,0,9,10
HPLC CONVEYANCING LTD,0,0,0,10,10
HUNTON & GARGET,0,0,0,10,10
JACOBS & REEVES,0,0,3,7,10
Jaffe Porter Crossick LLP,0,0,0,10,10
Janet Middleton,0,0,1,9,10
John Hodge,1,0,1,8,10
JUST HOUSES LIMITED,0,0,1,9,10
K BOSWELL & COMPANY,0,0,0,10,10
KEOGHS NICHOLLS LINDSELL & HARRIS,1,0,0,9,10
KINGFIELDS,0,0,0,10,10
KINGSGUARD LEGAL LTD,0,0,0,10,10
KIRK & PARTNERS,0,0,0,10,10
KTP SOLICITORS,1,0,0,9,10
KWW,0,0,2,8,10
LAMBERT TAYLOR & GREGORY,0,0,5,5,10
LANE & CO,0,0,7,3,10
LAWRENCE HAMBLIN,0,0,1,9,10
LAWSON-WEST,0,0,1,9,10
LEICESTER CITY COUNCIL,0,0,0,10,10
LEX SOLICITORS,0,0,1,9,10
LOFTHOUSE & CO SOLICITORS,0,0,1,9,10
MACLACHLAN SOLICITORS,0,0,4,6,10
MAPLES SOLICITORS LLP,0,0,1,9,10
MAXWELL HODGE,0,0,0,10,10
MEADE KING,0,0,5,5,10
MEADOWS RYAN SOLICITORS LTD,0,0,2,8,10
MILLS CHODY,0,0,0,10,10
MJP LAW,0,0,1,9,10
MOORE & TIBBITS (QUALITY SOLICITORS),0,0,0,10,10
Morris & Bates,0,0,0,10,10
MOSELEYS,0,0,2,8,10
MOUNTENEY CONVEYANCERS LIMITED,0,0,2,8,10
NORCROSS LEES & RICHES,0,0,1,9,10
NOTTINGHAM CITY COUNCIL,0,0,2,8,10
PAYTONS,0,0,1,9,10
PCS,0,0,0,10,10
PDR PROPERTY LAWYERS,1,0,3,6,10
Pengillys,1,0,4,5,10
PERRIN MYDDLETON,0,0,7,3,10
PHOTIADES,1,0,1,8,10
PUDSEY LEGAL,0,0,0,10,10
R J SOLICITORS,0,0,0,10,10
RAINER HUGHES (INCORPORATING ANAMI LAW),0,0,0,10,10
RANSON HOUGHTON,0,0,1,9,10
RICHARDS AND LEWIS,0,0,0,10,10
Rollits LLP,0,0,4,6,10
RONALDSONS,0,0,2,8,10
ROYDS WITHY KING LLP,0,0,10,0,10
SARGINSONS LAW LLP,0,0,1,9,10
SAVAGE CRANGLE SOLICITORS,0,0,2,8,10
SCOTT DUFF & CO,1,0,0,9,10
SCOTT FOWLER,0,0,0,10,10
SCOTT ROWE,0,0,4,6,10
SELL UK PROPERTY LTD,0,0,0,10,10
SEYMOUR LUKE LTD,0,0,3,7,10
SOLENT PROPERTY LAWYERS LIMITED,0,0,0,10,10
SOLICITOR DIRECT,1,0,1,8,10
STALLARD MARCH & EDWARDS,1,0,0,9,10
STAPLETONS,0,1,1,8,10
STEELS,0,0,2,8,10
STEVE DAVIES SOLICITORS,1,0,0,9,10
STRATEGA LAW LIMITED,0,1,1,8,10
SUTTON-MATTOCKS & CO,0,0,0,10,10
TINN CRIDDLE & CO,0,0,1,9,10
Vine Orchards,0,0,0,10,10
WADE & WADE LLP,0,0,0,10,10
WALTERS & PLASKITT,1,0,1,8,10
WARTNABY HEFFORD,0,0,3,7,10
WATKINS SOLS INC B SINNOTT & CO,0,0,0,10,10
WHATLEY RECORDON,0,0,0,10,10
WHITING & MASON,0,0,2,8,10
WILLIAMS BEALES & CO,0,0,1,9,10
WOOLLCOMBE & YONGE,0,0,0,10,10
WRIGHT & LORD SOLICITORS,0,0,0,10,10
ADIE PEPPERDINE LLP,0,0,0,9,9
ALMY & THOMAS,0,0,0,9,9
ANDREW JACKSON,0,0,2,7,9
ANTHONY FOLEY,1,0,1,7,9
ARNOLD THOMSON LIMITED,0,0,1,8,9
ASH CLIFFORD,0,0,2,7,9
BARTLETTS SOLICITORS,0,0,1,8,9
BATCHELORS SOLICITORS,0,0,6,3,9
BATES N V H,0,1,1,7,9
BATES WELLS & BRAITHWAITE (SUFFOLK),0,0,3,6,9
BERWINS,0,0,0,9,9
BLACKSTONE SOLICITORS LIMITED (HALE),0,0,0,9,9
BLUNTS (JOHN BURKE TRADING AS BLUNTS),0,0,1,8,9
Borlase & Company,1,0,1,7,9
BOYES TURNER,0,0,4,5,9
BPE SOLICITORS LLP,0,1,2,6,9
BREENS,0,0,1,8,9
BRETHERTON LAW,0,0,3,6,9
BROWN & MURRAY,1,0,3,5,9
BULL & CO,0,0,3,6,9
BURGOYNE & CO,0,0,4,5,9
BURTON & CO LLP,0,0,0,9,9
C&R LEGAL LIMITED,0,0,3,6,9
CHARLES FRASER,0,0,2,7,9
CHESTER & CO,0,0,0,9,9
CHESWORTHS,1,0,0,8,9
CLARKE ROWE,0,0,3,6,9
CLOSE THORNTON LLP,0,0,4,5,9
COWLINGS,1,0,1,7,9
CROFTS,0,0,3,6,9
DARBY & DARBY,0,0,1,8,9
DAVIS BLANK FURNISS,0,0,1,8,9
DAWSON HART & CO,0,0,2,7,9
EDMONDSON HALL,0,0,1,8,9
ELITE LAW SOLICITORS LTD,0,0,0,9,9
ETTINGER & VICKERS,0,0,6,3,9
EVANS COOK SOLICITORS,0,0,0,9,9
F BARNES & SON,0,0,0,9,9
FODENS,0,0,0,9,9
Francis & Buck Solicitors,1,0,2,6,9
FRANKLINS LAW (LEIGHTON BUZZARD),0,0,1,8,9
FREEMAN JOHNSON,0,0,4,5,9
GARETH WEBB & CO LLP,0,0,2,7,9
GARNETT WILLIAMS POWELL,0,0,1,8,9
GAYNOR-SMITH OWEN AND CO,0,0,0,9,9
GEORGE DAVIES & EVANS,0,0,3,6,9
GILBERT DAVIES & PARTNERS,0,0,3,6,9
GUARDIAN WILLS & PROBATE SVCS LTD,0,0,0,9,9
GUEST WALKER & CO,0,0,3,6,9
HAGUE & DIXON,0,0,0,9,9
HANDSLAW SOLICITORS LLP,0,0,0,9,9
HATTENS,0,0,0,9,9
HAWKINS RYAN SOLICITORS,1,0,0,8,9
HEADLEYS,0,0,3,6,9
HLF BERRY (INC ROBIN BURMAN & CO),0,0,1,8,9
HODGKINSONS,0,0,0,9,9
HOWARD & OVER,0,0,1,8,9
IAIN NICHOLSON & CO,0,0,0,9,9
ISMAIL & GHANI,0,0,0,9,9
J A SIMON & CO,0,0,1,8,9
JASPER VINCENT,1,0,1,7,9
JEARY & LEWIS,0,0,0,9,9
JEFFREYS & POWELL,0,0,0,9,9
JENNINGS SOLICITORS,0,0,2,7,9
JURY O'SHEA,0,0,3,6,9
KASH TUTTER & CO,0,0,0,9,9
KENNAN KAY & CO,0,0,1,8,9
KNIGHT RICHARDSON LIMITED,0,0,0,9,9
LAMB BROOKS,1,0,0,8,9
LEWIS & LINES,0,0,0,9,9
LLEWELLYN JONES LIMITED,0,0,2,7,9
LUCAS & WYLLYS,1,0,1,7,9
LUCAS LAW SOLICITORS,0,0,1,8,9
LUX LAW,0,0,1,8,9
LYONS & COMPANY,0,0,2,7,9
MACKS,1,0,2,6,9
MARK COOK,0,0,3,6,9
MARSONS SOLICITORS,0,0,1,8,9
MARTIN GAFFNEY LEGAL SERVICES LIMITED,0,0,4,5,9
MARTIN NOSSEL & CO,0,0,0,9,9
MARY MONSON SOLICITORS,0,0,2,7,9
MATTHEW WAITE & CO,0,0,2,7,9
MCGARRY & CO,0,0,1,8,9
MELIA & MUMFORD,0,0,1,8,9
MG LEGAL SOLUTIONS,0,0,3,6,9
MLS LAW (PROPERTY) LIMITED,0,0,1,8,9
MRS CHANDRA SOMASUNTHARAM,1,0,0,8,9
MZ LAW SOLICITORS LIMITED,0,0,0,9,9
NATIONAL LAW PARTNERS LIMITED,0,0,1,8,9
NEWPORT LAND AND LAW LIMITED,0,0,0,9,9
NEWSTEAD & WALKER,0,0,0,9,9
NORRIS & MILES,1,0,3,5,9
PASSMORES LEWIS & JACOBS,0,0,2,7,9
PAUL DODDS SOLICITORS,0,0,2,7,9
PETER DUNN & CO,0,0,1,8,9
Peter Robinson & Co,0,0,3,6,9
PHEBY & CO,0,0,0,9,9
PHILIP HANBY TRADING AS ANDREW JAY & CO,1,0,2,6,9
PRITCHARD JONES LANE,0,0,4,5,9
PROBERT LAW,0,0,0,9,9
PRODDOW MACKAY,0,0,2,7,9
R G LEGAL,0,0,6,3,9
R J STAFFORDSHIRE LIMITED,0,0,0,9,9
RAYMOND BEER & CO,0,0,3,6,9
RICHARD KANANI & CO,0,0,0,9,9
ROHAN SOLICITORS LLP,0,0,0,9,9
ROSAMUND COPPEN & CO,0,0,1,8,9
ROTHERHAM & CO,0,0,0,9,9
SAYERS,0,0,1,8,9
SCOTT HYMAN & CO,0,0,2,7,9
SCOTTS WRIGHT,0,0,3,6,9
STAPLETON GARDNER & CO,0,0,2,7,9
STEELES (LAW LLP),1,0,2,6,9
STEPHENS WILMOT LTD,0,0,2,7,9
STREATHERS CLAPHAM LLP,0,0,0,9,9
SUSAN COTTER & CO,0,0,9,0,9
SUSAN HALL & CO SOLICITORS,0,0,1,8,9
T A MATTHEWS,0,0,2,7,9
THE ELLEN COURT PARTNERSHIP,0,0,0,9,9
THE J M PRACTICE,0,0,0,9,9
THE LAW OFFICE OF PAUL D'AMBROGIO (PDA-LAW),0,0,4,5,9
THOMPSON SMITH & PUXON,0,0,2,7,9
THORNTON JONES FAMILY LAW,0,0,3,6,9
THOS BOYD WHYTE (INC STUART HURRION & GREEN),0,0,1,8,9
WALLER POLLINS,0,0,1,8,9
WASON MALE & WAGLAND LLP,0,0,0,9,9
WELLERS,0,0,4,5,9
WHEELERS SOLICITORS LIMITED,1,0,0,8,9
WIDDOWS PILLING & CO,0,0,2,7,9
Windeatts,0,0,2,7,9
WRIGHT & CO SOLICITORS (HARPENDEN),0,0,0,9,9
A F BARKER & CO,0,0,1,7,8
A S K LEGAL,0,0,0,8,8
A2 SOLICITORS LLP,0,0,1,7,8
ADLAMS,0,0,3,5,8
AH PAGE,0,0,0,8,8
ALEN-BUCKLEY & CO,0,1,1,6,8
AMD SOLICITORS LTD,0,0,0,8,8
APEX ABS LIMITED,0,0,7,1,8
AUSTINS LLP,0,0,0,8,8
BALDWIN WYATT SOLICITORS,0,0,0,8,8
BENNETT & CO (LIVERPOOL),0,0,1,7,8
Bennetts & Bennetts,0,0,1,7,8
BENTLEYS,0,0,1,7,8
BESWICKS,0,0,0,8,8
BEVIRS,0,0,1,7,8
BLAKEWATER SOLICITORS,0,0,0,8,8
BONNETTS,0,0,2,6,8
BORSDANE PROPERTIES LTD,0,0,6,2,8
BRADFORD & SON,0,0,0,8,8
Brain Chase Coles,0,0,6,2,8
BRIGHT & SONS MALDON,0,0,2,6,8
BRUNTON & CO,1,0,2,5,8
BRYAN CAVE LEIGHTON PAISNER LLP,0,0,1,7,8
BWH LEGAL LIMITED,0,0,2,6,8
CARR RICHARDS,0,0,1,7,8
CAUNTERS,0,0,1,7,8
CHAMBERS SOLICITORS,0,0,0,8,8
CHANCELLORS SOLICITORS,0,0,0,8,8
CHARLES COLEMAN LLP (WINDSOR),0,0,2,6,8
CLAYTON MOTT,1,0,0,7,8
CLIFTON INGRAM LLP,0,0,3,5,8
CLUTTON COX,0,0,2,6,8
COLMAN COYLE,0,0,2,6,8
CRANE & STAPLES,1,1,1,5,8
CULLIMORE DUTTON SOLICITORS,1,0,4,3,8
D AND S LEGAL LTD,0,0,0,8,8
D C KAYE & CO,0,0,0,8,8
DARWIN BOWIE LTD,0,0,6,2,8
DAVID PROSSER & CO,0,0,0,8,8
DAVIES BLUNDEN & EVANS,0,0,1,7,8
DB LAW,0,0,0,8,8
DERBYSHIRE LEGAL SERVICES LTD,0,0,1,7,8
DICKENSONS SOLICITORS,0,0,1,7,8
DONALDSON WEST,0,0,2,6,8
DPA LAW,0,0,2,6,8
DRIVER BELCHER,0,0,0,8,8
DUCAT LAW LIMITED,0,0,0,8,8
EATON-EVANS AND MORRIS,0,0,3,5,8
ELDRIDGES,0,0,3,5,8
ELLIOTT BRIDGMAN LIMITED,0,0,2,6,8
EMYR PIERCE SOLICITORS,0,0,1,7,8
EVANS & GREAVES,0,0,1,7,8
FRANKLINS (ABINGDON),0,0,4,4,8
FURLEY PAGE LLP,0,0,4,4,8
FUSSELL WRIGHT & CO,0,0,0,8,8
G H LEE & CO,1,0,0,7,8
GARTSIDES,2,0,0,6,8
GATTAS DENFIELD,0,0,0,8,8
GENESIS LEGAL SERVICES LTD,1,0,3,4,8
GILL & CO,0,0,0,8,8
GOLDSTONES,0,0,0,8,8
GOUGH-THOMAS & SCOTT,0,0,0,8,8
H & R HUGHES SOLICITORS LLP,0,0,0,8,8
HAINS & LEWIS,1,0,3,4,8
HAMMONS,0,0,0,8,8
HARDINGTON HOGG,0,0,0,8,8
HAROLD BELL & CO,0,0,1,7,8
HARTLAW LLP,0,0,4,4,8
HAWORTH BROTHERTON SOLICITORS,1,0,0,7,8
HAYWARDS,0,0,0,8,8
HENLEYS,0,0,1,7,8
HENNING SOLICITORS,0,0,0,8,8
HENRY HYAMS,0,0,0,8,8
Hill & Abbott,0,0,0,8,8
HILL JOHNSON,0,1,1,6,8
HOOK & PARTNERS,0,0,1,7,8
HORSEY LIGHTLY,0,0,1,7,8
HYLAND LEGAL,0,0,1,7,8
JACOBS LAW SOLICITORS LLP (BIRMINGHAM),0,0,1,7,8
JOHN COPLAND & SON,0,0,0,8,8
KIRKLAND & LANE,0,0,2,6,8
KITE GRIFFIN,0,0,3,5,8
KNOCKER & FOSKETT,0,0,1,7,8
KNOWLES BENNING,0,0,3,5,8
KRISH RATNA & CO SOLICITORS,0,0,0,8,8
LAMB & HOLMES SOLICITORS,0,0,1,7,8
LEWIS DENLEY LIMITED,0,0,2,6,8
LOUISE GREER LLB,0,0,1,7,8
LYONS DAVIDSON,0,0,0,8,8
MAHER & CO,0,0,1,7,8
MALEKIN LAW,0,0,0,8,8
MCCARTHY WEBB LIMITED,0,0,1,7,8
MERRICKS SOLICITORS (WADEBRIDGE),0,0,0,8,8
MICHAEL TAYLOR & CO,1,0,0,7,8
MILWYN JENKINS & JENKINS,1,0,0,7,8
MIRZA SOLICITORS,0,0,0,8,8
MOSSHASELHURST,0,0,2,6,8
NEATH RAISBECK GOLDING LAW LIMITED,1,0,3,4,8
PALMER HODGSON & HEYES,0,0,0,8,8
PALMERS SOLICITORS BEDFORD LIMITED,0,0,1,7,8
PD LAWYERS LIMITED,0,0,0,8,8
PEACOCK & CO,0,0,0,8,8
PETER AC SLOAN,0,0,2,6,8
PHILLIPS (OF MANSFILED),0,0,0,8,8
PRUSINSKI SOLICITORS,0,0,2,6,8
PSR SOLICITORS LTD,1,0,0,7,8
R W SKINNER & SON,1,0,0,7,8
RATIO LAW,0,0,0,8,8
RAY NIXON BROWN,0,0,3,5,8
RICHARD GRIFFITHS & CO,0,0,1,7,8
RICHARDS THOMAS SOLICITORS,0,0,2,6,8
ROBERT SIMMONS LEGAL SERVICES LIMITED,0,0,1,7,8
ROBINSON ALLFREE,0,0,1,7,8
RODGERS & BURTON,0,0,0,8,8
ROWBERRYS,0,0,4,4,8
RUDDS,1,0,0,7,8
RUTHERFORDS LLP,0,0,1,7,8
RUTTER & RUTTER,0,0,0,8,8
RUTTERS,1,0,1,6,8
SANDERSON MCCREATH & EDNEY,0,0,2,6,8
SARAH DWIGHT,0,0,1,7,8
SBP LAW,0,0,0,8,8
SHARP CROSS & MANN LLP,2,0,1,5,8
SHEPHERD HARRIS AND CO LIMITED,0,0,1,7,8
SINCLAIRSLAW LIMITED,1,0,1,6,8
SINGLETONS AUSTIN RYDER,0,0,0,8,8
SLEIGH SON & BOOTH,0,0,0,8,8
SPENCER ELLIOTT PROPERTY LAWYERS,0,0,0,8,8
ST JOHNS PROPERTY LAWYERS,0,0,0,8,8
STEFAN PTYCIA,0,0,3,5,8
STONE KING LLP,0,0,2,6,8
T G Baynes & Co,0,0,1,7,8
Taylor Wessing LLP,0,0,5,3,8
TAYLOR WIMPEY UK LTD (SOUTH EAST),0,0,3,5,8
TIBBER MARKS LIMITED,0,0,0,8,8
TRENT LAW LTD,1,0,1,6,8
WADDINGTON LTD (T/A WADDINGTON WEBBER),0,0,2,6,8
WALLACE LLP,0,0,0,8,8
WARNER & RICHARDSON,0,0,2,6,8
WATKINS & GUNN PARTNERSHIP,0,0,1,7,8
WAUGH & CO,0,0,2,6,8
WHITE & CO,0,0,0,8,8
WHITMORE LAW,0,0,0,8,8
WILDINGS,0,0,0,8,8
WRIGHT SOLICITORS LIMITED,0,0,1,7,8
WYKEHAM-HURFORD SHEPPARD & SON,0,0,0,8,8
YARWOOD STIMPSON,0,0,0,8,8
AARON & PARTNERS,0,0,3,4,7
ACUMEN BUSINESS LAW,0,0,2,5,7
ALAN SIMONS & COMPANY,0,0,0,7,7
ALLENS CADGE & GILBERT SOLICITORS,1,0,0,6,7
ANDERSON STRATHERN LLP,0,0,0,7,7
APEX ABS LIMITED,0,0,0,7,7
ARNOLD DAVIES VINCENT EVANS,0,0,1,6,7
ARNOLD GREENWOOD SOLICITORS,0,0,1,6,7
ASPEN MORRIS SOLICITORS,0,0,0,7,7
AVERY KNIGHTS SOLICITORS LIMITED,0,0,0,7,7
AWD LAW,0,0,0,7,7
BIRD & LOVIBOND,0,0,1,6,7
BLACK NORMAN,0,0,1,6,7
BOURNE HARRIS LLP,0,0,3,4,7
BRAR & CO,0,0,0,7,7
BRENNANS SOLICITORS,0,0,0,7,7
BRODIE SMITH & MAHONEY,0,0,0,7,7
BROOKE-TAYLOR,0,0,2,5,7
Brooks & Partners,0,1,1,5,7
BROWELL SMITH & CO,0,0,3,4,7
BSG SOLICITORS,0,0,1,6,7
BUCKSFORD LAW,0,0,0,7,7
BUKHARI & CO,0,0,3,4,7
BULL & BULL,0,0,0,7,7
BURLEY & GEACH,0,0,0,7,7
BURNETT BARKER,0,0,1,6,7
BURRELL JENKINS,1,0,0,6,7
BUSBYS SOLICITORS,0,0,1,6,7
BWT LAW LLP,0,0,0,7,7
CARTER READ & DOVE,0,0,0,7,7
CASWELL JONES PARTNERSHIP,0,0,1,6,7
CATHERINE HIGGINS LAW LIMITED,0,0,2,5,7
CHARSLEY HARRISON,0,1,1,5,7
CHRIS ALLNUTT,0,0,0,7,7
COCKSHOTT PECK LEWIS,1,0,1,5,7
COLBORNE COULMAN & LAWRENCE,0,0,0,7,7
COLDHAM SHIELD & MACE,0,0,0,7,7
COLIN BROWN & KIDSON,2,0,1,4,7
COLLIER LITTLER,0,0,1,6,7
COOPER STOTT SOLICITORS,0,0,1,6,7
D P CAMERON LIMITED,0,0,0,7,7
DAC BEACHCROFT,0,0,0,7,7
DAVID J FOSTER & CO,0,0,1,6,7
DAWSON AND BURGESS,0,0,0,7,7
DICKSONS SOLICITORS LTD,0,0,1,6,7
DIXON & TEMPLETON,0,0,3,4,7
DTM LEGAL LLP,0,0,3,4,7
EDWARD HUGHES,0,0,0,7,7
EDWARD OLIVER & CO SOLICITORS,0,0,0,7,7
EDWARDS CLEGG,0,0,1,6,7
ELLIS & CO,0,0,0,7,7
EMERY JOHNSON ASTILLS,0,0,0,7,7
ERIC BOWES & CO,0,0,0,7,7
FARNWORTH SHAW,1,0,1,5,7
FISHMAN BRAND STONE SOLICITORS,0,0,1,6,7
FREEMANS SOLICITORS,0,0,0,7,7
GD LEGAL SOLICITORS LTD,0,0,0,7,7
GIBSON & CO,0,0,2,5,7
GODWINS,0,0,0,7,7
GORDON DADDS,0,0,0,7,7
GRAY HOOPER HOLT LLP,0,1,1,5,7
GREGSONS SOLICITORS (WIMBLEDON),0,0,0,7,7
GRIFFITH SMITH FARRINGTON,0,0,0,7,7
GROVE TOMPKINS BOSWORTH,1,0,0,6,7
GWILYM JONES & DAVIES,0,0,3,4,7
HAINES CONVEYANCING,0,0,1,6,7
HANNEY DAWKINS & JONES,0,0,1,6,7
HARGREAVES GILMAN,0,0,0,7,7
HARROPS & HEPBURN SOLICITORS (H&H LAWYERS T/A),0,0,2,5,7
HETTS JOHNSON WHITING,0,0,3,4,7
HIGHCROSS LAW,1,0,0,6,7
HMCC SECURITIES LTD,0,0,7,0,7
HODGE HALSALL LLP,0,0,1,6,7
HOLDENS SOLICITORS,0,0,1,6,7
HUNT & WRIGLEY,0,0,3,4,7
HUNTERS (LONDON),2,0,0,5,7
HUTHARTS LAW FIRM,0,0,1,6,7
J TALBOT WARWICK & BARKER,0,0,1,6,7
JH HART & COMPANY,0,0,2,5,7
JOE EGAN,0,0,0,7,7
JOHN BAYS & CO,0,0,0,7,7
JOHN GEOFFREY T/A JOHN BURTON,0,0,0,7,7
JONATHAN ROBERTS,0,0,4,3,7
JOSEPH A JONES AND CO,0,0,0,7,7
K4 LAW,0,0,0,7,7
