Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
ELLIS FERMOR & NEGUS,1,5,5,156,133,0,9,0,14,277,131,731
G M WILSON,0,3,21,75,111,0,81,0,19,276,140,726
PEPPER (UK) LIMITED,0,0,0,192,0,0,0,0,0,534,0,726
ELLIS JONES,2,8,9,86,80,1,11,0,3,350,175,725
SETFORDS LAW LTD,3,51,34,431,22,59,2,0,0,84,38,724
BHW SOLICITORS,0,21,34,86,93,0,71,0,4,273,141,723
GUNNERCOOKE LLP,0,20,4,103,44,0,14,0,11,394,131,721
WEDLAKE BELL,2,14,2,72,62,0,6,0,26,420,116,720
PRA GROUP (UK)( LIMITED,0,0,0,20,0,0,0,0,0,698,0,718
FRASER DAWBARNS SOLICITORS,6,1,25,92,73,1,28,0,23,328,137,714
MARCUS BAUM,0,7,6,139,203,0,64,0,3,202,90,714
TBD LEGAL LIMITED,0,4,4,104,119,0,10,0,4,318,151,714
ACORN LIMITED,0,0,0,0,0,0,0,0,0,701,11,712
DAVIES & PARTNERS,0,15,26,81,54,0,62,0,12,335,126,711
HEWITSONS,2,9,10,102,32,3,21,0,19,407,104,709
BBH LEGAL SERVICES LIMITED,2,5,3,176,175,0,9,0,6,278,51,705
COUTTS AND CO,0,0,0,87,0,0,0,0,0,609,6,702
O'NEILL PATIENT T/A CAVENDISH LEGAL GROUP,0,0,0,33,134,0,145,0,4,293,88,697
PORTER DODSON LLP,7,5,11,80,32,1,22,0,23,388,128,697
BREARLEYS,1,1,14,110,121,0,10,0,1,303,133,694
BRECHER,0,4,4,43,55,0,4,0,16,382,183,691
RED KITE LAW,7,6,17,108,81,0,22,0,10,331,109,691
DOUGLAS WEMYSS LLP,1,13,5,102,102,1,48,0,5,280,131,688
MANCHESTER CITY COUNCIL,0,0,0,23,0,8,1,0,18,510,127,687
HAROLD BENJAMIN,0,17,6,170,51,6,13,0,13,309,96,681
JONES & COMPANY,6,3,6,105,86,0,18,0,98,259,99,680
Awdry Bailey & Douglas,2,7,10,116,85,0,27,0,5,290,137,679
SWEENEY MILLER SOLICITORS,0,3,20,151,158,0,39,0,0,199,109,679
TOLLERS LLP,3,5,11,119,73,2,14,0,14,295,143,679
ADAMS & REMERS,1,10,4,81,54,0,6,0,7,383,132,678
FLINT BISHOP SOLICITORS,1,6,13,73,60,0,13,0,16,362,129,673
BERRY SMITH LLP,1,5,4,223,102,2,3,0,8,235,89,672
Paul Robinson & Co,0,19,14,170,70,0,12,0,18,261,107,671
SIMPSON MILLAR LLP,5,3,5,126,112,0,7,0,4,257,151,670
FLEXIMIZE SERVICES LIMITED,0,0,0,0,0,0,0,0,0,669,0,669
BUSINESS ENERGY SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,667,0,667
JACKSONS LAW FIRM,1,11,12,99,31,0,192,0,44,202,75,667
LEGAL BRICKS SEARCHES LIMITED,0,0,0,0,0,0,0,0,48,619,0,667
JACKSON LEES GROUP LTD,0,0,5,146,146,0,12,0,7,261,89,666
Nantes,7,5,5,90,60,0,11,0,86,286,112,662
KUIT STEINART LEVY,1,1,3,84,80,1,23,0,9,388,71,661
COMPTONS,0,42,1,99,52,2,11,0,2,283,168,660
CABOT FINANCIAL (EUROPE) LIMITED,0,0,0,0,0,0,0,0,0,627,32,659
COODES,5,8,18,100,59,0,33,0,14,288,133,658
FOSTERS,0,2,7,103,102,0,14,0,10,303,114,655
SUFFOLK LIFE PENSIONS LTD,0,0,0,1,0,0,0,0,0,426,228,655
THE GUINNESS PARTNERSHIP LIMITED,0,0,0,0,0,0,0,0,0,365,290,655
BERMANS LLP,2,1,1,385,129,0,0,0,1,107,28,654
WILKINSON WOODWARD NORCLIFFE & CO,2,2,15,158,88,0,12,0,8,266,102,653
MASTHAVEN BANK LIMITED,0,0,0,117,2,0,0,0,0,532,1,652
HOWES PERCIVAL,1,8,16,91,35,1,15,0,16,359,109,651
TQ PROPERTY LAWYERS LTD,0,11,5,109,66,0,11,0,10,287,152,651
PIER MANAGEMENT LTD,0,4,0,46,3,0,0,0,0,507,90,650
CHAMONIX ESTATES LTD,0,0,0,0,0,0,0,0,0,446,200,646
COLLIERS INTERNATIONAL UK PLC,0,0,0,0,0,0,0,0,0,239,406,645
HOME GROUP LIMITED,0,0,8,0,1,0,0,0,0,501,133,643
HOMEGROUND MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,494,149,643
Rowlinsons Solicitors,1,4,2,47,79,1,21,0,3,318,166,642
SMITH AND WILLIAMSON LTD,0,0,0,0,0,0,0,0,0,615,23,638
WITHERS LLP,1,5,2,73,16,1,2,0,19,420,99,638
BRACHERS LLP,2,6,2,56,30,0,7,0,9,461,64,637
FOYS SOLICITORS,1,6,29,124,75,1,23,0,7,255,116,637
PERSIMMON (NORTHERN REGION - YORK OFFICE),0,0,3,35,10,0,1,0,17,466,105,637
ASHTONS LEGAL,4,10,25,69,72,0,35,0,12,299,110,636
BARRATT DEVELOPMENTS PLC,0,0,0,0,0,0,0,0,0,562,71,633
HERRINGTON & CARMICHAEL LLP,1,11,34,64,27,1,228,0,9,189,69,633
MARSDEN RAWSTHORN LLP,0,5,13,103,118,0,19,0,8,251,115,632
THE ROMANS GROUP (UK) LIMITED%,0,0,0,0,0,0,0,0,0,630,2,632
WILSONS SOLICITORS (LEEDS),0,0,1,72,34,0,4,0,1,314,206,632
BOLTON REED LIMITED,0,0,0,0,0,0,0,0,0,630,0,630
BARNES & PARTNERS,0,10,1,96,73,0,11,0,8,283,147,629
GARNER CANNING & CO SOLICITOR,0,10,15,139,189,0,12,0,5,186,72,628
LANGLEY WELLINGTON,3,5,27,95,68,0,58,0,16,236,117,625
FISHER GERMAN LLP,0,0,0,0,0,0,0,0,0,550,73,623
GLANVILLES LLP,0,7,5,88,96,2,19,0,7,290,109,623
MAGDALENE HAYWOOD T/A KEYSTONE LAW,1,21,9,58,36,1,7,0,27,339,124,623
MARTIN-KAYE,1,9,9,165,114,0,16,0,3,215,90,622
TOGETHER COMMERCIAL FINANCE LTD,0,0,0,371,53,0,0,0,0,177,20,621
THURSFIELDS SOLICITORS,1,5,12,69,59,1,39,0,15,296,123,620
DEE AND GRIFFIN,1,6,10,119,86,0,11,0,2,244,139,618
TAYLOR WIMPEY UK LTD (SOUTH EAST),0,0,1,6,6,0,1,0,9,519,73,615
