Supplier [Name,CpvCodes,,,,,,,,,,,,,,,,
[J D Ingram,90620000,34143000,43313100,43313200,,,,,,,,,,,,,
[AMG Sport-Play Ltd,37535200,,,,,,,,,,,,,,,,
[GE CAPITAL EQUIPMENT FINANCE LTD,33100000,,,,,,,,,,,,,,,,
[Town and Country Cleaners Ltd,90919300,,,,,,,,,,,,,,,,
[The Ethical Cleaning Company (East Midlands) Ltd,90919300,,,,,,,,,,,,,,,,
[The Media Trust,80500000,,,,,,,,,,,,,,,,
[Compass Contract Services (UK) Ltd trading as Chartwells,55524000,,,,,,,,,,,,,,,,
[Compass Contract Services (UK) Ltd trading as Chartwells,90919300,,,,,,,,,,,,,,,,
[ParkingEye Ltd,34100000,98351000,98351100,,,,,,,,,,,,,,
[VHS Cleaning Services Ltd,90919300,,,,,,,,,,,,,,,,
[Alliance in Partnership Ltd,55524000,,,,,,,,,,,,,,,,
[Lunchtime Company Ltd,55524000,,,,,,,,,,,,,,,,
[Waterman Aspen,79600000,,,,,,,,,,,,,,,,
[LAW ABSOLUTE LIMITED,72000000,79600000,,,,,,,,,,,,,,,
[Mott Macdonald Limited,71356000,,,,,,,,,,,,,,,,
[Creativerace Limited,79340000,79413000,,,,,,,,,,,,,,,
[Birmingham Metropolitan College,80000000,98000000,,,,,,,,,,,,,,,
[mdm props ltd,45212310,,,,,,,,,,,,,,,,
[EDMUNDSON ELECTRICAL LTD.,31000000,,,,,,,,,,,,,,,,
[ITQ South West Ltd T/A ITQ eSolutions,72000000,80410000,,,,,,,,,,,,,,,
[Studio Partington,71220000,,,,,,,,,,,,,,,,
[Caro Communications Limited,79416000,,,,,,,,,,,,,,,,
[Jaama Ltd,30000000,34000000,,,,,,,,,,,,,,,
[Methods Analytics Ltd,72000000,,,,,,,,,,,,,,,,
[Roche Diagnostics Limited,33124000,,,,,,,,,,,,,,,,
[LEONARDO MW LIMITED,34711500,,,,,,,,,,,,,,,,
[LEONARDO MW LIMITED,34711500,,,,,,,,,,,,,,,,
[Sharpe Pritchard,79140000,,,,,,,,,,,,,,,,
[N/A,55524000,,,,,,,,,,,,,,,,
[Frame Creative PR Limited,79416200,,,,,,,,,,,,,,,,
[Hymans Roberton,66500000,,,,,,,,,,,,,,,,
[Royal College of Physicians,79952000,,,,,,,,,,,,,,,,
[Total Gas & Power Limited,9121000,,,,,,,,,,,,,,,,
[Phelan Construction,45111000,,,,,,,,,,,,,,,,
[Leadership Centre,80511000,,,,,,,,,,,,,,,,
[A Hammonds & Son,45215140,,,,,,,,,,,,,,,,
[Honan Building Services Ltd,45453000,45453100,,,,,,,,,,,,,,,
[Greendale Construction Ltd,45432110,45432100,,,,,,,,,,,,,,,
[Astech Consultants,48000000,,,,,,,,,,,,,,,,
[Express Property Services,50000000,,,,,,,,,,,,,,,,
[CLOUD TECHNOLOGY SOLUTIONS LTD,72212200,,,,,,,,,,,,,,,,
[Emergency Response Driver Training Limited (ERDT),60000000,,,,,,,,,,,,,,,,
[Peter Byard,45500000,,,,,,,,,,,,,,,,
[BRITISH RED CROSS SOCIETY,79100000,,,,,,,,,,,,,,,,
[Reed Specialist Recruitment Limited,85000000,,,,,,,,,,,,,,,,
[B.R.Own Property Repairs,9300000,,,,,,,,,,,,,,,,
[Aramark Limited,55520000,,,,,,,,,,,,,,,,
[G.M. Lawrence Electrical,71314100,,,,,,,,,,,,,,,,
[Cambridge Fire Research,44221220,45343100,,,,,,,,,,,,,,,
[Sysmex UK Ltd,33696500,,,,,,,,,,,,,,,,
[Moorhouse Consulting,72224000,,,,,,,,,,,,,,,,
[,71317210,,,,,,,,,,,,,,,,
[Experian UK Limited,66113000,,,,,,,,,,,,,,,,
[Envestors ltd.,48000000,,,,,,,,,,,,,,,,
[GVA Grimley Ltd,73220000,,,,,,,,,,,,,,,,
[GTH Construction Limited,45453100,,,,,,,,,,,,,,,,
[Jackson Lift Services Ltd,42416100,,,,,,,,,,,,,,,,
[Central and North West London NHS Foundation Trust,85147000,,,,,,,,,,,,,,,,
[Browns More Hair Now Ltd,33711630,,,,,,,,,,,,,,,,
[Softcat PLC,30236110,,,,,,,,,,,,,,,,
[Hobson @ Porter,45000000,,,,,,,,,,,,,,,,
[The Soper Group Ltd,45000000,,,,,,,,,,,,,,,,
[Haiths Heating Limited,45000000,,,,,,,,,,,,,,,,
[Clinical Solutions International Limited,72000000,,,,,,,,,,,,,,,,
[Redcar & Cleveland Voluntary Development Agency,85100000,98000000,,,,,,,,,,,,,,,
[Nowcomm Ltd,48000000,,,,,,,,,,,,,,,,
[P3 Communications GmbH,72300000,,,,,,,,,,,,,,,,
[AGILENT TECHNOLOGIES LDA LTD,38430000,,,,,,,,,,,,,,,,
[National Fostering Agency,85000000,,,,,,,,,,,,,,,,
[Orchard Education Ltd,85000000,,,,,,,,,,,,,,,,
[Experis Ltd,72000000,,,,,,,,,,,,,,,,
[Lucid,72000000,,,,,,,,,,,,,,,,
[Satigo,72000000,,,,,,,,,,,,,,,,
