"supplier_name","account_name","service","total_value","privilege","trade_cat","service_category"
"FOCUS CONSULTANTS 2010 LLP","CONSULTANTS FEES","ECONOMY DIRECTORATE","24123","Buildings","71324000","finance"
"HILL DICKINSON LLP","LEGAL SERVICES EXTERNAL","ECONOMY DIRECTORATE","6840","Education","80500000","finance"
"HILL DICKINSON LLP","LEGAL SERVICES EXTERNAL","ECONOMY DIRECTORATE","20000","Legal","79100000","finance"
"MANCHESTER METROPOLITAN UNIVERSITY","CONSULTANTS FEES","ECONOMY DIRECTORATE","15000","Legal","79993100","finance"
"MANCHESTER METROPOLITAN UNIVERSITY","CONSULTANTS FEES","ECONOMY DIRECTORATE","15000","Legal","79993100","finance"
"MOTT MACDONALD LIMITED","BRIDGES STRUCTURAL WORK","ECONOMY DIRECTORATE","10025","Buildings","71311000","finance"
"MOTT MACDONALD LIMITED","CONSULTANTS FEES","ECONOMY DIRECTORATE","6311.21","Buildings","71311000","finance"
"OMI ARCHITECTS","CONDITION SURVEYS","ECONOMY DIRECTORATE","42850","Buildings","71315210","finance"
"OMI ARCHITECTS","CONDITION SURVEYS","ECONOMY DIRECTORATE","10650","Buildings","71315210","finance"
"PRICE WATERHOUSE COOPERS","LEGAL SERVICES EXTERNAL","ECONOMY DIRECTORATE","5000","Insurance","66000000","finance"
"TALKTALK BUSINESS","EQUIPMENT - GENERAL","ECONOMY DIRECTORATE","7647","Data","72000000","finance"
"TAMESIDE METROPOLITAN BOROUGH COUNCIL","ACTIVITIES","ECONOMY DIRECTORATE","9000","Transport","60120000","finance"
"TRANSPORT FOR GREATER MANCHESTER","ROADWORKS","ECONOMY DIRECTORATE","10000","Consumer Products","31120000","finance"
"TRANSPORT FOR GREATER MANCHESTER","BUS EXPENSES","ECONOMY DIRECTORATE","36416","Consumer Products","31120000","finance"
"TRANSPORT FOR GREATER MANCHESTER","MINOR BUILDING WORKS","ECONOMY DIRECTORATE","7625","Material Handling","45213000","finance"
"TRANSPORT FOR GREATER MANCHESTER","MINOR BUILDING WORKS","ECONOMY DIRECTORATE","13500","Material Handling","45213000","finance"
"TRANSPORT FOR GREATER MANCHESTER","BUS EXPENSES","ECONOMY DIRECTORATE","36416","Transport","60112000","finance"
"TRANSPORT FOR GREATER MANCHESTER","ARCHITECTS FEES","ECONOMY DIRECTORATE","80000","Material Handling","45213300","finance"
"TRANSPORT FOR GREATER MANCHESTER","BUS EXPENSES","ECONOMY DIRECTORATE","36000","Data","48000000","finance"
"TRANSPORT FOR GREATER MANCHESTER","BUS EXPENSES","ECONOMY DIRECTORATE","36416","Data","48000000","finance"
"TRANSPORT FOR GREATER MANCHESTER","BUS EXPENSES","ECONOMY DIRECTORATE","36416","Consumer Products","31500000","finance"
"TRANSPORT FOR GREATER MANCHESTER","CONSULTANTS FEES","ECONOMY DIRECTORATE","9200","Material Handling","45213000","finance"
"TRANSPORT FOR GREATER MANCHESTER","CONSULTANTS FEES","ECONOMY DIRECTORATE","67500","Material Handling","45213000","finance"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","128897","Buildings","71352100","maintenance"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","27120","Buildings","71352100","maintenance"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","23000","Buildings","71352100","maintenance"
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","20000","Buildings","71314200","maintenance"
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","40500","Buildings","71314200","maintenance"
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","20000","Buildings","71314200","maintenance"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","32850","Buildings","71314200","maintenance"
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","42283","Buildings","71314200","maintenance"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","5489","Buildings","71356000","maintenance"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","39635","Buildings","71314200","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","41160","Buildings","71320000","maintenance"
"ATKINS LIMITED","REPAIRS & ALTS OF BUILDINGS","PROPERTY AND HIGHWAYS","44040","Development","73000000","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","40488","Development","73000000","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","100750","Development","73200000","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","110659","Development","73200000","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","89040","Development","73200000","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","89040","Development","73200000","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","53700","Development","73200000","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","40000","Development","73200000","maintenance"
"ATKINS LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","5000","Development","73100000","maintenance"
"BALFOUR BEATTY LIVING PLACES","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS","1500000","Material Handling","45232450","maintenance"
"BALFOUR BEATTY LIVING PLACES","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS","623206","Material Handling","45232450","maintenance"
"BALFOUR BEATTY LIVING PLACES","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS","4191000","Material Handling","45232450","maintenance"
"BALFOUR BEATTY LIVING PLACES","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS","2630150","Material Handling","45232450","maintenance"
"BALFOUR BEATTY LIVING PLACES","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS","1309990","Material Handling","45232450","maintenance"
"BALFOUR BEATTY LIVING PLACES","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS","961662","Material Handling","45232450","maintenance"
"BALFOUR BEATTY LIVING PLACES","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS","968572","Material Handling","45233000","maintenance"
"BALFOUR BEATTY LIVING PLACES","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS","882134","Material Handling","45233000","maintenance"
"BRITISH TELECOMMUNICATIONS PLC","ROADWORKS","PROPERTY AND HIGHWAYS","5767.3","Buildings","71356300","maintenance"
"CANAL AND RIVER TRUST","REPAIRS & ALTS OF BUILDINGS","PROPERTY AND HIGHWAYS","15518.3","Legal","79000000","maintenance"
"GROUNDWORK LANDSCAPES LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","79530","Material Handling","45000000","maintenance"
"IAN FARMER ASSOCIATES","ENGINEERS FEES","PROPERTY AND HIGHWAYS","5800","Buildings","71315200","maintenance"
"IAN FARMER ASSOCIATES","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","12880","Material Handling","45120000","maintenance"
"IAN FARMER ASSOCIATES","ROADWORKS","PROPERTY AND HIGHWAYS","10633","Material Handling","45120000","maintenance"
"IAN FARMER ASSOCIATES","ROADWORKS","PROPERTY AND HIGHWAYS","9098.5","Material Handling","45120000","maintenance"
"INTEGRATED WATER SERVICES LIMITED","PROPERTY - WORKS ELEMENT","PROPERTY AND HIGHWAYS","30000","Medical","33191000","maintenance"
"INTEGRATED WATER SERVICES LIMITED","PROPERTY - WORKS ELEMENT","PROPERTY AND HIGHWAYS","50000","Medical","33191000","maintenance"
"INTEGRATED WATER SERVICES LIMITED","PROPERTY - WORKS ELEMENT","PROPERTY AND HIGHWAYS","60000","Medical","33191000","maintenance"
"MET OFFICE","TRAINING","PROPERTY AND HIGHWAYS","5139","Consumer Products","39000000","maintenance"
"NPOWER LIMITED","ADVERTISING","PROPERTY AND HIGHWAYS","168661","Environment","9000000","maintenance"
"NPOWER LIMITED","ELECTRICITY","PROPERTY AND HIGHWAYS","117834","Environment","9000000","maintenance"
"NPOWER LIMITED","ELECTRICITY","PROPERTY AND HIGHWAYS","130289","#N/A","9310000","maintenance"
"NPOWER LIMITED","ELECTRICITY","PROPERTY AND HIGHWAYS","109547","#N/A","9310000","maintenance"
"NPOWER LIMITED","ELECTRICITY","PROPERTY AND HIGHWAYS","1218900","#N/A","9310000","maintenance"
"PARKEON LIMITED","MAINTENANCE","PROPERTY AND HIGHWAYS","7380","Equipment","38730000","maintenance"
"PARKEON LIMITED","MAINTENANCE","PROPERTY AND HIGHWAYS","5778","Equipment","38730000","maintenance"
"PARKWOOD LEISURE","MISC CHARGES","PROPERTY AND HIGHWAYS","7116.52","Entertainment","92000000","maintenance"
"PROTEC FIRE DETECTION PLC","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","23607","Consumer Products","31625200","maintenance"
"ROCHDALE BOROUGHWIDE HOUSING","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","13455","Legal","79210000","maintenance"
"SPECIALIST COMPUTER CENTRES PLC","IT EQUIPMENT","PROPERTY AND HIGHWAYS","22315.1","Data","48000000","maintenance"
"STHREE PARTNERSHIP LLP","AGENCY STAFF","PROPERTY AND HIGHWAYS","56250","Social","98513300","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","ARCHITECTS FEES","PROPERTY AND HIGHWAYS","8828.4","Medical","33952000","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","NEW CONSTRUCTION","PROPERTY AND HIGHWAYS","7437.15","Consumer Products","31120000","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","ROADWORKS","PROPERTY AND HIGHWAYS","10750","Transport","34000000","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","ROADWORKS","PROPERTY AND HIGHWAYS","31000","Transport","34000000","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","ROADWORKS","PROPERTY AND HIGHWAYS","14861","Transport","34000000","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","ROADWORKS","PROPERTY AND HIGHWAYS","21750","Data","48000000","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","ROADWORKS","PROPERTY AND HIGHWAYS","24400","Data","48000000","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","REPAIRS & ALTS OF BUILDINGS","PROPERTY AND HIGHWAYS","5000","Material Handling","45213000","maintenance"
"TRANSPORT FOR GREATER MANCHESTER","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","9475","Material Handling","45213000","maintenance"
"TRIMBLE UK LIMITED","SOFTWARE","PROPERTY AND HIGHWAYS","28166.5","Data","48000000","maintenance"
"VAISALA LIMITED","SOFTWARE","PROPERTY AND HIGHWAYS","14350","Equipment","38127000","maintenance"
"VIRGIN MEDIA BUSINESS","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","41517.4","Data","72710000","maintenance"
"YOTTA LIMITED","CONSULTANT FEES","PROPERTY AND HIGHWAYS","7664","Data","48900000","maintenance"
"YOTTA LIMITED","CONSULTANT FEES","PROPERTY AND HIGHWAYS","6970.8","Data","48900000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","10560","Data","48900000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","10338.5","Data","48900000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","5306.4","Data","48900000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","8250","Data","48900000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","19040","Data","48000000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","24837","Data","48000000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","47987","Data","48000000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","24837","Data","48000000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","47987","Data","48000000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","15577","Data","48000000","maintenance"
"YOTTA LIMITED","ASSET MANAGEMENT PLANS & SURVEYS","PROPERTY AND HIGHWAYS","47989","Data","48000000","maintenance"
"YOTTA LIMITED","PURCHASE OF ICT SOFTWARE","PROPERTY AND HIGHWAYS","5000","Data","48000000","maintenance"
"YOTTA LIMITED","SOFTWARE","PROPERTY AND HIGHWAYS","13525.6","Data","48000000","maintenance"
"YOTTA LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","7500","Data","48000000","maintenance"
"AFTER ADOPTION","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","14333","Health","85311300","health"
"AFTER ADOPTION","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","28667","Health","85311300","health"
"AFTER ADOPTION","ACTIVITIES","CHILDREN’S SOCIAL CARE","7817.62","Health","85311300","health"
"AFTER ADOPTION","SUBSIDISED ADOPTERS PMTS","CHILDREN’S SOCIAL CARE","14333","Health","85000000","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9900","Education","80000000","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","28667","Education","80000000","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","14333","Health","85311300","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","18000","Health","85311300","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9000","Health","85000000","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","18000","Health","85000000","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9000","Health","85000000","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","18000","Health","85000000","health"
