"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","d1045445","2014-10-13","12640","VALE ENGINEERING YORK LTD","PURCHASE OF VEHICLES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045459","2014-10-13","6500","F W SHERRATT LTD","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045465","2014-10-13","30900","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1003744","2014-10-13","11500","CAPITA BUSINESS SERVICES LIMITED","SOFTWARE","FINANCE SERVICES"
"Rochdale Borough Council","ph100551","2014-10-13","7040","VIRGIN CARE BLACKPOOL LLP","PH OTHER CONTRACTS","PUBLIC HEALTH"
"Rochdale Borough Council","d1045484","2014-10-14","17500","THE BOND BOARD LIMITED","GRANTS TO OTHER BODIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045504","2014-10-14","9464.81","GREATER MANCHESTER POLICE AUTHORITY","BASIC SALARIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014766","2014-10-14","5884.77","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014768","2014-10-14","19858.7","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014769","2014-10-14","16299.6","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014771","2014-10-14","28884.4","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014772","2014-10-14","10174.2","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014773","2014-10-14","5374.6","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014774","2014-10-14","12664.9","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014775","2014-10-14","34679.1","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014778","2014-10-14","6102","PENNINE CARE NHS","SERVICE LEVEL AGREEMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","e1014780","2014-10-14","7770","PENNINE CARE NHS","SERVICE LEVEL AGREEMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","e1014783","2014-10-14","6340.1","AXIOM EDUCATION (ROCHDALE) LIMITED","DEV CAP - NEW CONSTRUCTION,CONVERSION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014793","2014-10-14","6399.01","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014794","2014-10-14","50500","POSITIVE STEPS","EXTERNALLY MANAGED FUNDS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014795","2014-10-14","16299.6","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1002764","2014-10-14","34196.2","EARLY BREAK","GRANTS TO THE NON VOLUNTARY SECTOR","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1017490","2014-10-14","150000","CAREWEST NORTHERN LIMITED","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1045527","2014-10-15","7000","F S MOULT & SON","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045533","2014-10-15","5000","URS INFRASTRUCTURE AND ENVIRONMENT UK LTD","SITE INVESTIGATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014800","2014-10-15","15057.2","PENNINE CARE NHS","SERVICE LEVEL AGREEMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","e1014801","2014-10-15","10578","PENNINE CARE NHS","SERVICE LEVEL AGREEMENTS","CHILDREN’S SOCIAL CARE"
