"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","ph100649","2014-12-09","7634","VIRGIN CARE BLACKPOOL LLP","PH OTHER CONTRACTS","PUBLIC HEALTH"
"Rochdale Borough Council","x1010074","2014-12-09","11320","NSPCC REGISTERED CHARITY","CONSULTANT FEES","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1046885","2014-12-10","46245","COMPASS MINERALS UK LIMITED","MATERIAL - GENERAL","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1046896","2014-12-10","2400000","STYLES AND WOOD","NEW CONSTRUCTION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046897","2014-12-10","11483.3","NORTHGATE INFORMATION SOLUTIONS UK LTD","SERVICES - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1015368","2014-12-10","14473.8","ROC NORTHWEST LTD","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","s1017793","2014-12-10","30000","ELDERCARE UK LTD","TELEPHONE EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","x1010079","2014-12-10","18000","CARITAS CARE LTD","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","x1010080","2014-12-10","28667","CARITAS CARE LTD","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","x1010081","2014-12-10","28667","CARITAS CARE LTD","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","x1010082","2014-12-10","28667","ADOPTION MATTERS NORTHWEST","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1046900","2014-12-11","8398.06","BURNT TREE GROUP","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046908","2014-12-11","22470.7","BRAHM FUNDCO 2 LTD","PFI SCHEMES RPI","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046924","2014-12-11","22000","ACIES CIVIL AND STRUCTURAL","SURVEYORS FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046925","2014-12-11","5000","SCOTT HUGHES","ENGINEERS FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046935","2014-12-11","8326.06","BURNT TREE GROUP","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1015374","2014-12-11","291642","INSPIREDSPACES ROCHDALE PROJECT CO1 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015376","2014-12-11","5227.4","BEVAN BRITTAN LLP","CONSULTANTS FEES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015381","2014-12-11","9273.74","MIDDLETON TECHNOLOGY SCHOOL FUND","ELECTRICITY","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015382","2014-12-11","8310.37","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015383","2014-12-11","9984.18","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015385","2014-12-11","8745.88","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015386","2014-12-11","13495.1","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015387","2014-12-11","387378","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015388","2014-12-11","16083.8","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015389","2014-12-11","8310.37","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015390","2014-12-11","9857.55","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015395","2014-12-11","54622.7","DIOCESE OF SALFORD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","f1003877","2014-12-11","5000","CAPITA TREASURY SOLUTIONS LTD","CONSULTANT FEES","FINANCE SERVICES"
"Rochdale Borough Council","q1003204","2014-12-11","45950","OPTEVIA LTD","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003205","2014-12-11","11050","OPTEVIA LTD","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1046944","2014-12-12","5225","CHARTERED INSTITUTE OF HOUSING","PROFESSIONAL FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046962","2014-12-12","300000","OTIS LTD","NEW CONSTRUCTION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1015409","2014-12-12","50500","POSITIVE STEPS","EXTERNALLY MANAGED FUNDS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","s1017802","2014-12-12","6255.6","SUPRA UK LIMITED","EQUIPMENT - GENERAL","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1017805","2014-12-12","5020","ADAPT BUILDING SERVICES LTD","TRANSACTIONS-EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","x1010094","2014-12-12","18000","ADOPTION MATTERS NORTHWEST","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1046972","2014-12-15","11528","D AND M DEMOLITION AND RECYCLING LTD","REMOVAL/STRIP OUT COSTS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1003880","2014-12-15","5387.2","MERITEC LIMITED","AGENCY STAFF","FINANCE SERVICES"
"Rochdale Borough Council","d1046990","2014-12-16","24922.1","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046991","2014-12-16","23289.1","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046992","2014-12-16","10225.4","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1046995","2014-12-16","30278","JONES LANG LASALLE","SECURITY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047024","2014-12-16","9742.3","INTEGRATED WATER SERVICES LIMITED","PROPERTY - WORKS ELEMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047025","2014-12-16","6075","ROCHDALE CIRCULAR DISTRIBUTORS","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1003883","2014-12-16","38480","CIVICA UK LIMITED","AGENCY STAFF","FINANCE SERVICES"
"Rochdale Borough Council","f1003887","2014-12-16","7600","NORTHGATE INFORMATION SOLUTIONS UK LTD","SOFTWARE","FINANCE SERVICES"
"Rochdale Borough Council","q1003241","2014-12-16","6751.89","ROYAL MAIL GROUP PLC","POSTAGE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1047031","2014-12-17","10225.4","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047032","2014-12-17","24922.1","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047033","2014-12-17","10225.4","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047034","2014-12-17","24922.1","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047035","2014-12-17","23289.1","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047036","2014-12-17","11644.6","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047037","2014-12-17","10225.4","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047052","2014-12-17","6739.2","CORAL PRODUCTS PLC","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","q1003249","2014-12-17","9930","ME LEARNING LIMITED","TRAINING","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","q1003250","2014-12-17","6018.08","PHOENIX SOFTWARE LIMITED","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003251","2014-12-17","41044.2","XEROX UK LTD","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1017830","2014-12-17","7750","COUNCIL FOR VOLUNTARY SERVICE ROCHDALE","VOLUNTARY ASSOCIATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1017831","2014-12-17","27000","COUNCIL FOR VOLUNTARY SERVICE ROCHDALE","VOLUNTARY ASSOCIATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000442","2014-12-17","8000","THE PARAMOUNT GROUP","RESIDENTIAL LONG TERM","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000443","2014-12-17","16000","THE PARAMOUNT GROUP","RESIDENTIAL LONG TERM","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1047084","2014-12-18","13800","SALFORD CITY COUNCIL","AGMA","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1015447","2014-12-18","31993.6","AXIOM EDUCATION (ROCHDALE) LIMITED","MEALS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1003254","2014-12-18","93340.4","SOFTCAT LTD","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003256","2014-12-18","121352","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003257","2014-12-18","121352","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003258","2014-12-18","121352","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003265","2014-12-18","157560","AGILISYS LIMITED","DISPOSAL OF FIXED ASSET - ASSET NBV","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003266","2014-12-18","25836","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1017846","2014-12-18","7035","HIGH BARN CONSTRUCTION LIMITED","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1017847","2014-12-18","17990","BROADWAY BUILDING CONTRACTORS OLDHAM LTD","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1047109","2014-12-19","5358","J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1015466","2014-12-19","12139.3","ROYAL SCHOOL FOR THE DEAF DERBY","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015472","2014-12-19","8220","DR CAROLINE WHITE","ACTIVITIES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1003268","2014-12-19","6399","RIBA ENTERPRISES LIMITED","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003271","2014-12-19","18039.9","Misco","PURCHASE OF ICT HARDWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003275","2014-12-19","19621","UPDATA INFRASTRUCTURE UK LTD","COMMUNICATION AND COMPUTING - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1047123","2014-12-22","5000","THE SANCTUARY TRUST","GRANTS TO THE VOLUNTARY SECTOR","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1047131","2014-12-22","5491.4","H BELL & SONS ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","d1047132","2014-12-22","9758.89","BELL  DECORATING GROUP LTD","REPAIRS & ALTS OF BUILDINGS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015474","2014-12-22","15321.2","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015477","2014-12-23","130331","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015480","2014-12-23","437444","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015481","2014-12-23","296354","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","f1003903","2014-12-23","242603","LIFE FITNESS UK LIMITED","CAPITAL BUDGET ALLOCATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","q1003297","2014-12-23","14720","TURNING POINT SERVICES LIMITED","SERVICES - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1003299","2014-12-23","6230","7 PDS","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","w1000463","2014-12-23","57000","ALLIED HEALTHCARE GROUP LIMITED","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","e1015490","2014-12-24","15623.4","SEASHELL TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","s1017872","2014-12-24","5215","BROADWAY BUILDING CONTRACTORS OLDHAM LTD","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1017878","2014-12-24","5496","STANNAH LIFT SERVICES LTD","TRANSACTIONS-EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1017879","2014-12-24","5150","MICK TAYLOR LIMITED","TRANSACTIONS-EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1017881","2014-12-24","5190","ADAPT BUILDING SERVICES LTD","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1047151","2014-12-29","13419","ROCHDALE TRAINING ASSOCIATION LIMITED","TRAINING-QUALIFICATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1015495","2014-12-29","63666.7","REDACTED PERSONAL DATA","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015496","2014-12-29","63666.7","REDACTED PERSONAL DATA","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1003306","2014-12-29","7939.5","FORBES SOLICITORS","INPUT VAT -  ADJUSTMENTS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","f1003906","2014-12-30","29461.2","MERITEC LIMITED","AGENCY STAFF","FINANCE SERVICES"
"Rochdale Borough Council","f1003907","2014-12-30","8500","ROYAL MAIL GROUP PLC","POSTAGE","FINANCE SERVICES"
"Rochdale Borough Council","ph100668","2014-12-30","142689","BIG LIFE CENTRES","PH BIG LIFE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","ph100669","2014-12-30","227150","PENNINE CARE NHS","PH PENNINE CARE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","d1049405","2015-04-01","45567","JACKSON JACKSON & SONS LTD","MINOR BUILDING WORKS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1004052","2015-04-01","5705","BIBLIOGRAPHIC DATA SERVICES LTD","SUBSCRIPTIONS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004070","2015-04-01","21985.8","CIVICA UK LIMITED","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004071","2015-04-01","24346.2","CIVICA UK LIMITED","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004072","2015-04-01","25927.3","SWIFT DATAPRO","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018467","2015-04-01","8000","STANNAH LIFT SERVICES LTD","REMOVAL EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1049426","2015-04-02","41270.6","ROCHDALE HOUSING INITIATIVE","CONDITION SURVEYS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049432","2015-04-02","275000","TUGHANS SOLICTORS","FEES / COMMISSION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049434","2015-04-02","36463.4","GELPACK EXCELSIOR LTD","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016627","2015-04-02","5330","DEEPLISH ACADEMY","RENTS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016629","2015-04-02","6000","MEG BOUSTEAD LTD","CONSULTANT FEES","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","q1004091","2015-04-02","6637.39","TRINITY MIRROR PUBLISHING LTD","ADVERTISING","FINANCE SERVICES"
"Rochdale Borough Council","d1049452","2015-04-07","13404.7","AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD","DEMOLITION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049453","2015-04-07","5525.1","NORTHGATE VEHICLE HIRE LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049469","2015-04-07","28346","POWER PERFECTOR LTD","ENGINEERS FEES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016640","2015-04-07","9730.88","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016643","2015-04-07","40811.7","HOPWOOD HALL COLLEGE","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016644","2015-04-07","28176.7","HOPWOOD HALL COLLEGE","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016645","2015-04-07","28216.9","OLDHAM COLLEGE","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016646","2015-04-07","14604.2","OLDHAM COLLEGE","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016647","2015-04-07","28587.6","OLDHAM COLLEGE","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016649","2015-04-07","6333.33","BLACKBURN WITH DARWEN BC","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016653","2015-04-07","26666.7","NUGENT CARE","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016654","2015-04-07","10317.7","THE ROYAL NATIONAL COLLEGE FOR THE BLIND","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016655","2015-04-07","6620.33","BOLTON  COLLEGE","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016656","2015-04-07","12370.7","ROSS CARE","PURCHASE OF OTHER EQUIPMENT","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004094","2015-04-07","40000","FORBES SOLICITORS","INPUT VAT -  ADJUSTMENTS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1049498","2015-04-08","9000","ROCHDALE HOUSING INITIATIVE","CONTRACTED SERVICES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016663","2015-04-08","8310.37","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016664","2015-04-08","10427","BEECHKEYS CARE AND EDUCATION","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016665","2015-04-08","16281.7","BRIGHT FUTURES SCHOOL LTD","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016666","2015-04-08","15969","CUMBERLAND SCHOOL","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016667","2015-04-08","5000","PRIORY GROUP  OLIVER HOUSE SCHOOL","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016668","2015-04-08","20000","PRIORY GROUP  OLIVER HOUSE SCHOOL","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016669","2015-04-08","17412","ROSSENDALE SCHOOL PRIORY","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016670","2015-04-08","17412","ROSSENDALE SCHOOL PRIORY","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016671","2015-04-08","9857.55","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016672","2015-04-08","8310.37","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016674","2015-04-08","8828.33","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016675","2015-04-08","9984.18","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016676","2015-04-08","16038.8","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016677","2015-04-08","13495.1","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016678","2015-04-08","31848","WINGS SCHOOL EDUCATION LTD","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016679","2015-04-08","17894.9","ROC NORTHWEST LTD","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016682","2015-04-08","8745.88","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","f1004054","2015-04-08","10266","GRANT THORNTON UK LLP","FEES / COMMISSION","FINANCE SERVICES"
"Rochdale Borough Council","ph100790","2015-04-08","16657.2","NORTH WEST AMBULANCE SERVICE NHS TRUST","PH LCS PAYMENTS","PUBLIC HEALTH"
"Rochdale Borough Council","x1010812","2015-04-08","9900","BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1049519","2015-04-09","12700","WSP LTD UK","PROFESSIONAL FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049524","2015-04-09","17200.3","DTZ DEBENHAM TIE LEUNG LIMITED","SURVEYORS FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016697","2015-04-09","21750","PENNINE CARE NHS","CONTRACTS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016698","2015-04-09","254860","INSPIREDSPACES ROCHDALE PROJECT CO1 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100796","2015-04-09","46236.1","NHS HEYWOOD MIDDLETON AND ROCHDALE CCG","ACTIVITIES","PUBLIC HEALTH"
"Rochdale Borough Council","q1004117","2015-04-09","13000","STEPPING STONE PROJECT ROCHDALE LTD","CONTRACTED SERVICES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1049541","2015-04-10","15095","HALCROW GROUP LTD","ENGINEERS FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049549","2015-04-10","5778","PARKEON LIMITED","MAINTENANCE","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","e1016718","2015-04-10","13077","NEW COLLEGE WORCESTER","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016719","2015-04-10","15623.4","SEASHELL TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","f1004055","2015-04-10","25000","ROYAL MAIL GROUP PLC","POSTAGE","FINANCE SERVICES"
"Rochdale Borough Council","q1004136","2015-04-10","16999","THE PENNINE ACUTE HOSPITALS NHS TRUST","OCCUPATIONAL HEALTH","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018520","2015-04-10","7750","COUNCIL FOR VOLUNTARY SERVICE ROCHDALE","VOLUNTARY ASSOCIATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1018521","2015-04-10","27000","COUNCIL FOR VOLUNTARY SERVICE ROCHDALE","VOLUNTARY ASSOCIATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","x1010843","2015-04-10","28667","BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1049558","2015-04-13","104136","PROFILE SECURITY SERVICES LIMITED","SECURITY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049560","2015-04-13","59365.7","J COONEY LTD","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1049577","2015-04-13","10800","NEW IMAGE PUBLIC RELATIONS LIMITED","CONTRACTED SERVICES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016721","2015-04-13","39732.6","AXIOM EDUCATION (ROCHDALE) LIMITED","MEALS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016723","2015-04-13","20348.6","AXIOM EDUCATION (ROCHDALE) LIMITED","WATER CHARGES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016724","2015-04-13","718436","AXIOM EDUCATION (ROCHDALE) LIMITED","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016725","2015-04-13","383405","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004141","2015-04-13","5895","OLDHAM METROPOLITAN BOROUGH COUNCIL","JOINT AUTHORITIES","CUSTOMERS & CORPORATE SERVICES"
