Organisation Name,Department where exp. Incurred,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Net Amount (£)
Stockport MBC,Corporate and Support Services,METRO TAXIS LIMITED,Travelling Expenses,LIMOUSINES AND TAXICABS,09/03/2020,16.04.2020,12.50
Stockport MBC,Corporate and Support Services,CORUS HT HYDE PARK VT,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",06/03/2020,16.04.2020,126.00
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",06/03/2020,16.04.2020,248.00
Stockport MBC,Corporate and Support Services,KINGS MAID LTD,Travelling Expenses,"CLEANING AND MAINTENANCE, JANITORIAL SERVICES",06/03/2020,16.04.2020,89.62
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,06/03/2020,16.04.2020,-6.95
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,05/03/2020,16.04.2020,7.25
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,05/03/2020,16.04.2020,29.15
Stockport MBC,Corporate and Support Services,EB  ILP MANCHESTER-SUR,Staff Training,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,05/03/2020,16.04.2020,120.00
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,05/03/2020,16.04.2020,-50.00
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,05/03/2020,16.04.2020,66.50
Stockport MBC,Corporate and Support Services,AMAZON.CO.UK X94J27O65,Office Expenses,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,04/03/2020,16.04.2020,280.00
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,03/03/2020,16.04.2020,50.00
Stockport MBC,Corporate and Support Services,DVLA DRIVER ONLINE,Office Expenses,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,03/03/2020,16.04.2020,34.00
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,03/03/2020,16.04.2020,225.95
Stockport MBC,Services to People,ALDI 40 773,Catering Supplies,"GROCERY STORES, SUPERMARKETS",16/03/2020,16.04.2020,29.23
Stockport MBC,Services to People,ALDI 40 773,Catering Supplies,"GROCERY STORES, SUPERMARKETS",12/03/2020,16.04.2020,16.67
Stockport MBC,Services to People,ALDI 40 773,Catering Supplies,"GROCERY STORES, SUPERMARKETS",09/03/2020,16.04.2020,60.29
Stockport MBC,Services to People,W M MORRISON STORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",02/03/2020,16.04.2020,59.78
Stockport MBC,Corporate and Support Services,PAYPAL  SGSA,Books/Publications,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,01/04/2020,16.04.2020,160.00
Stockport MBC,Corporate and Support Services,SPORTSDIRECT.COM,COVID 19,SPORTING GOODS STORES,25/03/2020,16.04.2020,49.98
Stockport MBC,Corporate and Support Services,SUMUP CHESHIRE HOME FR,COVID 19,MISCELLANEOUS AND SPECIALTY RETAIL STORES,19/03/2020,16.04.2020,500.00
Stockport MBC,Corporate and Support Services,BRITISH A 12521072721580,Travelling Expenses,BRITISH A,04/03/2020,16.04.2020,-32.81
Stockport MBC,Services to People,WM MORRISONS STORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",16/03/2020,16.04.2020,28.95
Stockport MBC,Services to People,WM MORRISONS STORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",11/03/2020,16.04.2020,42.11
Stockport MBC,Services to People,WM MORRISONS STORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",02/03/2020,16.04.2020,14.45
Stockport MBC,Services to People,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,MISCELLANEOUS AND SPECIALTY RETAIL STORES,27/03/2020,16.04.2020,35.80
Stockport MBC,Services to People,AMZNMKTPLACE,Furniture and Equipment,MISCELLANEOUS AND SPECIALTY RETAIL STORES,27/03/2020,16.04.2020,122.34
Stockport MBC,Services to People,AMAZON.CO.UK ZE6JY8XK5,Furniture and Equipment,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,28/03/2020,16.04.2020,65.77
Stockport MBC,Services to People,AMAZON.CO.UK 8X8DJ70Z5,Furniture and Equipment,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,28/03/2020,16.04.2020,68.52
Stockport MBC,Services to People,AMZNMKTPLACE AMAZON.CO,COVID 19,MISCELLANEOUS AND SPECIALTY RETAIL STORES,26/03/2020,16.04.2020,215.69
Stockport MBC,Services to People,AMZNMKTPLACE,COVID 19,MISCELLANEOUS AND SPECIALTY RETAIL STORES,26/03/2020,16.04.2020,215.69
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,25/03/2020,16.04.2020,249.99
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,25/03/2020,16.04.2020,-179.99
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,24/03/2020,16.04.2020,-329.97
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,24/03/2020,16.04.2020,-399.98
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,24/03/2020,16.04.2020,-7.00
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,24/03/2020,16.04.2020,-399.98
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,24/03/2020,16.04.2020,-29.99
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,24/03/2020,16.04.2020,1056.92
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,24/03/2020,16.04.2020,399.98
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,23/03/2020,16.04.2020,199.99
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,23/03/2020,16.04.2020,179.99
Stockport MBC,Services to People,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,24/03/2020,16.04.2020,-109.99
Stockport MBC,Services to People,AMZNMKTPLACE,COVID 19,MISCELLANEOUS AND SPECIALTY RETAIL STORES,23/03/2020,16.04.2020,135.37
Stockport MBC,Services to People,PAYPAL  REZUMEUKLTD,Furniture and Equipment,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",23/03/2020,16.04.2020,156.00
Stockport MBC,Services to People,TICKETMASTER UK,Activities and Events,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",07/03/2020,16.04.2020,113.05
Stockport MBC,Services to People,G&E MURGATROYD SPAR ST,postage,"GROCERY STORES, SUPERMARKETS",07/03/2020,16.04.2020,1.85
Stockport MBC,Services to People,MCDONALDS,Catering Supplies,"EATING PLACES, RESTAURANTS",08/03/2020,16.04.2020,15.36
Stockport MBC,Services to People,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,MISCELLANEOUS AND SPECIALTY RETAIL STORES,19/03/2020,16.04.2020,158.38
Stockport MBC,Services to People,SAINSBURYS SUPERMARKET,Catering Supplies,"GROCERY STORES, SUPERMARKETS",05/03/2020,16.04.2020,5.75
Stockport MBC,Services to People,SAINSBURYS SUPERMARKET,Catering Supplies,"GROCERY STORES, SUPERMARKETS",02/03/2020,16.04.2020,3.30
Stockport MBC,Services to People,STOCKPORT T/O,Travelling Expenses,PASSENGER RAILWAYS,12/03/2020,16.04.2020,6.50
Stockport MBC,Services to People,WWW.STAYCOMPLIANT.TRAI,Travelling Expenses,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,09/03/2020,16.04.2020,450.00
Stockport MBC,Services to People,HOMEBASE LTD,Furniture and Equipment,HOME SUPPLY WAREHOUSE STORES,18/03/2020,16.04.2020,41.93
Stockport MBC,Services to People,B & Q 1279,Furniture and Equipment,HOME SUPPLY WAREHOUSE STORES,13/03/2020,16.04.2020,26.14
Stockport MBC,Services to People,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,MISCELLANEOUS AND SPECIALTY RETAIL STORES,12/03/2020,16.04.2020,80.46
Stockport MBC,Services to People,AMAZON.CO.UK WP79V4VI5,Furniture and Equipment,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,11/03/2020,16.04.2020,59.90
Stockport MBC,Services to People,AMAZON.CO.UK CC1RK2WN5,Furniture and Equipment,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,10/03/2020,16.04.2020,83.90
Stockport MBC,Corporate and Support Services,HBS PHARMACY,COVID 19,"DRUG STORES, PHARMACIES",01/04/2020,16.04.2020,1725.50
Stockport MBC,Corporate and Support Services,GRIP HYGIENE SUPPLIES,COVID 19,CHEMICALS/ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED,24/03/2020,16.04.2020,1118.68
Stockport MBC,Corporate and Support Services,PP INDIGOPROMO,COVID 19,CHEMICALS/ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED,17/03/2020,16.04.2020,4583.33
Stockport MBC,Corporate and Support Services,PP INDIGOPROMO,COVID 19,CHEMICALS/ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED,17/03/2020,16.04.2020,2316.67
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,16/03/2020,16.04.2020,-81.60
Stockport MBC,Corporate and Support Services,THETRAINLINE.COM,Travelling Expenses,PASSENGER RAILWAYS,03/03/2020,16.04.2020,223.50
Stockport MBC,Services to People,PURE INNOVATIONS LIMIT,Activities and Events,MISCELLANEOUS AND SPECIALTY RETAIL STORES,04/03/2020,16.04.2020,3.50
Stockport MBC,Services to People,WM MORRISONS STORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",02/03/2020,16.04.2020,13.00
Stockport MBC,Services to People,AUTH0.COM,Computer equipment and software,COMPUTER SOFTWARE STORES,13/03/2020,16.04.2020,9.96
Stockport MBC,Services to People,WWW.CONTENTFUL.COM,Computer equipment and software,COMPUTER SOFTWARE STORES,10/03/2020,16.04.2020,760.65
Stockport MBC,Services to People,AUTH0.COM,Computer equipment and software,COMPUTER SOFTWARE STORES,05/03/2020,16.04.2020,160.46
Stockport MBC,Services to People,FASTHOSTS INTERNET,Computer equipment and software,COMPUTER NETWORK/INFORMATION SERVICES,02/03/2020,16.04.2020,11.99
