Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,12.11.2018,16.12.2018,GPC11180000256,11.62
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,06.11.2018,16.12.2018,GPC11180000257,76.64
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,01.11.2018,16.12.2018,GPC11180000258,11.80
Stockport MBC,Corporate and Support Services,Cultural & Related Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,28.11.2018,16.12.2018,GPC11180000259,106.44
Stockport MBC,Services to People,Childrens & Educational Services,NALDIC.ORG.UK,Fees and Charges,Financial Services  ,05.11.2018,16.12.2018,GPC11180000260,50.00
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,28.11.2018,16.12.2018,GPC11180000261,96.13
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,23.11.2018,16.12.2018,GPC11180000262,81.49
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,16.11.2018,16.12.2018,GPC11180000263,415.75
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,09.11.2018,16.12.2018,GPC11180000264,23.50
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,06.11.2018,16.12.2018,GPC11180000265,142.13
Stockport MBC,Corporate and Support Services,Central Support Costs,PRESSURE SENSITIVE ADH,Furniture and Equipment,Environmental Services Technical Equipment ,02.11.2018,16.12.2018,GPC11180000266,13.21
Stockport MBC,Services to Place,Highways & Transport Services,CO-OP GROUP 108689,Fees and Charges,UNCLASSIFIED  ,27.11.2018,16.12.2018,GPC11180000267,98.00
Stockport MBC,Services to Place,Highways & Transport Services,CO-OP GROUP 108689,Fees and Charges,UNCLASSIFIED  ,27.11.2018,16.12.2018,GPC11180000268,98.00
Stockport MBC,Services to Place,Highways & Transport Services,CO-OP GROUP 108689,Fees and Charges,UNCLASSIFIED  ,27.11.2018,16.12.2018,GPC11180000269,98.00
Stockport MBC,Services to Place,Highways & Transport Services,CO-OP GROUP 108689,Fees and Charges,UNCLASSIFIED  ,27.11.2018,16.12.2018,GPC11180000270,98.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.11.2018,16.12.2018,GPC11180000271,9.65
Stockport MBC,Corporate and Support Services,Central Support Costs,PREMIER INN44521700,Expenses and Allowances,Human Resources Travel & Subsistence ,06.11.2018,16.12.2018,GPC11180000272,27.09
Stockport MBC,Corporate and Support Services,Cultural & Related Services,SAINSBURYS SUPERMARKET,Catering Supplies,Catering Food & Beverages ,26.11.2018,16.12.2018,GPC11180000273,22.96
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,29.11.2018,16.12.2018,GPC11180000274,146.40
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.11.2018,16.12.2018,GPC11180000275,202.45
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAVELODGE GB0000,Expenses and Allowances,Human Resources Training & Conferences ,26.11.2018,16.12.2018,GPC11180000276,39.00
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.11.2018,16.12.2018,GPC11180000277,101.60
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.11.2018,16.12.2018,GPC11180000278,82.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.11.2018,16.12.2018,GPC11180000279,8.75
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.11.2018,16.12.2018,GPC11180000280,189.95
Stockport MBC,Services to Place,Highways & Transport Services,WWW.BLACKWELL.CO.UK,Library Equipment,Education Library Books ,22.11.2018,16.12.2018,GPC11180000281,38.51
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,22.11.2018,16.12.2018,GPC11180000282,80.00
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,22.11.2018,16.12.2018,GPC11180000283,160.50
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.11.2018,16.12.2018,GPC11180000284,35.55
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,19.11.2018,16.12.2018,GPC11180000285,33.75
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,19.11.2018,16.12.2018,GPC11180000286,165.70
Stockport MBC,Services to Place,Highways & Transport Services,RADISSON BLU HOTEL MAN,Expenses and Allowances,Human Resources Training & Conferences ,16.11.2018,16.12.2018,GPC11180000287,257.00
Stockport MBC,Services to Place,Housing (General Fund) Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.11.2018,16.12.2018,GPC11180000288,126.20
