Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000318,77.21,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000319,8.72,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000320,208.08,,
Stockport MBC,Services to Place,Cultural & Related Services,TRAINLINE,Staff Training,Human Resources  ,08.11.2017,16.12.2017,GPC11170000321,159.12,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.12.2017,GPC11170000322,170.65,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.12.2017,GPC11170000323,39.37,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.11.2017,16.12.2017,GPC11170000324,86.60,,
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.11.2017,16.12.2017,GPC11170000325,-24.20,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,28.11.2017,16.12.2017,GPC11170000326,12.80,,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,28.11.2017,16.12.2017,GPC11170000327,37.28,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.11.2017,16.12.2017,GPC11170000328,60.49,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.11.2017,16.12.2017,GPC11170000329,65.79,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.11.2017,16.12.2017,GPC11170000330,39.37,,
Stockport MBC,Services to Place,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,14.11.2017,16.12.2017,GPC11170000331,39.37,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,13.11.2017,16.12.2017,GPC11170000332,82.52,,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,10.11.2017,16.12.2017,GPC11170000333,80.48,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,10.11.2017,16.12.2017,GPC11170000334,32.79,,
Stockport MBC,Services to Place,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.11.2017,16.12.2017,GPC11170000335,51.31,,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.11.2017,16.12.2017,GPC11170000336,80.48,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,02.11.2017,16.12.2017,GPC11170000337,72.32,,
