Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK TNXX9ENTU2,Publicity and Promotion,Facilities & Management Services  ,13.11.2017,16.12.2017,GPC11170000043,559.11,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK UNXX9ENTU2,Publicity and Promotion,Facilities & Management Services  ,13.11.2017,16.12.2017,GPC11170000044,40.89,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 5XT8XDWLG2,Publicity and Promotion,Facilities & Management Services  ,10.11.2017,16.12.2017,GPC11170000045,32.67,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 6XT8XDWLG2,Publicity and Promotion,Facilities & Management Services  ,10.11.2017,16.12.2017,GPC11170000046,7.33,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 78GK3E6MG2,Publicity and Promotion,Facilities & Management Services  ,09.11.2017,16.12.2017,GPC11170000047,15.51,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 88GK3E6MG2,Publicity and Promotion,Facilities & Management Services  ,09.11.2017,16.12.2017,GPC11170000048,4.49,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK XXABLE6UU2,Publicity and Promotion,Facilities & Management Services  ,05.11.2017,16.12.2017,GPC11170000049,518.33,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK YXABLE6UU2,Publicity and Promotion,Facilities & Management Services  ,05.11.2017,16.12.2017,GPC11170000050,81.67,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.11.2017,16.12.2017,GPC11170000051,11.39,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.11.2017,16.12.2017,GPC11170000052,12.25,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.11.2017,16.12.2017,GPC11170000053,3.19,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.11.2017,16.12.2017,GPC11170000054,41.79,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.11.2017,16.12.2017,GPC11170000055,29.41,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.11.2017,16.12.2017,GPC11170000056,6.49,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.11.2017,16.12.2017,GPC11170000057,23.03,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.11.2017,16.12.2017,GPC11170000058,8.40,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.11.2017,16.12.2017,GPC11170000059,36.81,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.11.2017,16.12.2017,GPC11170000060,14.78,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.11.2017,16.12.2017,GPC11170000061,12.54,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.11.2017,16.12.2017,GPC11170000062,10.38,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.11.2017,16.12.2017,GPC11170000063,9.12,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.11.2017,16.12.2017,GPC11170000064,6.00,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.11.2017,16.12.2017,GPC11170000065,3.37,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.11.2017,16.12.2017,GPC11170000066,21.97,,
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,22.11.2017,16.12.2017,GPC11170000067,12.00,,
Stockport MBC,Services to People,Childrens & Educational Services,Q PARK FIRST STREET A,Travelling Expenses,Human Resources Travel & Subsistence ,03.11.2017,16.12.2017,GPC11170000068,6.50,,
Stockport MBC,Services to People,Childrens & Educational Services,EB  SPECIAL EDUCATIONA,Fees and Charges,Human Resources Training & Conferences ,29.11.2017,16.12.2017,GPC11170000069,200.00,,
Stockport MBC,Services to People,Public Health,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,28.11.2017,16.12.2017,GPC11170000070,83.18,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.11.2017,16.12.2017,GPC11170000071,73.90,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,23.11.2017,16.12.2017,GPC11170000072,177.48,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM C2NLQ4       0,Care Payments,Social Community Care Supplies & Services  ,22.11.2017,16.12.2017,GPC11170000073,494.88,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,20.11.2017,16.12.2017,GPC11170000074,286.96,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORE 4554,Publicity and Promotion,Arts & Leisure Services  ,28.11.2017,16.12.2017,GPC11170000075,6.67,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Furniture & Soft Furnishings  ,26.11.2017,16.12.2017,GPC11170000076,34.99,,
Stockport MBC,Services to People,Childrens & Educational Services,M6 TOLL,Travelling Expenses,Human Resources Travel & Subsistence ,25.11.2017,16.12.2017,GPC11170000077,4.80,,
Stockport MBC,Services to People,Childrens & Educational Services,M6 TOLL,Travelling Expenses,Human Resources Travel & Subsistence ,23.11.2017,16.12.2017,GPC11170000078,5.90,,
Stockport MBC,Services to People,Childrens & Educational Services,ELMS,Catering Supplies,Catering Food & Beverages ,23.11.2017,16.12.2017,GPC11170000079,21.86,,
Stockport MBC,Services to People,Childrens & Educational Services,ATLANTIC EXECUTIVE TRA,Leasing /Transport Hire,Vehicle Management Leasing ,16.11.2017,16.12.2017,GPC11170000080,103.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PRINTMYTICKETS.CO.,Printing and Photocopying,Facilities & Management Services Printing ,06.11.2017,16.12.2017,GPC11170000081,21.99,,
Stockport MBC,Services to People,Childrens & Educational Services,ITUNES.COM/BILL,Information and Communications Technology,Information Communication Technology  ,04.11.2017,16.12.2017,GPC11170000082,40.83,,
Stockport MBC,Services to People,Childrens & Educational Services,SVP CO UK SILICON,Office Expenses,Stationery    ,03.11.2017,16.12.2017,GPC11170000083,173.74,,
Stockport MBC,Services to People,Childrens & Educational Services,FACEBK 3NDNQEWRK2,Publicity and Promotion,Facilities & Management Services  ,30.11.2017,16.12.2017,GPC11170000084,52.36,,
Stockport MBC,Services to People,Childrens & Educational Services,GIFTVOUCHERSHOP.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,29.11.2017,16.12.2017,GPC11170000085,508.50,,
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE SHOP,Office Expenses,Stationery    ,10.11.2017,16.12.2017,GPC11170000086,11.80,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,13.11.2017,16.12.2017,GPC11170000087,36.50,,
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE SHOP,Office Expenses,Stationery    ,10.11.2017,16.12.2017,GPC11170000088,47.20,,
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL SST,Travelling Expenses,Human Resources Travel & Subsistence ,27.11.2017,16.12.2017,GPC11170000089,4.70,,
Stockport MBC,Services to People,Childrens & Educational Services,PP METROTAXISL,Travelling Expenses,Human Resources Travel & Subsistence ,24.11.2017,16.12.2017,GPC11170000090,18.80,,
Stockport MBC,Services to People,Childrens & Educational Services,TAMESIDE TAXIS,Travelling Expenses,Human Resources Travel & Subsistence ,24.11.2017,16.12.2017,GPC11170000091,17.60,,
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,21.11.2017,16.12.2017,GPC11170000092,10.00,,
Stockport MBC,Services to People,Childrens & Educational Services,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000093,7.00,,
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.12.2017,GPC11170000094,22.00,,
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,03.11.2017,16.12.2017,GPC11170000095,22.00,,
Stockport MBC,Services to People,Childrens & Educational Services,SAINSBURYS SUPERMARKET,Publicity and Promotion,Arts & Leisure Services  ,30.11.2017,16.12.2017,GPC11170000096,1.50,,
Stockport MBC,Services to People,Childrens & Educational Services,VIRGINTRAINS.CO.UK,Travelling Expenses,Human Resources Travel & Subsistence ,10.11.2017,16.12.2017,GPC11170000097,-41.58,,
Stockport MBC,Services to People,Childrens & Educational Services,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000098,421.00,,
Stockport MBC,Services to People,Childrens & Educational Services,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.12.2017,GPC11170000099,100.30,,
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,23.11.2017,16.12.2017,GPC11170000100,5.90,,
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,17.11.2017,16.12.2017,GPC11170000101,5.90,,
Stockport MBC,Services to Place,Central Support Costs,METROLINK TVM,Travelling Expenses,Human Resources Travel & Subsistence ,17.11.2017,16.12.2017,GPC11170000102,4.30,,
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,13.11.2017,16.12.2017,GPC11170000103,5.90,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,27.11.2017,16.12.2017,GPC11170000104,1.67,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,26.11.2017,16.12.2017,GPC11170000105,3.24,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,25.11.2017,16.12.2017,GPC11170000106,3.00,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,24.11.2017,16.12.2017,GPC11170000107,3.70,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,25.11.2017,16.12.2017,GPC11170000108,5.45,,
Stockport MBC,Services to People,Childrens & Educational Services,NATIONAL COAL MINING M,Fees and Charges,Education  ,23.11.2017,16.12.2017,GPC11170000109,24.00,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Office Expenses,Mail Services   ,22.11.2017,16.12.2017,GPC11170000110,40.32,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,21.11.2017,16.12.2017,GPC11170000111,65.58,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,21.11.2017,16.12.2017,GPC11170000112,14.50,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,20.11.2017,16.12.2017,GPC11170000113,12.08,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773         S,Catering Supplies,Catering Food & Beverages ,14.11.2017,16.12.2017,GPC11170000114,45.97,,
Stockport MBC,Services to People,Childrens & Educational Services,NATIONAL TRUST MEM,Furniture and Equipment,Environmental Services Technical Equipment ,14.11.2017,16.12.2017,GPC11170000115,43.25,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,14.11.2017,16.12.2017,GPC11170000116,6.68,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.LANESIDECARAVA,Fees and Charges,Education  ,13.11.2017,16.12.2017,GPC11170000117,56.84,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.LANESIDECARAVA,Fees and Charges,Education  ,13.11.2017,16.12.2017,GPC11170000118,56.84,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,13.11.2017,16.12.2017,GPC11170000119,17.52,,
Stockport MBC,Services to People,Childrens & Educational Services,OSCARS CHEADLE HULME,Furniture and Equipment,Environmental Services Technical Equipment ,09.11.2017,16.12.2017,GPC11170000120,18.99,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4787,Catering Supplies,Catering Food & Beverages ,10.11.2017,16.12.2017,GPC11170000121,68.29,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,08.11.2017,16.12.2017,GPC11170000122,26.18,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,07.11.2017,16.12.2017,GPC11170000123,68.79,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,07.11.2017,16.12.2017,GPC11170000124,11.73,,
Stockport MBC,Services to People,Childrens & Educational Services,STATIONERY OFFICE BOOK,Furniture and Equipment,Environmental Services Technical Equipment ,06.11.2017,16.12.2017,GPC11170000125,9.00,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,06.11.2017,16.12.2017,GPC11170000126,4.70,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773         S,Catering Supplies,Catering Food & Beverages ,02.11.2017,16.12.2017,GPC11170000127,2.36,,
Stockport MBC,Services to People,Childrens & Educational Services,UOM JODRELL BANK VISIT,Fees and Charges,Education  ,02.11.2017,16.12.2017,GPC11170000128,59.70,,
