Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to Place,Highways & Transport Services,PREMIER INN 44536390,Travelling Expenses,Human Resources Travel & Subsistence ,20.11.2019,16.12.2019,GPC11190000307,198
Stockport MBC,Services to Place,Highways & Transport Services,EB  USING THICKENER IN,Fees and Charges,Human Resources Training & Conferences ,21.11.2019,16.12.2019,GPC11190000308,50
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.11.2019,16.12.2019,GPC11190000309,324.5
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,19.11.2019,16.12.2019,GPC11190000310,234.1
Stockport MBC,Corporate and Support Services,Central Support Costs,TURPIN44(0)01767604800,Library Equipment,Education Library Books ,15.11.2019,16.12.2019,GPC11190000311,305.08
Stockport MBC,Services to Place,Highways & Transport Services,STUDIOS 2 LET,Travelling Expenses,Human Resources Travel & Subsistence ,12.11.2019,16.12.2019,GPC11190000312,102
Stockport MBC,Services to Place,Highways & Transport Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,11.11.2019,16.12.2019,GPC11190000313,61.97
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,11.11.2019,16.12.2019,GPC11190000314,35.55
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,11.11.2019,16.12.2019,GPC11190000315,701.5
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,11.11.2019,16.12.2019,GPC11190000316,123.6
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2019,16.12.2019,GPC11190000317,64.6
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2019,16.12.2019,GPC11190000318,-24.8
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2019,16.12.2019,GPC11190000319,-24.8
Stockport MBC,Services to Place,Highways & Transport Services,PREMIER INN44015920,Travelling Expenses,Human Resources Travel & Subsistence ,04.11.2019,16.12.2019,GPC11190000320,69.5
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,01.11.2019,16.12.2019,GPC11190000321,33.55
Stockport MBC,Services to Place,Highways & Transport Services,PREMIER INN44028705,Travelling Expenses,Human Resources Travel & Subsistence ,01.11.2019,16.12.2019,GPC11190000322,104
Stockport MBC,Corporate and Support Services,Cultural & Related Services,GREATER MANCHESTER,Office Expenses,Facilities & Management Services  ,29.11.2019,16.12.2019,GPC11190000323,36
Stockport MBC,Corporate and Support Services,Cultural & Related Services,ARGOS LTD,Information and Communications Technology,Information Communication Technology  ,22.11.2019,16.12.2019,GPC11190000324,19.98
Stockport MBC,Corporate and Support Services,Cultural & Related Services,EB  TWIA 2020 NORTH WE,Office Expenses,Facilities & Management Services  ,07.11.2019,16.12.2019,GPC11190000325,233
