Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,18.10.2017,16.11.2017,GPC10170000227,118.22
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS,Catering Supplies,Catering Food & Beverages ,30.10.2017,16.11.2017,GPC10170000228,6.00
Stockport MBC,Services to Place,Central Support Costs,REEDMIDEM.COM,Expenses and Allowances,Human Resources Training & Conferences ,02.10.2017,16.11.2017,GPC10170000229,354.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,31.10.2017,16.11.2017,GPC10170000230,156.57
Stockport MBC,Services to People,Childrens & Educational Services,OPODO ID 3759815565,Travelling Expenses,Human Resources Travel & Subsistence ,25.10.2017,16.11.2017,GPC10170000231,217.26
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.10.2017,16.11.2017,GPC10170000232,89.20
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  CHILDFAMILY,Library Equipment,Education Library Books ,17.10.2017,16.11.2017,GPC10170000233,27.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,17.10.2017,16.11.2017,GPC10170000234,358.84
Stockport MBC,Services to People,Childrens & Educational Services,ROYAL MAIL ONLINE SHOP,Office Expenses,Mail Services   ,09.10.2017,16.11.2017,GPC10170000235,38.29
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,06.10.2017,16.11.2017,GPC10170000236,33.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,06.10.2017,16.11.2017,GPC10170000237,9.95
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Care Payments,Social Community Care Supplies & Services  ,27.10.2017,16.11.2017,GPC10170000238,158.55
Stockport MBC,Services to People,Childrens & Educational Services,IPS GLASGOW CONTACT CT,Care Payments,Social Community Care Supplies & Services  ,23.10.2017,16.11.2017,GPC10170000239,92.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,18.10.2017,16.11.2017,GPC10170000240,4.25
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,12.10.2017,16.11.2017,GPC10170000241,86.19
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,11.10.2017,16.11.2017,GPC10170000242,607.91
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,09.10.2017,16.11.2017,GPC10170000243,824.32
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,09.10.2017,16.11.2017,GPC10170000244,242.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,09.10.2017,16.11.2017,GPC10170000245,10.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.BUY-STATIONERY.CO.,Furniture and Equipment,Environmental Services Technical Equipment ,05.10.2017,16.11.2017,GPC10170000246,36.48
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,05.10.2017,16.11.2017,GPC10170000247,451.75
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT BED & SO,Furniture and Equipment,Environmental Services Technical Equipment ,04.10.2017,16.11.2017,GPC10170000248,770.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,03.10.2017,16.11.2017,GPC10170000249,681.91
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,02.10.2017,16.11.2017,GPC10170000250,22.90
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,09.10.2017,16.11.2017,GPC10170000251,122.90
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,09.10.2017,16.11.2017,GPC10170000252,14.80
Stockport MBC,Services to People,Childrens & Educational Services,B&M RETAIL LTD,Catering Supplies,Catering Food & Beverages ,30.10.2017,16.11.2017,GPC10170000253,15.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,31.10.2017,16.11.2017,GPC10170000254,61.78
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,30.10.2017,16.11.2017,GPC10170000255,81.59
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,16.10.2017,16.11.2017,GPC10170000256,41.21
Stockport MBC,Services to People,Childrens & Educational Services,B&M RETAIL LTD,Catering Supplies,Catering Food & Beverages ,16.10.2017,16.11.2017,GPC10170000257,17.91
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,16.10.2017,16.11.2017,GPC10170000258,66.35
Stockport MBC,Services to People,Childrens & Educational Services,HOME BARGAINS,Catering Supplies,Catering Food & Beverages ,16.10.2017,16.11.2017,GPC10170000259,7.99
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,11.10.2017,16.11.2017,GPC10170000260,5.35
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,09.10.2017,16.11.2017,GPC10170000261,94.44
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,09.10.2017,16.11.2017,GPC10170000262,54.15
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,04.10.2017,16.11.2017,GPC10170000263,14.64
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,03.10.2017,16.11.2017,GPC10170000264,3.46
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773        S,Catering Supplies,Catering Food & Beverages ,02.10.2017,16.11.2017,GPC10170000265,7.46
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,02.10.2017,16.11.2017,GPC10170000266,79.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,02.10.2017,16.11.2017,GPC10170000267,50.63
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail Services   ,30.10.2017,16.11.2017,GPC10170000268,6.50
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,28.10.2017,16.11.2017,GPC10170000269,170.87
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,21.10.2017,16.11.2017,GPC10170000270,137.90
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,16.10.2017,16.11.2017,GPC10170000271,210.68
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,16.10.2017,16.11.2017,GPC10170000272,15.99
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Care Payments,Social Community Care Supplies & Services  ,16.10.2017,16.11.2017,GPC10170000273,7.50
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,13.10.2017,16.11.2017,GPC10170000274,14.90
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,13.10.2017,16.11.2017,GPC10170000275,8.99
Stockport MBC,Services to People,Childrens & Educational Services,COOKSONS CATERING,Publicity and Promotion,Arts & Leisure Services  ,12.10.2017,16.11.2017,GPC10170000276,5.00
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Care Payments,Social Community Care Supplies & Services  ,05.10.2017,16.11.2017,GPC10170000277,5.00
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Care Payments,Social Community Care Supplies & Services  ,05.10.2017,16.11.2017,GPC10170000278,5.50
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Care Payments,Social Community Care Supplies & Services  ,05.10.2017,16.11.2017,GPC10170000279,50.00
Stockport MBC,Services to People,Childrens & Educational Services,DISCLOSURE & BARRING,Care Payments,Social Community Care Supplies & Services  ,04.10.2017,16.11.2017,GPC10170000280,13.00
Stockport MBC,Services to People,Childrens & Educational Services,MCFC BOX OFFICE,Publicity and Promotion,Arts & Leisure Services  ,04.10.2017,16.11.2017,GPC10170000281,68.34
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,03.10.2017,16.11.2017,GPC10170000282,182.68
Stockport MBC,Services to People,Adult Social Care,NORTHERN RAIL LTD-,Travelling Expenses,Human Resources Travel & Subsistence ,19.10.2017,16.11.2017,GPC10170000283,6.40
Stockport MBC,Services to People,Adult Social Care,VERIFONE TAXI/PRIVATE,Travelling Expenses,Human Resources Travel & Subsistence ,13.10.2017,16.11.2017,GPC10170000284,10.00
