Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,08.01.2020,16.02.2020,GPC01200000125,89.99
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Furniture and Equipment,Environmental Services Technical Equipment ,20.01.2020,16.02.2020,GPC01200000126,12.30
Stockport MBC,Services to People,Childrens & Educational Services,QUIZLET.COM,Library Equipment,Education Library Books ,14.01.2020,16.02.2020,GPC01200000127,35.99
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail Services   ,13.01.2020,16.02.2020,GPC01200000128,14.80
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TEACHIT.CO.UK,Library Equipment,Education Library Books ,09.01.2020,16.02.2020,GPC01200000129,30.00
Stockport MBC,Services to People,Childrens & Educational Services,POUNDSTRETCHER 793,Furniture and Equipment,Environmental Services Technical Equipment ,07.01.2020,16.02.2020,GPC01200000130,3.98
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail Services   ,07.01.2020,16.02.2020,GPC01200000131,55.98
Stockport MBC,Services to People,Childrens & Educational Services,MANCHESTER,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,06.01.2020,16.02.2020,GPC01200000132,43.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,STOCKPORT T/O,Travelling Expenses,Human Resources Travel & Subsistence ,27.01.2020,16.02.2020,GPC01200000133,360.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,SAINSBURYS SUPERMARKET,Catering Supplies,Catering Food & Beverages ,09.01.2020,16.02.2020,GPC01200000134,8.90
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,10.01.2020,16.02.2020,GPC01200000135,75.00
Stockport MBC,Services to People,Childrens & Educational Services,METROLINK TVM,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,24.01.2020,16.02.2020,GPC01200000136,33.60
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,24.01.2020,16.02.2020,GPC01200000137,10.67
Stockport MBC,Services to People,Childrens & Educational Services,POUNDSTRETCHER 793,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,22.01.2020,16.02.2020,GPC01200000138,9.48
