Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Care Payments,Social Community Care Supplies & Services  ,18.08.2017,16.09.2017,GPC08170000066,40.90
Stockport MBC,Services to People,Childrens & Educational Services,FlybeGGDK GGDKL1,Care Payments,Social Community Care Supplies & Services  ,18.08.2017,16.09.2017,GPC08170000067,259.09
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,18.08.2017,16.09.2017,GPC08170000068,500.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,18.08.2017,16.09.2017,GPC08170000069,282.91
Stockport MBC,Services to People,Childrens & Educational Services,TRAVELODGE GB0000,Care Payments,Social Community Care Supplies & Services  ,18.08.2017,16.09.2017,GPC08170000070,436.75
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ARGOS.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,17.08.2017,16.09.2017,GPC08170000071,68.93
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,21.08.2017,16.09.2017,GPC08170000072,610.41
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,22.08.2017,16.09.2017,GPC08170000073,30.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44521425,Care Payments,Social Community Care Supplies & Services  ,22.08.2017,16.09.2017,GPC08170000074,540.93
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,23.08.2017,16.09.2017,GPC08170000075,32.69
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,23.08.2017,16.09.2017,GPC08170000076,145.35
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,23.08.2017,16.09.2017,GPC08170000077,20.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,24.08.2017,16.09.2017,GPC08170000078,-20.00
Stockport MBC,Services to People,Childrens & Educational Services,Amazon Prime,Furniture and Equipment,Environmental Services Technical Equipment ,26.08.2017,16.09.2017,GPC08170000079,7.99
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,29.08.2017,16.09.2017,GPC08170000080,68.44
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,29.08.2017,16.09.2017,GPC08170000081,-80.20
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,31.08.2017,16.09.2017,GPC08170000082,68.24
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ARGOS.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,25.08.2017,16.09.2017,GPC08170000083,95.88
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,30.08.2017,16.09.2017,GPC08170000084,50.49
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,31.08.2017,16.09.2017,GPC08170000085,10.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,CIEH,Travelling Expenses,Human Resources Travel & Subsistence ,08.07.2017,16.09.2017,GPC08170000086,284.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,PAYPAL  ABC FOODLAW,Staff Training,Human Resources  ,16.08.2017,16.09.2017,GPC08170000087,150.00
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,30.08.2017,16.09.2017,GPC08170000088,221.65
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT,Care Payments,Social Community Care Supplies & Services  ,08.04.2017,16.09.2017,GPC08170000089,180.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,08.03.2017,16.09.2017,GPC08170000090,663.91
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,08.03.2017,16.09.2017,GPC08170000091,719.91
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,08.04.2017,16.09.2017,GPC08170000092,10.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,08.07.2017,16.09.2017,GPC08170000093,775.91
Stockport MBC,Services to People,Childrens & Educational Services,DIRECTLINE-FLIGHTS,Care Payments,Social Community Care Supplies & Services  ,08.09.2017,16.09.2017,GPC08170000094,122.19
Stockport MBC,Services to People,Childrens & Educational Services,DIRECTLINE-FLIGHTS,Care Payments,Social Community Care Supplies & Services  ,08.09.2017,16.09.2017,GPC08170000095,369.62
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,08.09.2017,16.09.2017,GPC08170000096,191.56
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,08.10.2017,16.09.2017,GPC08170000097,31.37
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT,Care Payments,Social Community Care Supplies & Services  ,08.11.2017,16.09.2017,GPC08170000098,90.00
Stockport MBC,Services to People,Childrens & Educational Services,HAVEN HOLIDAYS,Publicity and Promotion,Arts & Leisure Services  ,08.03.2017,16.09.2017,GPC08170000099,461.00
Stockport MBC,Services to People,Childrens & Educational Services,HAVEN HOLIDAYS,Publicity and Promotion,Arts & Leisure Services  ,08.03.2017,16.09.2017,GPC08170000100,461.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,08.06.2017,16.09.2017,GPC08170000101,254.70
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Publicity and Promotion,Arts & Leisure Services  ,08.09.2017,16.09.2017,GPC08170000102,10.54
Stockport MBC,Services to People,Childrens & Educational Services,Stena Line GBP,Publicity and Promotion,Arts & Leisure Services  ,17.08.2017,16.09.2017,GPC08170000103,101.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORE 4422,Catering Supplies,Catering Food & Beverages ,21.08.2017,16.09.2017,GPC08170000104,139.88
Stockport MBC,Services to People,Childrens & Educational Services,SHELL STOCKPORT,Fuel,Vehicle Management Fuel ,21.08.2017,16.09.2017,GPC08170000105,58.35
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Publicity and Promotion,Arts & Leisure Services  ,23.08.2017,16.09.2017,GPC08170000106,14.15
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,27.08.2017,16.09.2017,GPC08170000107,235.80
Stockport MBC,Services to People,Adult Social Care,STARBUCKS - BS,Travelling Expenses,Human Resources Travel & Subsistence ,31.08.2017,16.09.2017,GPC08170000108,1.75
Stockport MBC,Services to People,Adult Social Care,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,31.08.2017,16.09.2017,GPC08170000109,5.90
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM D8ME6J       0,Care Payments,Social Community Care Supplies & Services  ,08.02.2017,16.09.2017,GPC08170000110,236.43
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,08.02.2017,16.09.2017,GPC08170000111,109.96
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Care Payments,Social Community Care Supplies & Services  ,08.02.2017,16.09.2017,GPC08170000112,44.97
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,08.03.2017,16.09.2017,GPC08170000113,80.12
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,08.03.2017,16.09.2017,GPC08170000114,190.33
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM AW4TMD       0,Care Payments,Social Community Care Supplies & Services  ,24.08.2017,16.09.2017,GPC08170000115,220.98
