Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2019-02-04,ZZP656154,1,1222,Horticon Ltd,350000,Street & Traffic Management  ,Fixtures and Fittings,#N/A,#N/A,7800.00
2019-02-05,ZZP656224,1,12806,District Valuation Service,150000,Consultancy   ,Professional Fees,Services to Place,Retail appeals,15000.00
2019-02-05,ZZP656258,1,2025,BT Plc (Openreach),230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,12498.93
2019-02-05,ZZP656195,1,12609,ASHTEAD PLANT HIRE,202000,Financial Services Rents ,Rents,Corporate and Support Services,Local Election,8061.00
2019-02-05,ZZP656204,1,9016,Granicus,190000,Facilities & Management Services  ,Office Expenses,Corporate and Support Services,POD Communications,26712.00
2019-02-12,ZZP656585,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,18834.00
2019-02-05,ZZP656240,1,2718,Virgin Media Business,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,CCTV-Control,100.00
2019-02-05,ZZP656240,2,2718,Virgin Media Business,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,CCTV-Control,8200.00
2019-02-05,ZZP656256,1,7083,E-ON,370000,Utilities   ,Utilities,Services to Place,CCTV-Control,1000.00
2019-02-05,ZZP656256,2,7083,E-ON,370000,Utilities   ,Utilities,Services to Place,CCTV-Control,4100.00
2019-02-12,ZZP656587,1,757,Transport for Greater Manchest,150000,Consultancy   ,Professional Fees,#N/A,#N/A,49737.50
2019-02-05,ZZP656255,1,939,BT Redcare,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,CCTV-Control,20200.00
2019-02-05,ZZP656259,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,6898.43
2019-02-12,ZZP656588,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,#N/A,#N/A,137608.00
2019-02-08,ZZP656449,1,13217,Steer Davies & Gleave Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,6318.00
2019-02-07,ZZP656411,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,10000.00
2019-02-08,ZZP656434,1,3529,Totally Local Company Ltd,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,Stepping Hill Ward,6581.86
2019-02-08,ZZP656459,1,5214,WSP GROUP PLC,150000,Consultancy   ,Professional Fees,#N/A,#N/A,23560.00
2019-02-11,ZZP656525,1,5214,WSP GROUP PLC,150000,Consultancy   ,Professional Fees,#N/A,#N/A,49546.34
2019-02-11,ZZP656507,1,7025,CBRE Limited,390000,Supplies and services,Supplies and services,Corporate and Support Services,Property Client Acct,14450.00
2019-02-12,ZZP656589,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,29952.00
2019-02-12,ZZP656589,2,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,15840.00
2019-02-12,ZZP656589,3,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,4961.32
2019-02-12,ZZP656589,4,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,2920.00
2019-02-12,ZZP656589,5,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,2925.60
2019-02-11,ZZP656547,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,23087.77
2019-02-11,ZZP656566,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,15446.00
2019-02-15,ZZP656802,1,13124,Social Finance Limited,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Business Intelligenc,43925.00
2019-02-12,ZZP656591,1,851,Glasdon UK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,11668.62
2019-02-13,ZZP656694,1,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,1375.00
2019-02-13,ZZP656694,2,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,618.30
2019-02-13,ZZP656694,3,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,2431.20
2019-02-13,ZZP656694,4,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,5883.00
2019-02-13,ZZP656694,5,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,630.00
2019-02-13,ZZP656694,6,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,695.50
2019-02-13,ZZP656694,7,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,1980.00
2019-02-13,ZZP656694,8,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,894.00
2019-02-13,ZZP656694,9,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,1392.00
2019-02-13,ZZP656694,10,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,2400.00
2019-02-13,ZZP656694,11,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,800.00
2019-02-13,ZZP656645,1,13412,Open Data Manchester CIC,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Spatial Intelligence,14260.00
2019-02-28,ZZP657505,1,6909,Learning Pool Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,POD Workforce Dev,27700.00
2019-02-14,ZZP656725,1,6170,Greater Manchester TreeStation,390000,Supplies and services,Supplies and services,Services to Place,Land Dev-Werneth Os,6450.00
2019-02-13,ZZP656698,1,13154,Amey OW Ltd,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Property Client Acct,55200.00
2019-02-13,ZZP656693,1,8733,ELF SOFTWARE LTD,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Property Client Acct,10999.99
2019-02-14,ZZP656716,1,13223,A Pacini Ltd,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Property Client Acct,5089.00
2019-02-14,ZZP656770,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,6758.10
2019-02-14,ZZP656776,1,3291,Leica Geosystems Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,20000.00
2019-02-14,ZZP656776,2,3291,Leica Geosystems Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,40000.00
2019-02-14,ZZP656776,3,3291,Leica Geosystems Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,20000.00
2019-02-14,ZZP656764,1,9453,Gaist Solutions Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,21105.00
2019-02-14,ZZP656763,1,909,DWF LLP,280000,Legal Services  ,Legal Fees,Corporate and Support Services,Redrock IE,21000.00
2019-02-19,ZZP656987,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,101989.15
2019-02-15,ZZP656804,1,10786,Market Place Management Ltd,390000,Supplies and services,Supplies and services,Services to Place,Market General,17500.00
2019-02-19,ZZP656957,1,12401,NSL Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,2224.00
2019-02-19,ZZP656957,2,12401,NSL Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,1000.00
2019-02-19,ZZP656957,3,12401,NSL Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,2950.00
2019-02-19,ZZP656957,4,12401,NSL Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,1500.00
2019-02-19,ZZP656957,5,12401,NSL Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,6820.00
2019-02-18,ZZP656891,1,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Aurora IE,10000.00
2019-02-18,ZZP656889,1,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Shop Ctre,3000.00
2019-02-18,ZZP656889,2,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Shop Ctre,3000.00
2019-02-18,ZZP656889,3,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Shop Ctre,3000.00
2019-02-18,ZZP656889,4,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Shop Ctre,3000.00
2019-02-18,ZZP656889,5,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Shop Ctre,12500.00
2019-02-18,ZZP656889,6,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Shop Ctre,3000.00
2019-02-20,ZZP656998,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,57145.17
2019-02-25,ZZP657256,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,248097.10
2019-02-19,ZZP656953,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,21004.07
2019-02-19,ZZP656968,1,8424,RMD Contracts Limited,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,#N/A,#N/A,17964.14
2019-02-20,ZZP657032,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,6937.70
2019-02-20,ZZP657031,1,8106,Tarmac Building Products Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,21004.07
2019-02-20,ZZP657030,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,97414.00
2019-02-20,ZZP657025,1,13353,CHASC Ltd,999999,Fees and Charges,Fees and Charges,Services to Place,Sports Client,40000.00
2019-02-21,ZZP657104,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,49483.78
2019-02-21,ZZP657105,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,6364.53
2019-02-28,ZZP657452,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,47240.07
2019-02-22,ZZP657125,1,2453,Medlock FRB Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,7181.35
2019-02-21,ZZP657107,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,60791.01
2019-02-22,ZZP657174,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,8853.16
2019-02-26,ZZP657282,1,13005,AHR BUILDING CONSULTANCY LTD,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,#N/A,#N/A,5358.85
2019-02-25,ZZP657255,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,109127.20
2019-02-25,ZZP657222,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,20642.07
2019-02-28,ZZP657475,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,321919.50
2019-02-25,ZZP657254,1,8300,Astun Technologies Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Spatial Intelligence,13800.00
2019-02-26,ZZP657322,1,8106,Tarmac Building Products Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,79286.32
2019-03-01,ZZP657565,1,6116,Atkins Limited,390000,Supplies and services,Supplies and services,#N/A,#N/A,20000.00
