Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,22.09.2017,16.10.2017,GPC09170000108,20.00
Stockport MBC,Corporate and Support Services,Central Services to the public,COMBINED COURT,Legal Fees,Legal Services  ,29.09.2017,16.10.2017,GPC09170000109,800.00
Stockport MBC,Corporate and Support Services,Central Services to the public,COMBINED COURT,Legal Fees,Legal Services  ,29.09.2017,16.10.2017,GPC09170000110,800.00
Stockport MBC,Services to People,Public Health,ARGOS RETAIL GROUP,Furniture and Equipment,Furniture & Soft Furnishings  ,15.09.2017,16.10.2017,GPC09170000111,44.99
Stockport MBC,Services to People,Public Health,LOVE2SHOP.CO.UK,Publicity and Promotion,Facilities & Management Services  ,15.09.2017,16.10.2017,GPC09170000112,454.25
Stockport MBC,Services to People,Public Health,WWW.DRINKAWARE.CO.UK,Office Expenses,Stationery    ,15.09.2017,16.10.2017,GPC09170000113,30.00
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,09.06.2017,16.10.2017,GPC09170000114,45.39
Stockport MBC,Services to People,Childrens & Educational Services,APPLE ONLINE STORE GBP,Office Expenses,Stationery    ,09.08.2017,16.10.2017,GPC09170000115,29.00
Stockport MBC,Services to People,Childrens & Educational Services,BIRNBECK FINANCE LTD,Fees and Charges,UNCLASSIFIED  ,09.07.2017,16.10.2017,GPC09170000116,415.14
Stockport MBC,Services to People,Childrens & Educational Services,Amazon EU,Furniture and Equipment,Furniture & Soft Furnishings  ,23.09.2017,16.10.2017,GPC09170000117,32.06
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,24.09.2017,16.10.2017,GPC09170000118,21.60
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,23.09.2017,16.10.2017,GPC09170000119,51.92
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,23.09.2017,16.10.2017,GPC09170000120,114.95
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,23.09.2017,16.10.2017,GPC09170000121,17.56
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,24.09.2017,16.10.2017,GPC09170000122,59.10
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,25.09.2017,16.10.2017,GPC09170000123,113.92
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,25.09.2017,16.10.2017,GPC09170000124,51.28
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,25.09.2017,16.10.2017,GPC09170000125,37.80
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,26.09.2017,16.10.2017,GPC09170000126,21.99
