"supplier_name","pro_class_description","service","expense_area","po_value","cpv_codes"
"Atkins Limited","Supplies and services","Capital Expenditure","SEMMMS Prep Costs - Feasibility","10084","73000000 |71320000 |71311210 |71320000 |73000000 |71200000 |71311000 |72000000 |73000000 |79000000 |63700000 |73200000 |75000000 |79411000 72224000 66171000 79200000 79210000 79211000 79311400 90713000 66122000 79311410 79400000 79212100 72221000 66100000 79212300 60200000 71314000 66152000 |71312000 71311000 79410000 72224000 71313000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |71000000 |79000000 |71000000 |71311000 "
"Atkins Limited","Consultancy   ","Services to Place","Network Assets Staff","36618","73000000 |71320000 |71311210 |71320000 |73000000 |71200000 |71311000 |72000000 |73000000 |79000000 |63700000 |73200000 |75000000 |79411000 72224000 66171000 79200000 79210000 79211000 79311400 90713000 66122000 79311410 79400000 79212100 72221000 66100000 79212300 60200000 71314000 66152000 |71312000 71311000 79410000 72224000 71313000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |71000000 |79000000 |71000000 |71311000 71313000 71530000 71312000 71315000 71351000 |71311000 "
"Atkins Limited","Consultancy   ","Services to Place","Design Framework Staff","10234","71321100 |73000000 |73000000 |71320000 |72000000 |71000000 |71320000 |73000000 |71200000 |71311000 |72000000 |71314200 71314300 |79000000 |63700000 |73200000 |75000000 |79411000 72224000 66171000 79200000 79210000 79211000 79311400 90713000 66122000 79311410 79400000 79212100 72221000 66100000 79212300 60200000 71314000 66152000 |71312000 71311000 79410000 72224000 71313000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |71000000 |79000000 |71000000 |71311000 71313000 71530000 71312000 71315000 71351000 |71311000 "
"Atkins Limited","Consultancy   ","Services to Place","Design Framework Staff","16000","71321100 |73000000 |73000000 |71320000 |72000000 |71000000 |71320000 |73000000 |71200000 |71311000 |72000000 |71314200 71314300 |79000000 |63700000 |73200000 |75000000 |79411000 72224000 66171000 79200000 79210000 79211000 79311400 90713000 66122000 79311410 79400000 79212100 72221000 66100000 79212300 60200000 71314000 66152000 |71312000 71311000 79410000 72224000 71313000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |71000000 |79000000 |71000000 |71311000 71313000 71530000 71312000 71315000 71351000 |71311000 "
"Atkins Limited","Consultancy   ","Services to Place","Network Assets Staff","39816","71311200 |71000000 |45000000 50000000 63000000 |71244000 71313200 71356400 71530000 79933000 |71240000 |73000000 |73000000 |79000000 |71000000 |73220000 |72000000 |71000000 |72220000 |71320000 |71200000 |72000000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |48613000 |71311000 |79000000 |63700000 |75000000 |79411000 72224000 66171000 79200000 79210000 79211000 79311400 90713000 66122000 79311410 79400000 79212100 72221000 66100000 79212300 60200000 71314000 66152000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |71000000 |71000000 |71311000 71313000 71530000 71312000 71315000 71351000 |71311000 "
"Atkins Limited","Consultancy   ","Capital Expenditure","Fvr B LED Investment Programme - Management Costs","26700","73200000 |71311200 |71313000 |73200000 |71000000 |45000000 50000000 63000000 |71244000 71313200 71356400 71530000 79933000 |48000000 |73000000 |73000000 |71240000 |73220000 |72000000 |71000000 |71320000 |71200000 |72000000 |70000000 71000000 79300000 90710000 45112450 63712700 |45112450 63712700 70000000 71000000 79300000 90710000 |71314200 71314300 |71000000 |71200000 71300000 71500000 71800000 90000000 |48613000 |72000000 |79000000 |63700000 |75000000 |79411000 72224000 66171000 79200000 79210000 79211000 79311400 90713000 66122000 79311410 79400000 79212100 72221000 66100000 79212300 60200000 71314000 66152000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |71000000 |71000000 |71311000 71313000 71530000 71312000 71315000 71351000 |71311000 "
"Atkins Limited","Supplies and services","Services to Place","Network Assets Staff","40448","73200000 |71311200 |71313000 |79000000 |79000000 |73200000 |71000000 |45000000 50000000 63000000 |71244000 71313200 71356400 71530000 79933000 |48000000 |73000000 |73000000 |71240000 |73220000 |72000000 |71000000 |71320000 |71200000 |72000000 |70000000 71000000 79300000 90710000 45112450 63712700 |45112450 63712700 70000000 71000000 79300000 90710000 |71314200 71314300 |71000000 |71200000 71300000 71500000 71800000 90000000 |48613000 |72000000 |79000000 |63700000 |75000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |71000000 |71000000 |71311000 71313000 71530000 71312000 71315000 71351000 |71311000 "
"Atkins Limited","Supplies and services","#N/A","#N/A","20000","71000000 |73200000 |71311200 |71313000 |73410000 |79000000 |71315200 71321000 |72000000 |79000000 |79000000 |71000000 |45000000 50000000 63000000 |71244000 71313200 71356400 71530000 79933000 |48000000 |73000000 |73000000 |71240000 |73220000 |72000000 |71000000 |71320000 |71200000 |70000000 71000000 79300000 90710000 45112450 63712700 |45112450 63712700 70000000 71000000 79300000 90710000 |71314200 71314300 |71000000 |71200000 71300000 71500000 71800000 90000000 |48613000 |75000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |71000000 |71000000 |71311000 71313000 71530000 71312000 71315000 71351000 |71311000 "
"Barnardos","Social Community Care Supplies & Services  ","Services to People","RAA Adoption Count","31620","85000000 98000000 |85000000 92000000 98000000 |85000000 |75231200 |85000000 |85000000 |85000000 |98000000 |85311300 |85000000 |85000000 |85000000 |85000000 98000000 |85000000 |80000000 85000000 98000000 |85000000 85300000 85320000 |85310000 |85000000 98200000 80340000 |85300000 |85320000 |85000000 |85000000 85311300 |85311300 85320000 |85000000 |85300000 |80100000 85300000 80200000 98334000 |85300000 |85000000 |75231200 |75231200 |75231200 |85000000 98000000 |85000000 |85000000 |85300000 85311300 85310000 85312300 85312000 |98000000 |85310000 |85000000 |85000000 |85311300 |85000000 |85300000 98000000 |85000000 |85000000 |85000000 |85311000 85311300 |85300000 |85000000 |80100000 80200000 80340000 80420000 80590000 80310000 80570000 80513000 |98000000 |85300000 |85100000 |85312000 |85000000 |79632000 79633000 80400000 80500000 |85000000 |85000000 |85300000 |80000000 85000000 |85000000 |85000000 |75231200 |85000000 |80100000 80110000 80000000 85000000 85320000 85300000 85310000 85321000 98000000 85323000 |850000"
"Cromwell Polythene Limited","Environmental Services Waste Management","Services to Place","Household Sacks,Kerbside boxes & bags","9263.8","19640000 |18923000 22850000 22000000 "
"David Hunter","Human Resources Training & Conferences ","Services to People","Safeguarding Adults Board","6000","79411000 "
"David Hunter","Human Resources Training & Conferences ","Services to People","Safeguarding Adults Board","6500","79411000 "
"David Hunter","Human Resources Training & Conferences ","Services to People","SA Board","6000","79411000 "
"DEVON COUNTY COUNCIL","Social Community Care Supplies & Services  ","Services to People","RAA Adoption Count","27000","45230000 |45230000 |44221220 |45000000 |90500000 |73000000 79300000 79311400 |32581000 |85000000 |45000000 |85000000 |32581000 |72000000 |77314000 |85000000 |72000000 |79512000 |48170000 |75112000 |80000000 |79100000 |42961100 |48000000 |85300000 |79000000 |72000000 |73000000 |85312310 85312400 |72210000 73200000 |73200000 72210000 |77200000 |79340000 75125000 |85312310 85312400 85322000 98133110 |85000000 98000000 |85323000 |85000000 |72000000 |70000000 71400000 90712000 71355000 90713000 |72212224 |85000000 |85000000 98000000 |71351600 |50340000 32321200 |92110000 22315000 32354300 79961350 79961100 92111220 |79950000 |45000000 |72000000 |80511000 |45000000 |66000000 79940000 75242110 98351110 |73000000 79000000 |66000000 |85000000 |22455000 30162000 31712113 |73000000 |90500000 |90000000 90513000 |98000000 |73000000 85000000 98000000 |90500000 |90500000 |79400000 |45000000 50000000 51000000 77100000 |85000000 90524000 33141123 33141310 |45000000 |90500000 |90700000 71351920 |64000000 72000000 |85000000 980"
