Organisation name,Purchase Order Number,Order date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,q1002745,2014-10-10,"£900,000.00",TOPMARK CLAIMS MANAGEMENT LTD IMPREST,TRANSACTIONS-EXPENDITURE,FINANCE SERVICES
Rochdale Borough Council,s1017479,2014-10-10,"£13,613.00",TERRY GROUP LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1045445,2014-10-13,"£12,640.00",VALE ENGINEERING YORK LTD,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045459,2014-10-13,"£6,500.00",F W SHERRATT LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045465,2014-10-13,"£30,900.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003744,2014-10-13,"£11,500.00",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES
Rochdale Borough Council,ph100551,2014-10-13,"£7,040.00",VIRGIN CARE BLACKPOOL LLP,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,d1045484,2014-10-14,"£17,500.00",THE BOND BOARD LIMITED,GRANTS TO OTHER BODIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045504,2014-10-14,"£9,464.81",GREATER MANCHESTER POLICE AUTHORITY,BASIC SALARIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014766,2014-10-14,"£5,884.77",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014768,2014-10-14,"£19,858.70",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014769,2014-10-14,"£16,299.64",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014771,2014-10-14,"£28,884.43",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014772,2014-10-14,"£10,174.17",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014773,2014-10-14,"£5,374.60",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014774,2014-10-14,"£12,664.93",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014775,2014-10-14,"£34,679.14",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014778,2014-10-14,"£6,102.00",PENNINE CARE NHS,SERVICE LEVEL AGREEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1014780,2014-10-14,"£7,770.00",PENNINE CARE NHS,SERVICE LEVEL AGREEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1014783,2014-10-14,"£6,340.10",AXIOM EDUCATION (ROCHDALE) LIMITED,"DEV CAP - NEW CONSTRUCTION,CONVERSION",EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014793,2014-10-14,"£6,399.01",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014794,2014-10-14,"£50,500.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014795,2014-10-14,"£16,299.64",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1002764,2014-10-14,"£34,196.19",EARLY BREAK,GRANTS TO THE NON VOLUNTARY SECTOR,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017490,2014-10-14,"£150,000.00",CAREWEST NORTHERN LIMITED,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1045527,2014-10-15,"£7,000.00",F S MOULT & SON,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045533,2014-10-15,"£5,000.00",URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,SITE INVESTIGATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014800,2014-10-15,"£15,057.17",PENNINE CARE NHS,SERVICE LEVEL AGREEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1014801,2014-10-15,"£10,578.00",PENNINE CARE NHS,SERVICE LEVEL AGREEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1014802,2014-10-15,"£16,194.00",PENNINE CARE NHS,SERVICE LEVEL AGREEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1014804,2014-10-15,"£386,216.12",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014805,2014-10-15,"£19,253.47",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014808,2014-10-15,"£35,097.55",AXIOM EDUCATION (ROCHDALE) LIMITED,MEALS,EARLY HELP AND SCHOOLS
