Organisation name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,SERVICE
Rochdale Borough Council,d1047175,2015-01-05,"£302,000.00",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015532,2015-01-05,"£9,706.55",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015534,2015-01-05,"£7,329.89",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015535,2015-01-05,"£17,817.94",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015537,2015-01-05,"£9,346.45",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015540,2015-01-05,"£29,198.97",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015541,2015-01-05,"£310,882.16",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100670,2015-01-05,"£6,550.00",ROTHWELL PROMOTIONAL GIFTS LTD,PUBLICITY,PUBLIC HEALTH
Rochdale Borough Council,q1003310,2015-01-05,"£8,947.93",POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,CONTRACTED SERVICES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003311,2015-01-05,"£8,673.65",POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,CONTRACTED SERVICES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047232,2015-01-06,"£138,262.20",RIVERSIDE TRUCK RENTAL,LONG TERM CONTRACTED EXTERNAL HIRE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047236,2015-01-06,"£5,712.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015550,2015-01-06,"£8,433.39",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015552,2015-01-06,"£8,041.00",BOLTON M B C,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015575,2015-01-06,"£376,709.42",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003321,2015-01-06,"£24,000.00",SENITOR RECRUITMENT,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003324,2015-01-06,"£5,000.00",ROCHDALE MEDIATION SERVICE LIMITED,GRANTS TO THE NON VOLUNTARY SECTOR,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047258,2015-01-07,"£8,190.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1003326,2015-01-07,"£8,206.44",SOFTCAT LTD,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017918,2015-01-07,"£33,766.80",FACE RECORDING & MEASUREMENT SYSTEMS LTD,IT MAINTENANCE,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,d1047280,2015-01-08,"£8,333.34",ROCHDALE & DIST CITIZENS ADVICE BUREAU,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047286,2015-01-08,"£6,480.00",TRAKM8 LIMITED,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047292,2015-01-08,"£7,562.00",URBAN VISION PARTNERSHIP LTD,AGENCY STAFF,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015622,2015-01-08,"£5,173.12",REDACTED PERSONAL INFORMATION,CONSULTANT FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1015623,2015-01-08,"£56,287.15",TRANSPORT FOR GREATER MANCHESTER,STUDENT TRAVEL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100677,2015-01-08,"£9,456.92",VICTIM SUPPORT & WITNESS SERVICE,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,ph100678,2015-01-08,"£23,375.00",ROCHDALE & DISTRICT MIND,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,q1003353,2015-01-08,"£10,052.00",NORTHGATE INFORMATION SOLUTIONS UK LTD,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047312,2015-01-09,"£9,352.50",D AND M DEMOLITION AND RECYCLING LTD,REMOVAL/STRIP OUT COSTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047314,2015-01-09,"£12,500.00",KEY TO THE DOOR,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047319,2015-01-09,"£15,000.00",CITY OF BRADFORD MET DISTRICT COUNCIL,CHRISTMAS DECORATIONS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047323,2015-01-09,"£5,000.00",NICK BAYLISS GLASS LIMITED,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015637,2015-01-09,"£71,891.82",DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003363,2015-01-09,"£9,529.32",LIQUIDLOGIC LTD,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047331,2015-01-13,"£53,422.04",J COONEY LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047366,2015-01-13,"£27,300.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015647,2015-01-13,"£7,628.60",TRAFFORD MBC,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015650,2015-01-13,"£5,138.00",BOLTON  COLLEGE,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015652,2015-01-13,"£6,589.34",BOLTON  COLLEGE,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015653,2015-01-13,"£7,697.66",BOLTON  COLLEGE,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015662,2015-01-13,"£15,000.00",FAMILY ACTION,GRANTS TO THE NON VOLUNTARY SECTOR,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003378,2015-01-13,"£7,000.00",ROY PAISEY,MISCELLANEOUS CAPITAL EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047384,2015-01-14,"£7,700.00",ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047387,2015-01-14,"£7,700.00",ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015690,2015-01-14,"£20,140.00",CLARENCE HIGH SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015691,2015-01-14,"£11,563.79",ROSS CARE,PURCHASE OF OTHER EQUIPMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015692,2015-01-14,"£9,899.85",ROSS CARE,PURCHASE OF OTHER EQUIPMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003391,2015-01-14,"£111,352.50",PROCESSFLOWS UK LTD,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003402,2015-01-14,"£16,385.00",TOPMARK CLAIMS MANAGEMENT LTD,TRANSACTIONS-EXPENDITURE,FINANCE SERVICES
Rochdale Borough Council,s1017974,2015-01-14,"£5,394.00",STANNAH LIFT SERVICES LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017977,2015-01-14,"£6,570.00",BROADWAY BUILDING CONTRACTORS OLDHAM LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017991,2015-01-14,"£5,409.00",K P DODD CONSTRUCTION LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017992,2015-01-14,"£10,000.00",STANNAH LIFT SERVICES LTD,REMOVAL EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1047427,2015-01-15,"£12,509.45",EASI-DEC ACCESS SYSTEMS LTD,EQUIPMENT - GENERAL,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047430,2015-01-15,"£22,470.73",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047438,2015-01-15,"£5,950.00",GARDINER & THEOBALD LLP,SURVEYORS FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047439,2015-01-15,"£7,500.00",CUNDALL,ENGINEERS FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047440,2015-01-15,"£24,100.00",AECOM PROFESSIONAL SERVICES LTD,SURVEYORS FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015695,2015-01-15,"£20,000.00",G W THEATRE COMPANY LIMITED,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015696,2015-01-15,"£670,365.28",AXIOM EDUCATION (ROCHDALE) LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015701,2015-01-15,"£50,500.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015708,2015-01-15,"£7,207.01",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015709,2015-01-15,"£159,202.99",INSPIREDSPACES ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100687,2015-01-15,"£50,474.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH PENNINE ACUTE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph100688,2015-01-15,"£15,000.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,q1003406,2015-01-15,"£17,000.00",OPTEVIA LTD,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017995,2015-01-15,"£9,220.80",FACE RECORDING & MEASUREMENT SYSTEMS LTD,IT MAINTENANCE,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,s1017996,2015-01-15,"£78,000.00",ROSS CARE,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1010248,2015-01-15,"£5,800.00",REDACTED PERSONAL INFORMATION,CONSULTANT FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1047463,2015-01-16,"£5,750.00",SCOTT HUGHES,ENGINEERS FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047465,2015-01-16,"£23,480.00",CALEDONIAN LIFT SERVICES LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015716,2015-01-16,"£23,221.25",AXIOM EDUCATION (ROCHDALE) LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015717,2015-01-16,"£17,606.97",AXIOM EDUCATION (ROCHDALE) LIMITED,WATER CHARGES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1047484,2015-01-19,"£8,398.06",BURNT TREE GROUP LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047492,2015-01-19,"£7,822.25",F W SHERRATT LTD,SPECIFIED MAINTENANCE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047493,2015-01-19,"£24,644.29",J COONEY LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047505,2015-01-19,"£7,152.50",SIGNAGE SYSTEMS LTD,MAINTENANCE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047577,2015-01-20,"£8,340.51",J COONEY LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047578,2015-01-20,"£10,553.98",J COONEY LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1003927,2015-01-20,"£6,734.00",MERITEC LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,ph100693,2015-01-20,"£9,970.00",OTTAWAY STRATEGIC MANAGEMENT LIMITED,ACTIVITIES,PUBLIC HEALTH
Rochdale Borough Council,q1003444,2015-01-20,"£46,550.10",SPECIALIST COMPUTER CENTRES PLC,IT EQUIPMENT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003453,2015-01-20,"£82,710.29",AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003454,2015-01-20,"£121,352.00",AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003455,2015-01-20,"£12,917.75",AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003456,2015-01-20,"£8,456.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,OCCUPATIONAL HEALTH,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003460,2015-01-20,"£7,000.00",CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003469,2015-01-21,"£7,590.80",FREEDOM COMMUNICATIONS,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1018021,2015-01-21,"£21,600.00",DISABLED LIVING LTD,TRAINING,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1047612,2015-01-22,"£8,718.24",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047613,2015-01-22,"£12,947.04",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047637,2015-01-22,"£5,572.00",URBAN VISION PARTNERSHIP LTD,AGENCY STAFF,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015757,2015-01-22,"£5,080.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,OCCUPATIONAL HEALTH,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003934,2015-01-22,"£102,631.67",TRAFFORD MBC,OTHER LOCAL AUTHORITIES,FINANCE SERVICES
Rochdale Borough Council,q1003474,2015-01-22,"£7,000.00",WOMENS HOUSING ACTION GROUP,GRANTS TO THE NON VOLUNTARY SECTOR,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003475,2015-01-22,"£7,000.00",WOMENS HOUSING ACTION GROUP,GRANTS TO THE NON VOLUNTARY SECTOR,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047652,2015-01-23,"£8,449.40",JMHA,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003935,2015-01-23,"£5,433.16",BREEZE LIMITED,PRINTING & STATIONERY,FINANCE SERVICES
Rochdale Borough Council,ph100700,2015-01-23,"£7,463.00",ICE LIMITED,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,q1003488,2015-01-23,"£11,000.00",AON LIMITED,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047681,2015-01-26,"£6,000.00",TRINITY MIRROR PUBLISHING LTD,ADVERTISING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047709,2015-01-26,"£18,750.00",ROCHDALE DEVELOPMENT AGENCY,CAPITAL BUDGET ALLOCATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047710,2015-01-26,"£18,750.00",ROCHDALE DEVELOPMENT AGENCY,CAPITAL BUDGET ALLOCATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047711,2015-01-26,"£29,750.00",ROCHDALE DEVELOPMENT AGENCY,GRANTS TO OTHER BODIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047712,2015-01-26,"£29,750.00",ROCHDALE DEVELOPMENT AGENCY,GRANTS TO OTHER BODIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015783,2015-01-26,"£63,666.66",UNDERLEY GARDEN SCHOOLS,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015784,2015-01-26,"£63,666.67",UNDERLEY GARDEN SCHOOLS,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015804,2015-01-26,"£15,969.00",CUMBERLAND SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003510,2015-01-26,"£5,245.10",OAH LAW LIMITED,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,x1010292,2015-01-26,"£15,766.00",PARENTS AND CHILDREN TOGETHER,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1010293,2015-01-26,"£18,000.00",CALDERDALE METROPOLITAN BOROUGH COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1010294,2015-01-26,"£9,000.00",DEVON COUNTY COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1010295,2015-01-26,"£18,000.00",TRAFFORD MBC,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1010296,2015-01-26,"£27,000.00",STOCKPORT METROPOLITAN BOROUGH COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1010297,2015-01-26,"£27,000.00",STOCKPORT METROPOLITAN BOROUGH COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1047750,2015-01-27,"£18,000.00",NEW IMAGE PUBLIC RELATIONS LIMITED,CONTRACTED SERVICES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047752,2015-01-27,"£15,000.00",NEW IMAGE PUBLIC RELATIONS LIMITED,CONTRACTED SERVICES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015818,2015-01-27,"£14,846.40",PENNINE CARE NHS,CONSULTANT FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015819,2015-01-27,"£137,058.02",INSPIREDSPACES ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003941,2015-01-27,"£6,550.00",BELFIELD COMMUNITY PRIMARY SCHOOL,RENTS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003520,2015-01-27,"£8,397.00",7 PDS,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1018062,2015-01-27,"£43,011.00",MANCHESTER WORKING LIMITED,MAINTENANCE STAIRLIFTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1047761,2015-01-28,"£59,000.00",TRANSPORT FOR GREATER MANCHESTER,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047782,2015-01-28,"£59,000.00",GMCA,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015828,2015-01-28,"£11,015.00",PENNINE CARE NHS,TRAINING,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015834,2015-01-28,"£7,250.00",PENNINE CARE NHS,CONTRACTS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015838,2015-01-28,"£5,028.30",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015841,2015-01-28,"£7,868.42",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,w1000485,2015-01-28,"£24,000.00",THE PARAMOUNT GROUP,RESIDENTIAL LONG TERM,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,d1047787,2015-01-29,"£19,330.63",NATIONAL FLOOD FORUM,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047788,2015-01-29,"£30,000.00",NATIONAL FLOOD FORUM,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1003538,2015-01-29,"£9,600.00",BURY MBC,ACTIVITIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047823,2015-01-30,"£8,010.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047824,2015-01-30,"£7,139.37",PURCELL MILLER TRITTON LLP,CONDITION SURVEYS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047825,2015-01-30,"£7,139.37",PURCELL MILLER TRITTON LLP,CONDITION SURVEYS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015859,2015-01-30,"£8,986.32",NEW BRIDGE  SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015860,2015-01-30,"£10,857.00",OLDHAM METROPOLITAN BOROUGH COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015861,2015-01-30,"£10,085.00",OLDHAM METROPOLITAN BOROUGH COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1047842,2015-02-02,"£360,000.00",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047843,2015-02-02,"£11,749.89",C E S LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph100716,2015-02-02,"£227,150.00",PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1003549,2015-02-02,"£10,000.00",ROCHDALE CONNECTIONS TRUST (TRADING) LT,GRANTS TO THE NON VOLUNTARY SECTOR,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003556,2015-02-02,"£5,875.00",REED BUSINESS INFORMATION LIMITED,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,q1003558,2015-02-02,"£157,736.72",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1018084,2015-02-02,"£5,239.00",STANNAH LIFT SERVICES LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1018102,2015-02-02,"£10,420.00",TERRY GROUP LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1000497,2015-02-02,"£6,000.00",SIMPLE STORAGE LTD.,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1047890,2015-02-03,"£10,000.00",F W SHERRATT LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047899,2015-02-03,"£12,065.00",ROCHDALE BOROUGHWIDE HOUSING,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1047914,2015-02-03,"£6,196.32",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015886,2015-02-03,"£10,443.51",INSPIREDSPACES ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015898,2015-02-03,"£8,675.00",REAL TRUST,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003948,2015-02-03,"£7,268.00",BRIDGEALL LIBRARIES LTD,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003568,2015-02-03,"£9,745.00",GRAITEC LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,w1000503,2015-02-03,"£8,000.00",THE PARAMOUNT GROUP,RESIDENTIAL LONG TERM,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,d1047924,2015-02-04,"£12,602.04",AKSA HOMES,MINOR BUILDING WORKS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015912,2015-02-04,"£21,697.44",INSPIREDSPACES ROCHDALE LTD,IT SUPPORT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003579,2015-02-04,"£49,675.11",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,CONTRACTED SERVICES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047959,2015-02-05,"£35,188.00",PROFILE SECURITY SERVICES LIMITED,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047977,2015-02-05,"£8,333.34",ROCHDALE & DIST CITIZENS ADVICE BUREAU,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047978,2015-02-05,"£6,208.60",KASHMIR YOUTH PROJECT,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047983,2015-02-05,"£50,000.00",BLUE ORCHID MANAGEMENT CONSULTANTS LTD,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015923,2015-02-05,"£21,844.42",J GREENWOOD (BUILDERS) LIMITED,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015932,2015-02-05,"£5,920.00",FRANK WHITELOCK,CONSULTANT FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003956,2015-02-05,"£15,350.00",CAPITA TREASURY SOLUTIONS LTD,CONSULTANT FEES,FINANCE SERVICES
Rochdale Borough Council,q1003584,2015-02-05,"£11,690.18",THOMSON REUTERS,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003590,2015-02-05,"£83,505.00",MANCHESTER CITY COUNCIL,AGMA,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047993,2015-02-06,"£7,000.00",GROVER LEWIS ASSOCIATES,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
