"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2018-04-19","586343","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 |72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2018-04-19","586343","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 |72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2019-03-07","12953.5","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2019-03-22","10457","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2019-04-12","47353","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2019-04-12","586343","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2019-04-17","7322","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2019-10-07","586343","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","PRINTING & STATIONERY","FINANCE SERVICES","2015-03-16","7000","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","SOFTWARE","FINANCE SERVICES","2016-01-18","14850","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
