"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"REDACTED","TAXI HIRE","ECONOMY AND ENVIRONMENT","2015-09-23","18000","79620000 |71356000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144"
"REDACTED","TAXI HIRE","ECONOMY AND ENVIRONMENT","2015-09-23","22500","79620000 |71356000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144"
"REDACTED","TAXI HIRE","ECONOMY AND ENVIRONMENT","2015-09-23","22000","79620000 |71356000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144"
"REDACTED","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","2015-09-08","40500","79620000 |71356000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144000 48000000 60161000 64000000 79571000 |30130000 30144"
"RESTORE PLC","DATA COLLECTION","NEIGHBOURHOODS AND ENVIRONMENT","2019-01-24","5462.45","63121000 |30193700 63121000 |92512000 |48311100 |79996100 |72512000 |48311100 63121000 72300000 72512000 79995100 79996100 79999100 92512100 "
"RESTORE PLC","DATA COLLECTION","NEIGHBOURHOODS AND ENVIRONMENT","2016-10-04","25948","79000000 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2016-11-01","8900","39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO THE NON VOLUNTARY SECTOR","NEIGHBOURHOODS AND ENVIRONMENT","2016-11-09","22578","39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","82123.8","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","145000","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","145000","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","145000","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","145000","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","145000","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","145000","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","145000","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-27","65000","71000000 73000000 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2017-03-14","8900","71000000 73000000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |72221000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO THE NON VOLUNTARY SECTOR","NEIGHBOURHOODS AND ENVIRONMENT","2017-04-20","28156.8","79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |72221000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-08-16","404000","79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-08-16","1000000","79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2017-09-21","18167.2","79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2017-10-24","13455","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-08","150000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-08","147000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-08","140000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-08","135000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-08","133000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-08","130000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-08","125000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-08","120000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2018-01-17","9083.6","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
